,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,NEO,DASH,ETC,XMR,EOS,ZEC,BNB,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.122421162208135,0,0.261790309799957,0.113059783018364,0.0778494803862993,0.00861389107964249,0.171458693996288,0,0,0.0473254301346656,-0.0671908490058154,0.0958005590820528,-0.000304215030694407,0,0,0,0,0
ETH,0,0,0.0672620458007609,0.205758175136066,0,0.0712871513374837,0,0.0259093552479202,0,0.304512925849138,0,0.0473340722355221,0.163134280280712,0.0132998823299253,0.176900973642713,0,-0.0816453616544176,0,0,0.0954690251982348
BCH,-1.06330816157744,0,0,0,0,-1.0919443497384,0,-0.0668006491450974,0.844058655852367,0.595421698426313,0,0.0800218208670379,0.788593277374169,0.500263464290384,-0.0148704100928413,0,0,0,0,0
XRP,0.251840285262026,0.374035972692317,-0.0445976451342662,0,-0.0692303304540597,-0.0192970590650847,0.194859509770568,-0.0281348651547064,0,0,0.186944508932996,0.0124789505941975,0,0,0.0126878363352003,0,0,0,0,-0.0582165778539257
LTC,0.110818633061291,6.93889390390723e-18,0.0685583835737452,0,0,0.0787783081979126,0,0.0418768635705547,0.0335759590354297,0.233552607040722,0.00940377126198256,0,0.0821682624040615,0,-0.0236840469227193,0,0,0,0,0.0146194830028419
MIOTA,0,-0.00359008233176254,-0.15883206292606,0.301487234961007,0.114179047265005,0,0.288294252218605,0,0.600732965546206,0,0,0,0.377281053995824,0.185601028682326,0,0,0,0,0,3.46944695195361e-18
XEM,0,0,0.051058830282156,0.292978856076831,0,0.110892470940248,0,0.0637122015083067,-0.0183968907064266,0,0.350347707534404,0.141699765183458,-0.178387409538258,-0.0455079040087271,0.135895605034992,0,0,0,0,0
NEO,-0.282328275686461,1.49464035689451,1.73472347597681e-18,-2.27786854624806,0.0834001660208916,0.121058168303495,0.774184475624385,0,0,0,0,0.0482839071870992,0,-0.101059988035061,-6.93889390390723e-18,0,-1.14523547076461,0,0,0
DASH,0,0.183956216511013,0,0,0,0,0.15689354354245,0.0555267170453889,0,0.0902807738163382,0.252830658553228,0.0452355834574896,0,0,0,0,0,0,0,0.0335137776897111
ETC,-6.7762635780344e-21,0.234729095780594,0,0,0.262356487941514,0.0588652700453294,0,0,0,0,0.0534787462046468,0.0128171520565837,0,0.0117921660587108,0.0301760662983273,0,0,0,0,0
XMR,0,0.150556064054865,0.0697638095935851,0.198718257181871,0.116446083844408,0.0659991005618187,0.128213357241769,0.000303176829917048,0.189500350974655,-0.0589158979637016,0,0.0371907361680361,0.0736068234473851,-0.0888862179991466,0.0957528286942871,0,0,0,0,0.0396654435760632
EOS,0,0.35111083081421,0,0.42877833196655,-0.412301317122233,6.93889390390723e-18,0,0.113107104812345,-0.205690141668398,0.709901204953003,0,0,0.143376648012969,0.124102477042749,0,0,0,0,0,0
ZEC,0,0.0418480878749441,0,0,0,0.23136432268622,3.46944695195361e-18,0,0,0,0.206525494723541,0.0509045438896853,0,-0.0298205964868236,0.0544228189999585,0,0,0,0,0
BNB,-0.174806979240954,0,-0.0454074564554653,0.217874501846862,0.278453582646609,0.149945404782951,0,0.0338263791284815,0,0,-0.259981554861346,0.018579909151712,-0.293214847520904,0,0.105675485757778,0,0.800122258570562,0,0,0.388583315094888
BAT,0.425602523560801,0,0.0378773590618268,0,-0.23345604187226,0.132136877556236,0.225352402215974,-0.0239100238615968,0,0,0.133303983827667,-0.0215554131178029,0.641009167303923,-0.0970678942335193,0,0,0,0,0,0
BV010082.Index,-0.094808311083608,0,0,-0.0354878425778119,0,0,-0.0177833111875809,0,0.0578063077406921,-0.025010487111741,0,0,0.0488430587557029,-0.0236372644816095,0.0295212638054602,0,0,0,0,0.0231174327159404
CVIX.Index,0,-0.129053621481783,-0.00505523506100841,0.156238642939639,0.0195370307113627,0.0917739408547247,-0.00078273841318078,0.0198522253215117,-0.177772237214575,0.0476834039427088,0,0.0322703371165639,-0.0856015523890983,-0.00852193281898305,0.00381629544768576,0,0,0,0,0.0987530194702228
DXY.Curncy,0.0200179112878573,-0.0215759368266103,-0.00239347454765769,0.00818292348319578,0,0.00733163800433567,0,-0.00798271730555723,0,0.00834107857996133,-0.00467193674255191,0.0057547289800948,0,0.00688373383408206,0,0,-0.0137292834184831,0,0,-0.0117464306839311
SPX.Index,0,0,0,0.00922926857317928,0,-2.16840434497101e-19,0,-0.000972764401096296,0,-0.00474808360173986,0,0.00112105824873804,0.00769883243423179,0.00279477218692067,-0.00636689237375248,0,0,0,0,-0.055049802548787
VIX.Index,0,0.0237916155058402,-0.00253725974922095,0.679591760160032,0.0129851317315161,-0.353612657172176,0.322140013855119,-0.0349605203066174,0,0,0,0,0,0.250456736989603,-0.118400583150123,0,1.50406057405138,0,0,0
