,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.171317426559939,0.213474664756179,0.174354983141038,0.0347884129850533,0.317796396663769,0.276516995777116,0.126234717996552,-0.273546417786391,0.357606481973438,0,-0.1978391876315,0.0753103463758916,0,0.0650016605154901,0,0,0
ETH,0.735335189619555,0,0,0.2115779882183,-0.192464799958477,0,0.400946463178003,0.0283512151788537,-0.302007446996892,0,0,0,0.219460626310905,0,0,0,0,0
DASH,0.38464154578747,0.189255333551645,0,0.170634589830592,0,-0.602160371536519,-0.0289210221854514,-0.0618763934310542,0.0708284522874426,0,0,0.128193051452523,0.0687596831686698,0.816384011736489,0.409311651590325,0,0,0
XMR,0,0.613188533590971,-0.0984778057508943,0,-0.118593670104999,0,0,0,0.0531991691445085,0,-0.110559524327931,-0.0296861474882735,0,0,-0.54770697115206,0,0,0
XRP,0.103733277146037,-0.0126865570847264,0,-0.0690338214907707,0,0,-0.0926182903498486,0.0450922499483271,0.0271493530366613,0.454064367843279,0,-0.100362145347081,0.0166443892575987,0.414763169022121,0,0,0,0.106193620339292
LTC,0.09901156076723,0,-0.0247652138036645,0.080525769320559,0,0,0.192655060831122,0.0501300648787652,0.0371633114077855,0.0226275948416996,0,-0.0407613379700092,0.0320163747036431,0,0.122375638545518,0,0,0.0198544219966172
ETC,0.40257382526308,0.118036376330753,0.0021981739859918,-0.0321662525426058,0,0.985333734688481,0,0,0.0330493575521284,0.324578411657817,0.038069439208781,0.186137496607124,0,-0.444940860480569,-0.268569921261612,0,0,0.0422497704008202
XEM,1.00993530610574,0.288433592209239,0.0406784237613356,-0.535775233063751,1.0555651458993,0,0,0,0.508219649772348,-1.65160718911618,0.486433283888997,0,-0.0421955448742102,0.657712599298537,-0.689182303601508,0,0,-0.0555280637279712
ZEC,0,0.227641858162116,0.0786825340942433,-0.208329242139949,-0.305976781754716,0,0.04075128763539,-0.050435430668577,0,0.661156765617638,0,0,0,-0.241359239810582,0,0,0,-0.0589467179668943
DOGE,0.30668886802311,0,-0.0960162908832105,0.00313650944214046,0.240335406548926,0,0,-0.15704589649373,0.1860698905513,0,0.252192902884971,0,0.0356519067267551,0.40075495776443,-0.171024783542436,0,0,0.099644389866167
XLM,0,0,-0.0363191244582279,0.280409496695524,0,0,-0.026600694735765,0.0200228557146876,-0.116947211952754,0,0,0.0608524847014153,0.23664407129966,-0.339924141036299,0,0,0,0
NEO,0,-0.175791436721253,0.0289488459121136,0.100648445484654,-0.299040362384058,0,0.133135814665055,-0.135428268533265,0.296454750283442,0,0,0,0.116575571111617,0,0,0,0,0
DGB,0,0.197152005935154,0,-0.0736477184053226,0,0,-0.321451100038903,0,0,0.745556331630605,0.305574697623363,0.112284797070098,0,-0.178356974832797,0,0,0,-0.471756293960785
BV010082.INDEX,0,0.00000000000000000346944695195361,0.120942869092496,-0.077117893236105,0,-0.298047414239666,-0.00220530780632414,-0.0431616085213686,0.00329392531799939,0.0925539847420002,0.125386225695978,-0.130589682348561,0,0,0.0705139230906415,0,0,0.151997574644969
CVIX.INDEX,0.101142686820352,0.0943068401972218,-0.0378199447165727,0.0302253286280601,0.114716152797092,0.25640635767063,-0.311162584660306,-0.0991626667443593,0.0489043864024204,0.384844540867938,0.00000000000000000173472347597681,0.0296105790428458,-0.126030037229402,0,0,0.124647993857686,0,0.297406199357556
DXY.INDEX,0.0305357710698465,0,-0.00872299012312734,-0.0301494764413954,-0.0698370328245153,0,0.0297434196285572,-0.0196761661849458,0.00188413947245058,0,0.0228250721320262,0,0,0.167797170015361,0.0518703443388988,0,0,-0.021447387688393
SPX.INDEX,0.0065230871252575,0.00928988518085169,0,-0.0133122615969001,-0.0248305766419195,0,-0.021598146636825,0.00254705208372664,0.00601102801122935,0.0358838683090847,0.0233793895252564,0,0.00193928377956476,-0.0539251865930824,-0.0107770794672947,0,0,-0.0137670589375539
VIX.INDEX,-0.297011990353239,0.0129210560939008,0.0746067745829662,0.381004659854372,-0.220660155118248,0.692895396843419,-0.566489481730548,-0.161409215963501,0,0.195526817946071,0.000895724372703355,0,-0.269867562221896,-0.078095374238338,0.258608635119258,0,0,0
