,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0561651078578749,0.432160566272551,0.194633581742847,0.0892472307926945,-0.121074868255571,-0.0480994389993084,0.048806260846115,0.0715471751167778,0.20479618918603,-0.217628688508657,-0.425645417707913,0,0,-0.0651359604639938
LTC,0.462638335462959,0,0.00406304776040738,-0.0624364775816999,0.759050407219441,-0.165827462845271,0.246277297270444,-0.207518004147239,0.035295209195256,-3.46944695195361e-18,0,0,0,0,0
XRP,0.264915508295699,-0.230401341928757,0,-0.0857227098891387,0.78883274801917,0,0.252337640999361,-0.129818224490373,0.00734131241279936,-0.0268479250125201,0,-0.0597749444647844,0,0,-0.212502566915714
ETH,0.428881390499168,-0.527815858244387,1.24893680064248,0,-0.639895539008913,0.692300285011602,-0.365925643240756,0,-0.0938044564330018,-0.0790347382700099,0,0.647437933194664,2.41870892391759,0,-0.0324155558121545
DOGE,0.225452447546604,0.412036051132603,0,0.0483846397552232,0,0.0257719439070356,-0.126202139378291,0.0904064348665296,0.0238729977674492,0.174707534004637,0,-0.0677425968758928,0,0,-0.0347351539589306
DASH,0.0491198215262776,0.342484061267535,0,0,0.173455009252942,0,-0.373436104425341,0.0595118062269484,0.00678119849117728,0.0708815169364597,0,0,0,0,0
XLM,0.442334086217806,0.0958086454452623,-0.143051771513695,0.158988789903336,-0.408693202602871,0,0,0.0470459640659236,-0.00709892414607828,0.10537001931835,0,0,0,0,-0.166609381750517
XMR,0.231779428234708,-0.0849487275887323,0.0620563187017992,-0.210331528385701,0,0.679979437790714,0.188999983478496,0,0,-0.0762837602361765,0,-0.287874072534682,0,0,-0.463407369522046
DGB,-2.03817762564004,-0.615313022720715,1.73470788839491,0.396403020126941,0,0.353497892120272,1.27950635953459,0.727740202043975,0,0.947141010477762,-2.32568427897539,1.40813311449934,0,0,-0.451093565601706
XEM,0,0.482423239498317,-0.749706141137841,-0.358150440198221,1.01203431464542,0.816201293839673,0.502214907525357,0,0.068324947449975,0,1.63002715588929,0,0,-8.04698704431803,0
BV010082.Index,-0.147138943452904,0,0.178274783943338,0.00543616351792298,0.0768317764768091,0.073052653048151,0.0441421557918846,0.0604031741289632,-0.04009459146044,0.0128656349550102,0,-8.67361737988404e-19,0.591919738090811,0,6.93889390390723e-18
CVIX.Index,0,0,-0.137133285007207,-0.0653572104046565,0,0,-0.354453151442292,-0.19627091493026,0.00242802785076037,0.0562558334080217,0,0,0,0,0
DXY.Curncy,0,0.0217204119184483,-0.0492008571252889,0.00650221504391585,0,-0.00695734294808815,-0.00556628923942153,0.0499959615603972,-0.0153885161205945,0.0174724520605246,0.0615734410837757,0.0138166877933791,0,0,-0.032762967202624
SPX.Index,0,0.0190378186281935,0.0063669415567286,-0.0158372319018312,0,0.0490083130322158,0.0112925543833234,0,0,-0.00905723587393829,0,0.0280878371796546,0,0,-0.0986928982452059
VIX.Index,-0.108845756687781,0,-0.152077839435322,0.0985885545548157,-0.0797706659222269,0,0,-0.139656785629409,0.133923058840597,0.0993171155749275,0,-0.453279498259463,0,-3.99415035685883,0
