,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,DASH,XMR,TRX,ADA,XLM,XTZ,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0275464848456414,0.153120713262938,0.17897312175785,1.73472347597681e-18,0.0218382584353341,0.0366384307733632,0.131235365910732,0.0626705576167121,-2.16840434497101e-19,0.0184575217184474,0.0655344708776901,0,0.0371679648459715,-0.125837613401718,0,0,0,0,-0.0297194253317099
ETH,0,0,0.0334920259065477,0.12395547955863,0,0.241147184405607,0.042177853641259,0.1596625743988,-0.010427191860707,0.0978568107725847,0.100304227915169,0.167945291548652,0,0,0,0,0,0,0,0
XRP,0,0.217864535658659,0,0.188424940541777,0,0,0,0,0,0.18740990001089,0.187451765251183,0,0,0.206523220127127,0,0,0,0,0,0.154610987212175
BCH,0,0.2842653889693,0,0,0.217625738902069,0,0,0.378223252077952,-0.03607220073405,0,0.141246425850739,-0.0589557352202463,0.20108549137903,-0.0597871675845571,0,0,0,0,0,0
BSV,0,0,0.247260036380242,1.11532790144828,0,0,0.324523363074653,-0.152735446505503,-0.440617174921739,-0.51412863655222,-0.27291819773879,0.7716092539387,-0.295306264144166,0.0420872002462099,0.0479779930317739,0,0.0989993506023686,0,0,-0.0549881977963387
LTC,0,0.219999959390801,0,0,0.00744343236142965,0,0.556470041603635,0,0.03554273464273,0,0.0528635644443769,0.0648268615605784,0,0,-0.00719016405256017,0,0,0,0,0
EOS,0,0.0218674309533705,0,0,0.0965389370780801,0.496602788560087,0,0.164294698496599,0.0126085069303291,0.0621468583145583,0.00272422452503629,0.175307824062458,0,0.0336749731237217,0.0235674606997441,0,0,0,0,0
BNB,0,0,0,0.204759550529326,-0.0685783174042312,0,0.250436403867546,0,0.0749411214224534,0.0580666660477916,0.246530962097034,0,0.0592961567674835,0,0,0,0,0,0,0
DASH,0.0183815179009379,0,0.810792671457495,0,0.10393923786428,0.302279731453465,0,0,0,0,-0.125159121661818,0,0,0,0.03031405128283,-0.53880287705529,0,0,0,0.0109701066102629
XMR,0,0.105598662264848,0,0.00388789026939218,-0.0803754943461945,0,0,0.619337187759833,0.113577883438565,0,0,0,0,0.0485595541379397,0.00244213994091737,0,0,0,0,-0.0412303226852259
TRX,0.397441931641104,0,0.0737898567491003,0.0365290355690208,0.0221706123887218,0,0,0,0.0573791350952148,0,0,0.102699938351131,0.534705124807368,-0.0766990906687102,0.0549899773401337,0.0508885079262193,-0.288565316965259,0,0,-0.143717267909507
ADA,0,0.439149606216681,0.0294520152515866,-0.259378008568418,0.0367938718552081,0,0.222023143330339,0,0.0355948718152014,0,0.137647204613838,0,0,0.105918054134544,0.147873868365017,0,0,0,0,0
XLM,0.22521094377057,0,0.160340109804493,0,-0.00992057184400718,0,0,0,0.0291933261098864,0,0.168897656900681,0.224171807403681,0,0.123220963859513,0,0,0,0,0,0
XTZ,0,-0.105669539443651,0.282455316159392,0,0,0,0.173779925117229,1.10059660580449,0.0766949141130476,-0.162048535769522,-0.901036745506002,0.341647776991428,0,0,0.0109828770601573,0.0918316175934779,0,0,0,-0.256840099273534
ETC,-0.142837147948353,0.106192077436676,-0.118514858526185,0,-0.0606670074174248,0,0.00919214294900096,0,0.364464471361157,0,0.369762304016448,0,0,0.221065606580006,0,0,-0.126516436323296,0,0,-0.206749262570514
BV010082.Index,0,-0.151653891061217,0,0,0,-0.240447512854786,0.18606003691566,-0.210906408408848,-0.00647460255113868,0.000668647326624685,0.351166083495631,0,0,0.0678515823535898,0.0932646268953897,0,0.137318465462061,0,0,0
CVIX.Index,0,0,-6.44619583848576e-05,0,-0.0246115932655489,0,0.344563137018342,0.333711446780847,0,0.349433361988221,0,-0.432204542265033,0,0.0195094168788658,-0.464410588267836,0.952307211155632,0,0,0,0.0786076191859368
DXY.Curncy,0.0377453154319551,0,0.0105313665018067,0.024747829409118,0.00287434290852527,-0.055911108941843,-0.0268749940816675,0,0.00311048450516257,0.0047833381516582,0,-0.0109515000920452,0.0214170163793754,-0.0158857538686467,0.0094513274838121,0.0609022579255231,-0.0145320748133061,0,0,-0.00291683678541453
SPX.Index,0.002798998395037,0,0.00611614089453623,0,0.00570278976183849,0,0,0.0251344983563498,0,-0.0108629062640328,0.00422722384401538,0,0,-0.0189228287470497,-0.00255275029361335,0.0945121855054524,0.00583871862797156,0,0,-0.0384285783808958
VIX.Index,0.464851285611685,0,0,-0.41442548373161,0.13799127449996,-0.675306782099353,0,0,0.0333299054202587,-0.120474494065632,0,-0.194073591582363,0,0.0139084905340593,0.661223792713704,0,0.562352538827139,0,-1.32254934131749,0
