,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DOGE,DGB,XLM,ZEC,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0170924460432399,0,0,0.079409742970167,0.112546947354726,0.133196589507363,0,0.0395819369563878,0.00422785244673373,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.124921023836857,0.144003114244512,0,0.123935378257919,0.104583919971293,-0.000147220385258914,-0.0610935322556751,-0.169502041871281,0.232231109052954,-0.0132345583570092,0.382400685196482,0,0,0,0.0201243604810933
XRP,0,-0.224246805912159,0,0,-0.472826059163916,-0.0908246710059049,0.484475637179123,0.220153209187283,-0.119255582970353,-0.0255144142360336,0.269865190533905,0,0.226920094712085,0.124379748042317,0,0.368675680702513,0,0,0
XEM,0,-0.209356356974786,0,0,-0.49534780910643,0,0,0.131681800184817,0.10295452719243,-0.0168599290185894,0.0302852246851278,0.175505988059542,0,0.450883444509279,0,0,0,0,-0.141971748307756
ETC,0,0.331580965643454,-0.175722892285298,0,0,0.00929360561333491,0.228244369441344,0,0,-0.0423181281887976,0.0296299634432783,0,0,0.141611351587777,0,0,0,0,0.000000000000000000433680868994202
LTC,0.214451720204443,0,0,0,0,0,0,0.214985548914898,0.0995097908841454,0.0324257612768737,0,0.0210480047566759,0,0.290394672895864,0,0,0,0,0
DASH,0,0.0437424743453494,0.116171501223037,0.0375634387538024,0.180452258264384,0.145703844919592,0,0.257924716615246,0.0616835676444821,0,0.0527071899557038,0.0610989869303732,0,-0.0477166836648732,0,0,0,0,0
XMR,0.0218194178494578,0.365138448321896,0,0.160491630405737,-0.089474433731087,-0.0594414257359726,0.217992631664801,0,-0.125942148171253,0,0.164989636254635,0.16318829215826,0,-0.137968142671749,0,0,0,0,0
DOGE,0,0.0337019821748548,-0.120456731073106,0.100742381208734,0.0105398805121594,0.267760303198801,0,-0.0259337792635504,0,0.0446691067208148,0.294383254359293,0.271511781999041,0,0.134983897734977,0,0,0,0,0.339608329185453
DGB,0.0969920026467828,0,0.574695479856891,-0.072959746028415,-0.351555800472995,0.022534984836445,-0.163648626471853,0,0.550588540762511,0,-0.289557940557122,-0.213132290226803,0,0.245722215227913,0,0,0,0,0
XLM,-0.373436255521485,-0.144664774171368,0.207460228791782,0,-0.26310496809928,-0.524949555291431,0.563932745209696,0.654929667020326,0.252326715939031,0,0,-0.416280169901924,0.312236382289876,0.465972399090065,0,0,0,0,0.0761846136337155
ZEC,0,0,0.114768803724257,0.0587300560794785,0,-0.0136225364936964,0.140393646650859,0.0645132377250302,0.221784725805685,0,-0.107078756845761,0,0,0.0661999954922155,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0.39297225172611,0,0.226980079289554,0.0753556458543369,0.528124456868454,0.465792483011157,0.456540653317587,0,0,0.127416852611479,-0.0792022380116114,0.28269808831951,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0248069780337261,-0.0468088220221922,0.080234368380245,0.0140792938251088,-0.115834318193652,0.0220340607996734,-0.0241878719554375,0.000679379034715457,0.0420523439443494,0.0843187471699385,0.0040971033997564,-0.0133508078270222,0,0.120405904252377,0,0,0
CVIX.INDEX,0,0,0.00000000000000000346944695195361,-0.463051814643192,-0.32430856190261,0,0.140832807939971,0.0663260030178168,0,0.0292631976386784,0.0192570427505965,0.0846933425449305,0,0.187881145973124,0,0,0,0,0
DXY.INDEX,0,0.00975503737162517,0.0105881814320447,-0.0288466163113185,0.0223286503009623,-0.00183905057548615,-0.00627520825736422,0.000922234198819767,0.0000000000000000000271050543121376,-0.00457431010494307,0.00531521919709956,0,0,-0.00355524568588354,0,-0.0112453760578837,0,0,0.004690515398436
SPX.INDEX,0,0.0120811684716928,0,-0.00664251748402889,0,-0.000395915214520429,0,0.00451371804756881,-0.00115323744462799,0.00499182238169398,0.00532436401341967,-0.0165386483693576,0,0.000302149078799442,0,0,0,0,-0.0314920098532686
VIX.INDEX,-0.465104466694662,0.0103170683171929,0,-0.259205801365829,0.352345252288841,0,0.125211941755724,-0.100361395713558,-0.00758078954176797,-0.0627658938721669,0.231098945252755,0.00000000000000000693889390390723,0.0985415927836239,-0.0321845641560806,-3.22674080325132,-0.714562693687072,0,0,0
