,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.325133370565087,0.142764987608705,0.251385550146037,0,0.129654552553116,0.0280244014915855,0.0775112527648966,-0.136519495685207,0.0919676831263902,0.0679518427369629,0,0.0567582247537434,0,0,0
ETH,0.0619890827888355,0,0,-0.17172497129556,0.0931107782855152,0.239301924023783,-0.0225799549553172,0.156188104855096,0,0,0.0981113229083855,0.0467294813231843,0.182345636455362,0,0,0,0,0.175090466200745
XRP,0,0.206810481119173,0,0,0.0468830733114377,0.00832983804386447,-0.188672579082805,0.115462128336403,0.115985847211499,0.0459526163187834,0,0.00375416195757331,0,0.0766263910056696,0,0,0,0.0815707770833028
LTC,0.669691805733578,0,0,0,0,-0.174615575737097,0.145197217335914,0.129411962319827,0,0.0868031629081284,0.0297716464074779,0.00736188762252164,0.00843606918103256,0,-0.165880041544207,0,0,0
XMR,0.799320986592447,0.190193225666619,-0.205041598220227,0,0,-0.0867814850157519,0,0,0,-0.172816120413839,0.21067832575116,-0.0262891283952817,-0.14593648143688,0,0.53158878650974,0,0,-0.10688570924973
DASH,0.711996107365651,0,-0.233121815562475,-0.26466437043382,0.13405637415345,0,0.298593592939505,0.0170986484080828,0.318172411902063,0.024757321872696,0.272303997667398,-0.167752933806897,-0.0196118072396294,0.516273389997558,0,0,0,0
ETC,0.4594346600766,0.372470933517328,0,1.38777878078145e-17,0,0,0,0.0787372761793201,0,0.142950910171857,0.288951754668161,0.084519204626172,0.128949948122505,0,0,0,0,0
XEM,0,-0.36377815963085,0,0.0201799131050102,-0.461358777736305,0.815837489497759,-0.0522118597258685,0,0,0.288865773889991,0.318171864443839,0.0897668471272525,-0.22818047968527,0,-0.796497848913685,0,0,0.420942357724026
DOGE,0.0862936212720457,0.0535849954473117,0,0.110168011223262,-0.0179653901933069,-1.73472347597681e-18,0.0939655027971405,-0.0327721923960158,0,0,0.13647764378336,0.0375844832800346,0.0358328411757615,0,0,0,0,-0.112748680537758
ZEC,0.430774407569615,-0.151501066258461,0.113409832183994,0,0.00920499350384585,-2.71050543121376e-20,0.00413703891605025,0,0,0,0.395613628366812,-0.0995095409834577,0.385023342491238,0.0803485445269808,0,0,0,0.215688151364667
XLM,-0.684165996467307,0,0,0.120530159659171,0.138269304813902,0.16490241997084,0.211715865292374,0.17254383941482,-0.142811266416355,0.239953181218928,0,0.267383168056392,0.0691184589203842,0,0.131600669974057,0,0,0
NEO,0,-0.031468963885,0.578487173635132,-0.185746571727599,0.241222050769556,-0.423354253390249,0.077951995182778,0.204413128896192,0,-0.160604529675724,0.729071797666819,0,0.117031362231563,0,0,0,0,-0.340413841979281
DGB,1.33024909711265,0,0,-0.921700116054094,-0.308045442296795,0,0.196130036225156,0.0638381055920353,-0.00122838804328921,0.0197636533867835,0,0.169084514507212,0,0,0,0,0,0.0736516647027996
BV010082.Index,0,0,0.115346518323426,0,0.0725431921966435,-0.0198005846883452,0.00661553724665825,-0.146815037108393,0.161704883040323,0,-0.0326738899681007,-0.0196020447011896,-0.034382145485159,0,-0.272351201904792,0,0,0
CVIX.Index,0.097912153950433,0.126690451609434,0.143959669698648,0,0.0203734210983714,-0.012840349346902,0,-0.171122576380643,0.0759184872602696,-0.0168117290146365,-0.0669237737861906,-0.0409218990043299,0,0,0,0,0,0
DXY.Curncy,0,0.0252470504532348,-0.0840914830788774,0.0240308450361371,0,0.0121926814186045,-0.000246297568924946,-0.0161716282096706,0,0,-0.00714269558707743,0.0052582171769002,-0.0121722431241747,0.0989669784440159,0.0519758994596553,0,0,-0.0213540298472688
SPX.Index,0,0,1.0842021724855e-19,-0.0109836900949333,-0.000263264888272175,0,-0.00339210349436183,0.00489102468828689,-0.0123169192196366,-0.00242154118963099,0.0188797945161134,0.00385834592650132,0,0.0554939366786199,0.0131487199736028,0,0,-0.0599317582827831
VIX.Index,-0.16537079221125,-0.0746389541150054,0.501296613568402,0.177717132400134,0.260472237532534,0.110082020951194,-0.523496427570997,-0.257567226072433,0,-0.0599974180510502,0.187027097482559,0.117053288423201,0,0.42673234628823,0.146212658499081,0,-2.08948058545144,0
