,BTC,ETH,XRP,LTC,XEM,DASH,ETC,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.188467858786521,0.697972004383054,0.063723667863728,0.177139855041072,-0.0315339291335637,0.149745437398213,0.0248238606111415,-0.0564534925117898,-0.0911191606865223,0.442789193088406,0.0920919815410823,0,0,0.0827918227039731
ETH,0.125271412808665,0,0.3557646602156,0,-0.00300156455347585,0.770394689452716,-0.264773587696177,0.095993877831803,-1.57705119464735,-0.241408935426228,0.27863524731933,1.23996837843743,-0.184829735013535,0,0,0.37142360392582
XRP,-0.0610300021882784,0.030018339473532,0,0.20537436385565,0.0543666259570902,0.147901855100325,-0.0528709978702491,0,-0.161782542792574,0,0,0,0.311497023746414,0,0,0
LTC,0.83712414691037,-0.134379316886523,-0.230730851952921,0,-0.141925352704231,0.269241495073125,-0.165531575322558,0.237903770284101,0,0.293352645128172,0.0700414162875184,-0.406780471163174,0,0,0,0
XEM,1.34909780306542,0,-0.026008273157511,0,0,-0.101685583395492,-0.293457258627551,0,0.0580979823567808,0.635250809174946,0.460507899464962,0.343163078046982,0.463557164849394,0,-2.84185535170411,0
DASH,0,0,0.206683311661197,0.0526191998966854,-0.0340727675087295,0,-0.0538401389369761,0,0.00580992995102786,0.165404657493048,0.21357667411,-0.453646863459168,0.0144272403627674,0,0,-0.076486674537739
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.063187838331224,0.0808122066537528,0,0.373556735696489,-0.054688413400349,0,-0.046838441782672,0,0.266146827124304,0.0321203026872967,0.0406956631034665,0,-0.257310988572812,0,0,0.106164636592581
XMR,1.04456431807541,-0.168271208060496,0.277500582559046,-0.330861549937869,-0.0927823371185013,0.0529424030898262,-0.106925255113028,0.123686829188018,0,0,0,0,-0.094272071815403,0,0,0.0128400021740848
XLM,0,0.237091687878627,0,0.241075912031241,0.184470689131206,0.0571015375140347,0.0249987917566684,-0.0940604904667561,0,0,-0.245189477527599,0.370369870276408,-0.319800578438053,0,0,0.192646828437932
DGB,-0.876592570138201,0.359880636561418,0.0890017055652645,0.78976572600965,0.076003583075467,0.0232848425106778,-0.13372323682342,-0.342994027795246,0.197653256768214,-0.161983271935841,0,0,0,0,-1.63158210079442,-0.0495451296821275
BV010082.Index,-0.262730392687708,0.0146764960050891,-0.263044240408009,0,0.0560227074576415,0,-0.0375371755688568,0,-0.0546259513599401,0.0194125672945441,0,0,-0.0226443802423732,0.634446430593457,0.398223279591038,-0.109373464314977
CVIX.Index,0.751457387633792,-0.178167808837807,0.278175585682356,-0.588610697277612,-0.0253433190078874,0.202304038256193,-0.129741983185432,0,-0.214214504387921,0.0759504572357685,0.104467973444644,0.135917694710038,0,-0.808860520993429,0,0.159096905479149
DXY.Curncy,0,0,0,0,0.00416453364768013,0.0393132994564917,-0.00927591048518733,0,-0.00779173249198007,-0.00525938777991587,0.00248841512112225,0.17352049862697,0.0362380525513927,0,0,0.00965947821663114
SPX.Index,0,-0.00460924179613297,0,0,-0.0174789779127951,0,0,0,0.010411168555165,0.0400730669263406,0,0,-0.0786950328021432,0,0,-0.0760445246653229
VIX.Index,0.269763122339341,0.281910742208008,-0.649442170863707,-1.38777878078145e-17,-0.188640741003634,0,-0.163913017147332,-0.863742316814058,0.187984479287589,0.585058072217972,-0.30105010197883,-0.325311203548475,0.837345546201424,0,-3.57394294599243,0
