,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.17332084551706,0,0.0414405260342812,0.0854181145857551,0.0782572916637091,0,0.0821088202467872,0.0262650024190449,0,0,0.0135531284265274,0,0,0.0112640091313505,0,0,0,0,0
ETH,0,0,0.395569690888463,0.104323865640872,0,0.18777736799655,0,0.0400379591663615,0,0,0,0,0.0357067381763558,0.247469354187667,0.111929459678619,0,0,0,0,0
XRP,0,0.202922893920599,0,0,0,0.0154023489378189,0.0144061918486435,0.1681131327446,0.0227628019737265,0,0,0,0.0181860429814429,0.185900490179513,0,0,0,0,0,-0.0385099225690785
LTC,0.169562540444637,0.36356229531981,0,0,0.152473783560729,0,0.25772236135073,0.0164917435388442,0.254694332269572,0.360139573780359,0.000501116917091161,-0.291233738890603,-0.303708441518014,0.45747948669191,-0.12070397459978,0,-0.0636251438669278,0,-0.424927351513746,-0.105707663288988
BCH,0,0,0,0,0,0.412579250252684,0,0.0798800790669164,0.167909707621334,0,0.140786431444841,0,0,0.136838750336835,0,0,0,0,0,0
EOS,0,0.226634788837871,0,0.2393299957302,0.163938539598093,0,0,0.186811556667111,0,0,-0.162783831672267,0,0.120253505028662,0.0910661330644905,0.326794102539038,0,0.0587163178713449,0,0,0
BNB,0,0.552277587284311,0,0.332435067736039,-0.207604204482732,0.0981206194453805,0,0,0,0.246712582139579,-0.140027524923362,0,0,-0.292835163214066,0,0.106280113785234,-0.0999594524829442,0,0,0
XLM,0,0.0728726197268485,0.231234783103761,0.178027123453112,0,0.0304044033285358,-0.0420010892024138,0,0,0,0.0700403032285131,0.237203858803583,0,0.0689999273450904,0,0,0,0,0,-0.0336094009710094
ADA,0,0.220208695332607,0,0.140438544737928,0.254720468717323,0,0,0.037214479490012,0,0.0572162327226684,0,-0.132201496916308,0,0.420121219024509,0,0,-0.0896217237234945,0,0,0
TRX,0.0604089240738014,0.0523823239806928,0.27588702700744,0,0,2.16840434497101e-19,-0.124656775633553,0,-0.0830617283690241,0,0.10912282003215,0,0.266246808175429,0.104937595063092,0.054023069532262,-0.0834444136072067,0,0,0,0.0398946295806742
BSV,0,0,0.308394546693587,0.123301955635213,0.169897591116434,-3.46944695195361e-18,-0.112398515820292,-0.0405025029709853,0,0.137994831728347,0,0.0974840699932468,0,0,0.18003846680017,0,0,0,0,0
DASH,0,0.00777535789378256,0,0.135502087395024,0,0,0,0.161157190326593,0.104443969676481,0,-0.000550340260845699,0,0.30055661067546,0,0,0,0,0,0,0.0116457561795936
XMR,0,0.196374626670404,0,-0.00874737385048254,-0.0963885048929814,0,0.0749353462243025,0.218205113230433,0.0664593458245202,0.292135824063813,0.157895804241585,0.197157268458609,0,0,0,-0.10423631593596,0,0,0,-0.0621777085182221
MIOTA,0,0.334543127721773,0.0588263258502662,0.15479649547666,-0.123315357045396,-0.0931389303576279,0,0.103331427891794,0.16230916775175,0.15159491136284,0,0.115209078929821,0,0,0.0352266507496899,0,-0.097481031165615,0,0,-0.0921701664271634
NEO,0,0,0,0.0908023508589701,0,0.152421907895253,0.142960625755851,0,0.377272727566271,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.597847647957908,0,0,0,0,0,0.11700355368491,0,-0.122804649704617,-0.147860083598294,0.15635355941509,0.0995213032168617,0.195142228416873,-0.00232989820249452,0.137993890924101,0,-0.286609914246287,0,0,0.0125546081973849
CVIX.Index,0,0,0.1008777116186,0.251816643754995,-0.152978145265399,0.0906279259315854,-0.193959062677797,0.218881710621819,-0.0987334902999342,0,-0.179131875237157,0,-0.114993917364617,-0.364444107579669,0.139515790203459,-0.467411977353553,0,1.43796111902288,-0.462432759063064,-0.010491328201858
DXY.Curncy,0,0,0.0119736362665261,0.00607987744010148,0.00432041616153813,-0.00379329885802177,0.0138085705268708,0.0144739846735443,-0.00780946972492868,0,0.0186822049122563,0.0231646353111037,0.00497118596179113,-0.0662183167107593,-0.0238199971517611,0,0.027155280162269,0,0,0.00719494430300076
SPX.Index,0,0,0,-0.0191422582735453,0.0094416391454424,0,0.00179103884270782,0,-0.0322464624684612,0,0,0,0.0227431641737963,-0.00455148366379646,0.0329907543307826,0,-0.0204787595926517,0,0,-0.0771289369061782
VIX.Index,0,0,0,0,0.245148786447102,-0.526267511860426,0.14038118090701,0,-0.156269020664069,0.32621384435081,0,0,0.0871871522154365,0,0.298480383431089,0,0.167200474022321,0,-6.01084086047461,0
