,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0796455783680259,0,0.131090732027737,0.0910394138128504,0,0,0.0962630708312746,0.0999206891105954,0.0694298674323353,0,0,0,0.0420047271846875,0,0,0,0,0,0.0596665842519106
ETH,0,0,0.129706412370358,0.186736591450212,0,0.0410550194601761,0.371741694048002,0,0.0534436356301511,0,0,0,0,0.0466100940120759,0,0,0,0,0,0
XRP,0,0.284319818171208,0,0,0.154823474082649,0,0,0.016739564816261,-6.93889390390723e-18,-0.141904268018352,0.169504671240534,0,0.0872874680940251,0.183191328062408,0.0576836791759597,0,0,0,0,-0.0387518682247292
BCH,0,0.115688998803798,0,0,-0.122492061544504,0,0.570844711134149,0.125599328440027,0.186937856166158,-4.33680868994202e-19,0,0,0.0882593046425475,0.0568590737755312,0,0,-0.247856994659547,0,0,0.0506198090006439
EOS,0,0,0,0.933268164982745,0,0.25827150040369,0,0,-0.304507852434952,-0.266906837692211,0.66207611834821,0,0.033479129087917,0,-0.499294272930438,0,1.38777878078145e-17,0,0,0
ADA,0.455862778350949,0,0,0,0.122163285379332,0,0,0,0.0475994829894401,-0.0387571925227745,0.278177134777356,0,0.199614594501372,0.23531200086256,0.0224590460604312,0,0,0,0,-0.0505000807156388
LTC,0,0.437757887181643,0,0.122097084110813,0,0,0,0.164184977612557,0.0431301917456101,0,0.0923025010346036,0.0297880300445794,0,-1.73472347597681e-18,0,0,0,0,0,0
XLM,0,0,0,0.0788138413493877,0,0.227440571764649,0,0,0.0983311884456134,0.0674043758050616,0.152789287417006,0,0,0.206419959182923,0.0886871444717779,0,0,0,0,0
MIOTA,0.185885077362683,0,0.281633522931544,0.413031079155629,0,6.93889390390723e-18,0.0146114944243515,0,0,-0.0276617225055247,0,0,0.105637964688976,0,0.137508744098108,0,0,0,0,0
TRX,0,-0.319777896083784,-0.138500246735561,0.794595593422325,0.157711558920525,-0.449559813579004,0.55694259995521,-0.181893571804938,0,0,0,0.472515857545818,-0.084630652214878,0,0,0,0,0,0,-0.16431438426484
NEO,0,0,0,0,0.0778657810555629,0.0688009037669396,0.141844727503596,0,0.140710704324745,0.0627897655916551,0,0,0.181249081209529,0.069986383107589,0.150243415768803,0,0,0,0,0.0156930077528271
DASH,0.259951679414504,0.164505624115475,0,0.205204863377037,0,0.0583320442003358,0,0,0.0556808385927907,0.0345746962780867,0,0,0.0920627709739775,0.0232409502056864,0.0701868714594382,0,0,0,0,0.0795346593400749
XMR,0,0.340432036003916,0,0,0,0.176923169290992,0,0.139936575691034,0.0177273029090107,0.214978338459636,0,0.273619103414219,0,-0.38311002898283,0,0,0,0,0,0
XEM,-0.220265539250596,0.672261805352638,-0.246785171336956,-0.372212866624498,-0.123661357797551,0.270979975970903,0,0.407445620349345,-0.0515952493219333,0.211203838326869,0.0807347314832035,0,0,0,0.307287783415237,0,0,0,0,0.0191155635204966
ETC,0,0.105995661022051,0.672460748558768,0,0,0.0992849838915288,0.0145394352356721,0,6.93889390390723e-18,0.107726035911225,0.121059343266881,0,-0.262717014258129,0.0757106858342538,0,0,0,0,0,-0.0681865300279559
BV010082.Index,0,0,0,0,0.00303911072212922,0.0372344612310135,-0.0319442866442242,0.0321053165152915,0,-0.00424100432176846,0,0.158814301085601,-0.0904676230622032,-0.0738149254975388,-0.0300126505277425,0,0,0,0,-0.0708079185364581
CVIX.Index,-0.0826170375803995,0,0,-0.0760527260494344,-0.0258402512063027,-0.0818815540051796,0,0.0411106627423867,0.0618680106589373,-0.0267269180854133,0.0164404637961505,0.197038281378959,-0.105185853468284,-0.227193928321442,0.26393445213965,0,0,0,0,-0.0291141371557218
DXY.Curncy,0,0.00811256715594988,0.0258299735545028,0,-0.00709196021131123,0.00637029895232736,0.020307880172791,-0.01545143391301,0,-0.00410171619264394,0,0,-0.0233487817534177,0,0,0.0346805300284817,0,0,0,0
SPX.Index,-0.0847171977405985,0,0,0.0448384462614206,0.0172812693503012,0,0.0190287670908547,-0.0143516763320702,-0.0293651742908898,-0.0214983727796406,0.0358706921070214,-0.0133766400589324,0,-0.0115930115750802,0.0319474561292498,0,0,0,0,-0.112344597752442
VIX.Index,0,-0.239329364044324,0.292739214083464,0.175080944872339,0.0919437520778359,0.0115562363781069,-0.176322410055709,-0.401387499679707,0,0.105872145545617,0.0899855796348818,0.287564492153991,-0.135322648262862,0,0.0354347068824313,-0.928286633113524,0,0,-4.04368704717877,0
