,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00783757694546441,0.125617396822632,0.114448980392864,0.0489466274864357,0.0575489884336439,0,0.0209142313262498,0.108951561093208,0.0639520046812579,0.0514472438665709,0,0,0.0504748159317216,0,0,0,0,0,0.0789520960666092
ETH,0.0970086897834505,0,0,0.188450148843356,0.0920971573404992,0.410440037979062,0,-0.114861782227451,0,0,0,0.105977002332072,0,0.112813910014717,0,0,0,0,0,0
XRP,0,0.254746740303894,0,0,0.118754532284955,0,0,0.180974685878411,0,0.0784404710924126,0,0,0,0.080179573011502,0.0677361569760925,0,0,0,0,-0.0630713750882988
BCH,0,0.10520118129165,0.150650514775011,0,-0.268820271804316,0.445287197242041,-0.0352107317277973,0.0731271005549029,0,0,0.0895330914003163,0.167461069826761,0.143355475648121,0.0804640260222547,0.0634243643327983,0,0,0,0,0
EOS,0.28330615641172,0,0,0.157023579696053,0,0,-0.140902523073934,-0.0561548973960696,0,0,0,0.272480435542076,0.00404206456743073,0.0145092948260062,0.280413189563873,0,0,0,0,-0.174541782142762
LTC,0,0.149192355753674,0,0.217382987580563,0,0,0.0328228071225583,0,0.205263655063343,0.104598546251752,0,0,0.0367664617510634,0.0735370753809071,0,0,0,0,0,0.0302980676468009
ADA,0,0.347913473260631,0,0,0.159946505628783,0,0,0.1066010932825,0.175528205710625,0.0754556923638147,-0.041936693303881,0.109234462940341,0,0.122618224341878,0.088342694551236,0,-0.125638149459596,0,0,-0.0165150804805698
XLM,0,0,0.0730607318322964,0.0869756408451313,0,0,0.252478366508816,0,0.19439103824213,0.162334073088894,0.0703840744216683,0,0.0034371684023983,0.109510132285594,0,0,0,0,0,-0.00394296052167747
MIOTA,0.0603211847978388,0,0,0.385155354630764,0,0,0.063597191873911,0,0,0.234384596260387,0,0.118667632317821,0,0,0.097946209062834,0,0,0,0,0
NEO,0,0,0,0,0.0643114807256774,0,0.0967928356856211,0,0.113868198507839,0,0,0.164287954745754,0,-0.0242852458478031,0.376378136602835,0,-0.276426385654549,0,0,0
TRX,0.375369678112601,0,0,0,0.196648555729379,0.73514542416216,-0.813812371469823,-0.422247786957319,0.0750965920575492,0,0,-0.0801827822661554,0.848664063855141,0,-0.125620246009445,0,0,0,0,-0.174358863975183
XMR,0.745008475357836,0,0,0,0,0.359078937008904,0.107051588315186,0,0.119811338772129,0,0.0150127993998885,0,0.14285205859799,-0.270277002376594,0,0,0,0,0,0.0302970990741046
DASH,0,0.133732628464934,0,0.296348513755459,0.0011462645377322,0,0.0674598480882099,0.0636104072794732,0.0685412599832591,0,0.129509219924468,0.0843025641703968,0,0.0352570788850471,0.00000000000000000346944695195361,0,0,0,0,0.0795388737144324
XEM,0,0.381847097828354,-0.0406549884127142,-0.156431697344013,-0.0971787362344772,0,0.307497324591956,0.214701862340872,-0.131441662133338,0.292424965775778,0.234432149218696,0,0,0,0,0,0,0,0,0
ETC,0,0,0.515359474359474,-0.0000000000000000138777878078145,0.109741375210538,0,0,0.108889991807551,0,0.137934216036655,0.131329164234031,-0.16471771734217,0,0.138765641851803,0,0,0,0,0,-0.0564233897496024
BV010082.INDEX,0,0,0,0,0.0120022004355036,0.0217022960378108,0,0.0788323458017327,0,0,-0.0195200078448866,-0.0209738885606798,0.0957784263501523,-0.066925335608392,-0.0173643626684971,0,0.0896201989629439,0,0,-0.0627178928663056
CVIX.INDEX,-0.125064233324792,0,0,-0.0766565419368331,-0.05953484317571,-0.0363755509601122,0.092375118568051,0.17315279951756,0.101657261002474,-0.0972172166363699,0.0435720870691414,-0.115073654497758,0.278865584132932,-0.2541114002903,-0.0360889702880352,0,0,0,0,-0.0121186038336235
DXY.INDEX,0,-0.000000000000000000216840434497101,0.0162350752368822,0,-0.00136591388074235,0,0,-0.0426298395560685,0,0,-0.00441485720939439,0,0.0510087118447421,0,-0.0112452299957607,0.0664046994943737,0,0,0,-0.000757077286369716
SPX.INDEX,-0.0815980484364744,-0.02081412506202,0,0.016056511981121,0.0417205504151286,0.0611667397578255,-0.0565903069228973,0,-0.00998859177365712,-0.00208980124686267,-0.0184081055746524,0.0292071427899377,0.0115554316831273,0.00513901258017394,-0.000000000000000000867361737988404,0,0,0,0,-0.104857902140943
VIX.INDEX,0,-0.318755364065927,0.142338231529211,0.199918355369369,0.0206495244300582,-0.0630751518764671,0.207285704885759,-0.476386737436832,-0.0194778716876353,0,0.154418255914609,0,0.229454330697002,0.0305328416810553,0.00347808669360734,-0.557085564416232,0,0,-3.87028381502433,0
