,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.130662173486195,0,0.296176787751308,0.139591085816219,0.115963272761542,0.0519418503168422,0,0,-0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0495560778518657,0.166066646683794,0,0,0,0.276990487669115,0,0.0983120529443992,-0.0442382724287483,0.142055490189796,0,0.225964864699658,0.041033457621892,0,0,0,0,0
BCH,-0.220772467530322,0,0,0.197331947088761,-0.557798708258622,0,0.900728830147343,-0.661538443231583,0.164500944865983,0.864616315185243,-0.0617190192306193,0.618904687782455,0.423275178356467,0,-1.1175155377102,0,0,0,0,-0.0978718553419874
XRP,0,0.237201929130685,0.0853483703613472,0,0.139692249401065,-0.0777412396494679,-0.131924172673058,0.0384875016474545,0,-0.172054417314375,0.0774156145357525,0.0971252632023227,0,0,0.396949807503054,0,0,0,0,-0.0117114534255056
LTC,0.0756867077061408,0,-0.00975304400881636,0.0679976118439618,0,-0.00600614041923364,0,0,0,0.750149336573453,0,0,0.0820465644574594,0,0,0,0,0,0,0
DASH,0.175234185979351,-0.0248379319482756,0.0798816225943799,0,0,0,0.0878975915648237,0,0.0525148473223375,0,0.0106294708937804,0.382019943462055,0,0.0935682223617358,0,0,0,0,0,0
XEM,0,0.140545044607742,0.0284429613556475,0.0808194749421707,0.116959714594542,0.522319229278944,0,0.0277991319695873,-0.131516898005549,0,0.100827542350086,-0.198608151486591,0.0446786621160715,0,0.326396647229513,0,0,0,0,0.137416827983531
MIOTA,0,0.230520585161277,-0.0933651310187286,0,0,0.182839549219443,0.204026915321163,0,0.11140839915175,0.149143953281401,0,0,0.190576112447129,0,0,0,0,0,0,0
XMR,0,0,0.123398017651511,0.143887496056638,0,0.216386138242591,0,0.0311291423131802,0,0.0208779952003265,0.131970637770289,0.179638866105954,0,-0.119149062687707,0.222070935181637,0,0,0,0,-0.0461316714645924
ETC,0,0,0.0432070764995089,0,0.671371141540532,0.031290386196095,0,0.0796396208800627,0.110186177781976,0,0.00435958206408762,0,0,0.0609641240696738,0.111218713291954,0,0,0,0,0
NEO,0,0,0.0502656795693521,0,0,-0.0268992418288275,0.394243711452848,0.164190085779142,0.198608223524901,0,0,0,0.252992886731417,0.00323624977303933,0,0,0,0,0,-0.196352479063942
ZEC,0,0.451373672708894,0,0,0,0.231332109786192,0.0697026708916254,0.169664112162753,0.0677574202632366,0,-0.0082941649094135,0,0,0,0.0845853809144388,0,0,0,0,0
EOS,0.0656096693334423,0,0.0925551778032261,0,0.38340175180466,0.0578671050120212,-0.130272846815946,0.247901570428928,0.200219203624872,0,0.198939759870499,0,0,0.0863782429252847,0.20478507084593,0,0,0,0,0
BAT,0,0.0732848038652301,-0.0454661383381734,0,0,0,0.0155433460972635,0.0366912913385695,0,0,0.180759404006953,0.284097994975469,0.153653505562255,0,0.247455404913724,0,0,0,0,-0.0774557600033632
XLM,0,0.126485511017568,0,0.0642198990420654,0,-0.141681065685313,0.0775430298409465,0,0.50176967279412,0.034070455825467,-0.0208590019728186,0,0,0.253115828993877,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00817056713265318,0,0,0,0,-0.00739101450384853,0,0,0.00111381973544138,0.0613191575874754,-0.0212554669077507,0.0289630526099682,0,0,0,0,0,-0.072004057162221
CVIX.INDEX,0.0494017632923008,0,-0.0341694008682947,0.139595950706186,0.0685010704163325,-0.000000000000000000433680868994202,0.0447615860639607,0.0688207132796039,-0.0238538085545314,0,0.00129163363853272,-0.139593399386927,-0.0795689621820981,0,-0.034838489909109,0,0,0,0,0.0758490028175446
DXY.INDEX,0.00752440501136819,-0.00889280525825067,0.0028473557990717,0,0,0,-0.00515187907516622,0.0132922459916395,0,0,0,-0.0133217545927422,0.00769576286707328,0.000734820671066895,-0.00210839377534492,0.0596276759682726,-0.0254827616815992,0,0,0
SPX.INDEX,0.00288672862604956,0.00280573254502395,0,0.00281035016469851,-0.00975053100054061,-0.0157062462069801,-0.00248775097003625,0.00254603792702224,-0.00742504734955857,0.0144215277842927,0,0,0,0.00405546683777652,-0.00108307988943092,0,0,0,0,-0.0473481458866511
VIX.INDEX,0,0.169609762149403,0,0,-0.250344567033932,-0.16829697022321,0.28732460411588,0.0685182143474983,0.0332906210205774,0,-0.0730353777727414,0,-0.319168446942418,0.21351856405695,0,0,2.20239283478754,0,0,0
