,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.261951885033238,0,0.0728159283593924,-0.0898625923381073,0.240400048088535,0.308331995364297,0.121812331089614,-0.197740416514243,0.0335245150236963,0.194407515771066,-0.349263041263826,0.0558526108991397,0,0,0,0,0
ETH,0.484396998901105,0,0,0,0,0.740982274176135,0.212127031719708,0,-0.220273952151323,0,0,-0.295887548718218,0.0489090858714147,0,0,0,0,0
XRP,-0.0915964963944582,0,0,0,0.619399702023683,0,0,0.19901368678817,0.0483885609646128,-0.424691688927724,0.300564183236052,-0.122566742128728,0.157790051646739,0,0,0,0,0.318941631829059
DASH,-0.131523761808305,0.0461347882653402,-0.0224761587551931,0,8.67361737988404e-19,0,3.46944695195361e-18,0.139098297971623,0,0,0.0817081666622845,-0.0649658815671672,0.00810359997226683,0,0,0,0,0.520143494962185
LTC,0.120970583060059,0,-0.0577827144431686,0.0145195971191163,0,0.133848122441291,0.114393397619915,-0.0868236072346753,0.0424086480989852,0,0,0,0,0,0.020944363542399,0,0,0
XMR,0.230681634183305,0.423917225883381,0.0808437108553938,-4.33680868994202e-19,0.087384811125082,0,0,0.19254588218402,0.154656144272192,0,0,-0.079212332241973,0,0,-0.446229402895108,0,0,-0.174708891434312
ETC,0.355672728025143,0.333442912111428,-0.185081243929465,0.0657195455236343,0.417909759588635,-2.77555756156289e-17,0,0.0964857767585526,0.156062199311935,0.0925399388185664,0.460002215566948,0,0,-0.543425738836718,0.0267622331081861,0,0,0.382190435316799
XEM,0.289750060862135,0.346758045578354,0,0.360476886623797,0,0,0,0,-0.131876884994339,0,0,-0.116367149774629,-0.154407866109242,0,0,0,0,-0.47399306421731
ZEC,0.111177605495238,0,0.128491583961802,0.448997666636342,0,-0.32709119851493,0.0923003496860703,0.184058253702871,0,0.616523402076442,-0.134777082725096,0.268718822212941,-0.533815240142389,-0.604110618598908,0.339890618883162,0,0,-0.538428710476402
DOGE,0.246672739510022,0.0219387092702054,0,0,0,0,0,0,0.287855923855479,0,0.293018763720237,-0.0589631247279171,0.163571936220667,0,0,0,0,0.149866740068355
XLM,0.375548817787818,-0.155701684451325,0.0797475802300014,-0.0437970895916737,0.127292220799079,0.0693404744089343,0.427083833608814,0,-0.155297336932029,0.248868952494489,0,-0.103613061043138,0.0246781026354347,-0.622726970433597,0,0,1.59453350827751,0
NEO,-0.34055030103588,-0.285464402269275,0,0.148757462701406,-0.0368723111515346,0.17203811069469,0.259060465595898,-0.157633478335393,0.348550260295083,0,0,0,0.176148980153761,0,0,0,0,0
DGB,0,0.202039847540971,-0.067808206590645,0,0,-0.119986730979086,-0.141136544054209,0.131134085887456,0.0580583956262874,0.352817700710303,0,0,0,0,0.266383230467254,0,0,-0.473323258512012
BV010082.Index,0,-4.33680868994202e-19,0,0.0537050747427595,0,-0.0627555421426325,-0.0905667428178159,-0.0483615884392834,0.0170352946705573,0.0868843006347143,0.0792237909817033,-0.0614918957963723,0.129956660768201,0,0.0689207464073145,0,0,0.0569334156135698
CVIX.Index,0,0,0.00195320834673473,-0.0658382451401802,-0.00108850348706598,0,-0.0474493468247401,-0.100420725567447,0.179326941685111,0.12146782630429,0.127096634523278,0,0.0147519730801315,0,0,0,0,0.42535257411061
DXY.Curncy,0.0152644446694467,0.00564607303412079,0.000670178813355128,-0.006238576914041,0.0034985070100534,-0.00965648005108942,0.0316432619354916,-0.0116763760950751,-0.00789125162723205,0,0,-0.00475340382703386,-0.00939785417788021,0.155389763495659,0.0414196875997748,0,0,-0.0165042919139721
SPX.Index,0.00996351842410332,0.0170005239991677,-0.0247533712971308,-0.0185893812424202,0.0183233868747764,0,-0.0151719203184074,0,-0.00574107289533263,-0.0145808987456271,0.0331452321561144,0,-0.00130246465271926,0,0,0,0,-0.0291441352112392
VIX.Index,0,-0.00858028234073296,0,0.00789839268494566,0,0,-0.128501023377084,-0.222055141605038,0,0,0.185621933447653,0,0,-0.279465324773977,0.300724305600916,0,0,0
