,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.153558317783061,0,0,-0.0114674673299785,0,0,0,0.129362753776381,0.0535835180991051,0.134993533595929,0,0.0665973946120131,0.0521518124679358,0.0899472951492305,0,0,0,0,0
ETH,0,0,0.183887984106797,0.27653707826556,0.0213653822957672,0,0,0.0141799758866945,0.0809679755084377,0.0916855849446325,0.0330697932932327,0,0,0.178497127210129,0,0,0,0,0,0.0144485930667907
XRP,0,0.06919591918859,0,0.120279828628812,0.0450168052736521,0.156813994400719,0.109227863829871,0.077009370703139,0,0.189995817727967,0,0,0,0,0,0,0,0,0,0.0889868463205221
BCH,0,0.521333650324164,0,0,0.146022430251017,0,0.00338853180740897,0,0.0807860684927886,0,0,0,0,0.0393145235071773,0.0744648770784507,0,0,0,0,-0.0105716305283256
EOS,0,0,0,0.1838861294603,0,-0.339374403392524,0,0.504412711064999,0,-0.315692632872352,0.844577105474451,0,0,0.41076895329914,-2.16840434497101e-19,0,0,0,0,0.0229316434503507
LTC,0,0,0.174199813229155,0.000324435440710896,0.0214687177620834,0,0.0849309515477809,0.257466184432944,0,0,0,0.142936885271606,0,0,0.134315663633628,0,0,0,0,0
XLM,0,0.205496078881271,0,0.0362367289172981,0.172548002746707,0,0,0.221441207489948,0.0545354232318173,0.0657468822341986,0,0,0.0659644215139136,0,0,-0.159908019072407,0,0,0,-0.0229792906276109
ADA,0,0,0,0.144573364666752,0.138153680266064,0,0.12836630301161,0,0.0806669555568768,0.221732584931156,0.14550670062467,0,0,0.0434088460960822,0,0,0,0,0,0.03785951672382
MIOTA,0,0,0,-0.273760767322425,0.0275015238662444,0,0.389593098681563,0.611651773839714,0,0.0169706754684502,0,0.329029160715249,0,0,0.0232612182525676,0,0,0,0,0
TRX,0,0,0.671267698265543,-2.77555756156289e-17,0.0908112433093957,0,0.126018665166533,8.00392148745414e-05,-0.096010023966901,0,0.382021855030076,0,0,0,0,0,0,0,0,0.0011407374102148
XMR,0.401726726166319,0.119717072285028,0,0,0.0791268663699726,0,0,0.104594152421729,0,0.15780073116007,0,0.172910956470801,0,0.0164749352304866,0.0709153078899088,0,-0.325737614332968,0,0,-0.0784084185986156
NEO,0,0.0411447866286715,0,0,0,0.231051853359815,0.0217194089931041,0,0.248254114001388,0,0,0,0,0.279242550929423,0,0,0,0,0,0
DASH,0,0.296616102828151,0,0.113344960713224,0,0,0,0,0,0.0267109802868623,0,0.131550053493715,0,0,0,0,0,0,0,-0.00455497532253163
BNB,0,0.114907247177579,0,-3.46944695195361e-18,-0.104912792809437,0,0,0.277074374287645,0.219614884144721,0,0,0.0880609654541462,0,0,0,0,0,0,0,0.104729912344421
ETC,0.347326029328263,0,0.589067599742337,0.174700958496904,0,0.12644791772072,0,0,0.041719808566294,0.0830937559758905,0,0,-0.184650795810074,0.00608864487201026,0,-0.319021492818428,0,0,0,-0.166987811614961
BV010082.Index,0,0.136470752320222,-0.139393204158974,0,-0.126425451608919,0.000186239414544478,0,0,0,0,0.137518834030641,0,3.46944695195361e-18,0,-0.0477266563703838,0,0.0233302211842285,0,0,-0.250846920313679
CVIX.Index,0,0,0.0306406418129487,0.282558001067786,0,0,-0.106449586146703,-0.101338893243739,0.0745059147295245,0.148345685022326,0,0,-0.364522948497654,-0.040804676513851,0,0.298184690612387,0,0,0,0.155779078267401
DXY.Curncy,0,-0.0245399286685287,0,0.0627300456497588,0.0210379302685142,0,0.00765818765054517,-0.0905056322571763,0.0154957450802019,0.0442532720622396,0.00507106815781769,-0.0541064863917259,-0.00906276522878484,0.0237427099860492,0,0,0.000955955456254303,0,0,0.0206595006159648
SPX.Index,0,0,0,0.0167933768821833,-0.0109862698475849,-0.0218758378309404,0,0,-0.0183654623908566,0.0106348951619155,0.00932909150520636,0,-0.00788924401492545,0.00893679416701991,0.0123468879548534,0,0,0,0,-0.0629851817927113
VIX.Index,0,0.0088431672983789,0.025164545381509,0,-0.098209404792404,2.16840434497101e-19,-0.0489880937683168,0.261000405339646,0,0.319186259061601,-0.299111963611447,0,0.280004043764577,-0.106331173006164,-0.445716597842057,-0.0418713316071847,0.530446404296784,-0.809400237145593,-7.04295462233473,0
