,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.41507774604903,-0.032234747984742,0,-0.258247956434344,0.134148395682439,0,0.0118710520467453,0.149709381835722,0,0,-0.0161115550291242,0,0,0,0,-0.09346609106385
ETH,0.076913342723778,0,0.0222559548815519,0.16222292067548,0.0547248843385157,0.0387309774805287,0.04975990342321,0,0.140976734833985,0.0954215028242226,0.102345058021032,0.0618443715896439,0,0.0864909138157557,-0.00370670734539866,0,0,0,0,0
BCH,0,0,0,-0.578234754607212,-0.0267522272424291,0.0931846495576265,0.420870976805118,0,0.374608333593406,0,0.324169220809315,0.0942416543425024,0.109524256368139,-0.329537278693923,-0.117611838204628,0,0,0,0,-1.07316552595843
XRP,0,0.462616040754096,-0.072648981698923,0,0.0407645051566404,-0.00944437867202881,0.0592153070159204,0,0.354409378554742,0,0.0361295852457097,0.131008949612584,0,-0.0961316726313501,0,0,0,0,0,-0.064982281002421
LTC,0.262754397375828,0,-0.0758290960684944,0.28015538725304,0,0,0,0,0.069890718384531,0.170608446408913,0.175188505072339,0.0318007504607879,0,-0.0526410217673261,0,0,0,0,0,0
DASH,-0.484653929908521,0,0.100652629577185,-0.0714995836882771,0.649135288810531,0,0,0.197170239264384,0.528352698405248,-0.9070356508523,-0.464747813767425,0,0.580659555622913,0.00484546063712375,-0.00226584817533026,0,0,0,0,0
NEO,-0.236019850274023,0.63236978252902,0,-0.117609849323532,0.0899932328226981,0.00367571509683556,0,0,0.113974808673549,0,0,-0.00347659501431948,0.172643010551321,0.0753781530014258,0.138745505723972,0,0,0,0,0
MIOTA,0,0,0.0366494777919527,0.263250401484368,-0.284561202108062,0.087304102979748,0.0352390025179016,0,0,0.777240150368995,-0.16611464618421,0.219676084297348,0.18888878615263,0.160064242138661,0.0562949208414562,0,0,0,0,0
XMR,0.106882689507208,0.290714788462751,-0.0314901934441697,0,0,-0.0771633745908125,0.112440764341215,0,0,0.0464723159053866,0.0688285285453113,-0.0559893280785168,0.280383701908956,0.0971715258046279,0.0168510065139509,0,0,0,0,0
XEM,-0.0442299944320728,0.427241090708988,-0.0892584670240874,-0.0963701947808948,0.109657687504454,0,0.0496923690680217,0.143621897865137,0,0,0.0416552224807492,0,0.136062591825537,0.0490456122974221,0.0292501058874399,0,0,0,0,-0.190084097395972
ETC,-0.149483227235364,0,0.187383825091001,0.284370977475515,0.161988560166915,-0.401646181376424,0.0817534941108048,0.123924657427902,0.0476789624523744,0,0,0.0382782658671417,0,0.0525046132995118,0.0382739496513535,0,0,0,0,0.0470660229714926
EOS,0.540259660918921,0.331843999235925,0.0173518689772378,0,0,-0.00060346906680201,0.0715047262725333,-0.0967805519407595,-0.474311695021509,0,0,0,0.640140940690088,0,0.0872977965249439,0,0,0,0,0.157212871361621
ZEC,0,0,-0.0124680815508763,-0.131743711016782,0,0.240954878865973,-0.0143570541633513,0,0.325291541943387,0.0641365376857308,0,0.0830795055060951,0,0,0.0539374160756866,0,0.283171540316285,0,0,0.0440294415962355
ADA,-0.190227812451227,0,-0.235389817678946,0,-0.0541625197377109,0.153559068008923,0.388396494382518,0.385538070952959,0,0.4517935896599,0,-0.0356714204213378,-0.53661488966342,0,-0.0188352193154894,0,1.80794589534923,0,0,0.218498718318748
XLM,0,0,0,0.393860455471682,0,0.153701802099446,0.134538675737921,0.547109364145959,0,0,0,0.191994531441612,0,0.263790587173638,0,0,0,0,0,-0.501964369484157
BV010082.INDEX,0,0,-0.00758835553778365,0.00389979126588759,-0.104724554424643,0,0,0.0145902882181663,0,0.0230830398649715,0,0.0366048600534832,-0.00776305155781721,-0.0258964636760947,0,0,0,0,0,-0.0061026450525745
CVIX.INDEX,0,0,0.0347730615787484,-0.0762314868405453,0,-0.05544086646824,-0.00332934706974692,0,0,0.107922262494741,0,0,-0.0229640118293364,0.0194764385265349,0.0155922550888452,0,0,0,0,0.113825148763508
DXY.INDEX,0,0.0212240027094297,-0.00205351823742473,0,0.00187097719628385,-0.0134038175899041,0.000444564209597755,-0.0160721983648603,0.0206535032506649,0.00578688872884957,0,-0.00377989895380573,-0.0000000000000000000542101086242752,-0.0184478436800243,0.00242553113015371,0,0,0,0,0.00596462960799597
SPX.INDEX,0,0,-0.00263640151366517,0,0.00326128191754338,0.0151315182965971,0.00100053665171887,0.00642490296240879,0.00243796510834182,0.00233794140108013,0.00384728768038197,0.0040026520338688,-0.0353399388027668,0,0.00187688965619648,0,-0.00565748366327338,0,0,-0.0385705304343497
VIX.INDEX,-0.114661087466314,0,-0.420620511574812,0,0,0.223713704936748,0.173482846644942,0.208023319573219,0,0,0.0314781307193921,0.043904220632151,0,0.0162894909347849,0.0700366207435721,0,0,0,0,0
