,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,XEM,DASH,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0721636479411721,0,-0.0602432989902476,-0.139402521286556,0.0828717917165059,-0.0130118878999603,0,0,0.0317437609355764,0.0299950794043627,0.233807686388285,0.126457772155855,3.46944695195361e-18,0,0,0,0,0
ETH,0,0,-0.0321897801692585,0,0,-0.0452583098055143,0.0365945145818483,0.0706184777186991,0,0,0.0169226413000995,0.080789314461235,-0.000966717221602999,0.193657868216548,0.196034983811103,0,0,0,0,0.200615541651697
BCH,0,0.0379522105206155,0,0,-0.480113477865503,-0.151745261685229,0.0543635189925486,0.167459995080988,0.413471366586538,0,0.216248051027201,0.354463775796755,0,0.354199752031616,0.103142468140297,0,0,0,0,-0.77869400190088
XRP,0,0.472356704159322,0.149324289503157,0,0,0.0670635878318128,-0.0250811101200998,0.0139638696006001,-0.0966698302032462,0.172830942181729,-0.0615106253428492,0.100812919705901,0,-0.0370295704875446,0.115789319410929,0,0,0,0,0
LTC,0.0383764857248261,0.436035832288806,-0.11383657932472,-0.00252649931396263,0,3.46944695195361e-18,0.137619085982818,0,0,-0.0912725100825892,-0.0207186807512725,-0.0161354611790201,0,0,0.169296483967612,0,0,0,0,-0.155657385355751
ADA,0,0.23692338331231,-0.342643026537431,0.0978204965732959,0,0,0,0.12547953094922,0.281779428849147,0,0.0301747033599556,-0.0696797553405382,0.219651358698881,0.398452357699615,0.281687377165311,0,0.548055649623022,0,0,0
MIOTA,0.396872788334298,0,0.0139420776164395,-0.0415519757460945,0,-0.190515794504877,0,0,0,0.114023117046314,-0.0316152460835687,0,0.37895486569808,0.163927699042544,0.442232470590025,0,0,0,0,0
XEM,0,0.0675123606448745,0,0.257738691698397,-0.404548168069032,0.0597944558598943,0.276345094435814,0,0.127466150058851,0,0,0.0745584254313967,0,0.176871561031704,0.105048146169106,0,0,0,0,0
DASH,-0.0681484048461706,0.0620382621667637,0.110335260552943,0,0.219378455526804,0.00347527274763721,0.070762593759618,0,0,0.10412003282226,0.028827844822312,0,0,0.114144885573874,0,0,0,0,0,0
XMR,0.333760557838478,0,-0.00577543876257091,0.0307695628238572,0,0.00936861472265567,0.107072890732225,-0.00311123314343238,0.346246316554344,0,0.0093824143844456,0,0.0860007409835876,0.262423026752337,0.200366923735846,0,0,0,0,0
BTG,0.634508748152149,0,0.857024938911724,0,0.827894618741822,0.14586903247914,0,0,-0.308502374735218,0,0,-0.475559474690248,0,-0.0811940112638766,0,0,0,0,0,-0.657488374018311
EOS,0.2952666803596,0.170638914181048,0.17619909618222,-0.0663207296345814,0.421585789277941,4.33680868994202e-19,0,0.0725327853981414,0,-0.416112309316179,0,0,0.418413240881872,1.73472347597681e-18,0,0,0,0,0,0
XLM,0,0,0,0.176352236658045,0.0501408078201822,0.315111404623582,0.118262378894184,0.00697554193920088,0,4.33680868994202e-19,-0.0707642421788176,0,0,0.133248881900306,0.154228046932817,0,0,0,0,0
NEO,0,0.425363936808287,0,0,0.1095572685999,0,-0.192792067100932,0,0.0983612159899131,0.243567964880473,-0.0975363201541932,0.112234271244901,3.46944695195361e-18,0,0.216194581717157,0,0,0,0,0
ETC,0.099904344202045,0.398360025426781,0.264084299791469,0,-0.0118937405930732,0.147025628994721,0.101857031036366,0,-0.253095379616287,0.205633497763888,0.0812190005287958,0,0,0.0716281920932803,0,0,0,0,0,0
BV010082.Index,-0.0359180200206545,0,-0.0451425852069839,-0.0101542402961602,0.0193579455185669,-0.00345451547127489,0.0152770161008393,0,0.0145469182278388,0,0.000904774938867026,0.0073463004165062,0,0,0,0,0,0,0,0
CVIX.Index,-0.00707350484962053,0.0137754737957771,-0.0353590621854638,0,-0.0374191763951326,0,0.0512251408839244,0.0287289255828437,0.0466558725630729,0,-0.0040891832323019,0.00643329393626484,-0.0431448371094815,0,0.0240983879887363,0,0,0,0,0.0586302649502057
DXY.Curncy,-0.0284559021710502,0,-0.0194234154175536,-0.00242748890717246,-0.00262540784611581,0.000729673506216065,0,0.000106550918381914,0,0.00470084938582919,-0.00367801015617977,0.00769606300277451,0,0,0.00928674324568958,0,-0.087605211500864,0,0,-0.01047052014571
SPX.Index,0,0,0.00317474002205667,0,0,0.00332879422340702,0,0.00362884179165496,0,0,0,0,0,0,0,0,0,0,0,-0.0119672532720355
VIX.Index,0,0,-0.295122067323126,-0.00398433685014737,0,-0.162706683602893,0.110640120611497,-0.0523718199660759,0.227466800967938,-0.334841285794952,0.0937540923034908,0.102279814109109,0.238064142983557,0.109077912955206,0.211300386298366,0,0,0,0,0
