,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.23609367738915,0,0,0.053716187033126,0,0,0,0.0440637993343071,0,0.0310380067464231,0.153938007948818,0.120247991415963,0.0729533688727387,0,0,-0.180635428827031,0,0,0.0253756527396371
ETH,0,0,0.38782139984915,0.0831404494686291,0.0191100924477689,0,-0.0135896627540296,0.17120321405047,0.140963535306938,0,0.0303228913229843,0,0,0.132433425388799,0.00601723538525984,0,0,0,0,0
XRP,0,0.0765080467914585,0,0,0.0406035172642919,0.169503099917051,0.114544481079454,0.00983004781035747,0.0585056839219706,-1.73472347597681e-18,0.193143029170782,0,0,0.0199064153118414,0.112274890636107,0,0,0,0,0.038134703570561
BCH,0,0.385099403938819,0,0,0.124576376797567,0.167343815928182,0,0.103899124314353,0.0893413865272061,0.011114866716585,0,0,0,0.0946895927392175,0,0,0,0,0,-0.0497656962378374
EOS,0.283924351751008,-0.500982305084534,0.603454834894549,0.252007139532694,0,0.0268399341815916,-0.575128499764935,0.515256633031488,0,0,0.243514336841881,0.389012831999606,-0.362151056355659,0.0772609420913457,0.319187524061809,0.179670686245801,0,0,0,0
LTC,0,0,0.17386388655927,0.24651888731017,0.0721600133312053,0,0,0.0592772848006517,0,0,0,0,0,0.0226615693181159,0.274844383764719,0,0,0,0,-8.67361737988404e-19
XLM,0,0.0144916370398649,0,0.0833377915855369,0.0879861033603797,0,0,0.465312307514441,0.0871965433646513,0,0.0693443272960411,0,0,0,0,0,0,0,0,-0.0280738651222149
ADA,0,0,0,2.16840434497101e-19,0.17376672453167,0,0,0,0.127876863877957,0,0.308381329820081,0.0789109591577432,0,0.0262308528275925,0.134994223224366,0,0,0,0,0
MIOTA,0,0,0,-0.293384115169327,0.108526581806016,0.291967417529238,0.485927425545375,0.268011190307246,0,0.706164126022568,0,-0.133105222901219,0,0.0737026463416183,-0.315230858802656,-0.319071050678555,0,0,0,0.0165569960130472
NEO,0,0,0,0,0.0888972524727006,0,0,0,0.170049901768301,0,0.0226814481301066,-0.0788189173203652,0,0,0.594610507784269,0,0,0,0,0.00532677212877081
TRX,0,0,0.579017643652046,0.0415525108542502,0.130794386756102,0,0.0870775857969611,0,-0.0957324947371139,0,0,0.393269265329575,0.0132234740759264,0.0337028525730352,0.0196527763880778,0,0,0,0,0
XMR,0.374908660606091,0.212715544743675,0,0,0.137157000619634,0,0,0.085373083632795,-0.0319208637005132,0.159160588790321,0.126183759336836,0,0,0.0992205677456634,0.0486715649298539,0,-0.446526045921412,0,0,0
DASH,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0347216440973721,0,0,0,0.460520612680526,0,0,0,0,-0.045299070503259
ETC,0.33771127722271,0,0.640604693948686,0.15036051982301,0.0391301750399848,0.136866507763682,0,0,0.0329027214807536,0.166129818838217,0,0,-0.304879564608975,0,0,-0.406631414127879,0,0,0,-0.137715376912243
XEM,0,0.184563835267871,0,0,0.019364285202837,0,0.400087347872208,0,-0.193712191251379,0.285478422238415,0.202190803426548,0,0,0.12468991376258,0,0,0,0,0,0
BV010082.Index,0.0170925315647658,0.122323460659092,-0.252780795114756,0,-0.153217851603556,0.0855730838007415,-6.93889390390723e-18,0,3.46944695195361e-18,0,0.15881305546513,0.141515843437673,0.0365157980238543,-0.0517410996297306,-0.135389882968504,0,0.136413978187191,-0.044318577196449,0,-0.215234982683122
CVIX.Index,0,0,0.229555305766727,0.207549110678079,-0.0171805853414308,0,-0.069239001221697,-0.106080178185391,0,0.0987566582467536,0,-0.0512640261712071,-0.242433116504789,0,0,0.218945562851035,0,0,0,0.124330388398968
DXY.Curncy,0,0,0,0,0.0153527851012746,0.0330095675798998,0.0198795393184492,-0.049141298184402,0,-0.00383974294218463,0.0292442747110873,0,0,0.0107507488483369,-0.0534618780285705,-0.0281132322984797,0.0323210717869775,0,0,0.00423400764086143
SPX.Index,0,0,-0.00641554197792689,0.017846614388756,0,-0.0169828102969376,0.00767005784087769,0.015285346763518,-0.0191020047193289,-0.002056372276772,0,0,0,0.0122064757521263,-0.0133023622361196,0,0,0,0,-0.0563609475234118
VIX.Index,0,0.079833098529556,0,0,-0.542360188414766,0.337349347660336,-0.375951678553206,0.046228232537519,-0.152980090213009,0,0.476171356665817,-0.0542967113951617,0,-0.358176277468116,0.619303898313046,-0.192620443334944,0.292731092805046,0,-1.11363212979398,0
