,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.319712278044311,0,0.0167906974700403,0.271887504376654,0,0.248479696304451,0.147738937950876,0.0455720578159388,0,0,0,0,-0.0387547653911255
XRP,0.768374479125865,0,0,-0.113850721022818,0.032062406115992,0.770269934016402,0.0954222541741349,-0.416837519196941,-0.0102871294911738,-0.169752549142017,0,0.571270468703774,0,0,-0.238349019484105
LTC,0.00000000000000000346944695195361,0,0,0,0.311539843390233,0.400440133136777,0.0886507175706886,0,0.100829665708034,0.18163546044507,0,0,0,0,0.0405423489940002
ETH,10.811545387079,-2.4872202500608,0,0,-0.796296444357109,3.84903271345195,-0.794535803158797,0,0,-1.51158056367988,-2.88615545554748,0,0,0,-1.30608548222115
DASH,0,0,0.0746733467913145,0,0,0.537910710583547,0.15008468565789,0.0568388283992795,-0.0869046777210494,0.0814342451509361,0,0.571229698562473,0,0,-0.174739897349279
DOGE,0.215010765643275,0.0297560786667217,0.16169138582296,0.00642894382822617,0,0,0.179498976582022,0.0279922485304571,-0.0614109572595242,0,0,0,0,0,-0.0629906070475992
XLM,1.16118237105267,-0.355774750062274,0.0529760320283333,-0.0770611390435012,-0.149027499883296,0.109240658320325,0,-0.338290724996302,0,-0.188347445656288,0.0308687678741159,0,0,0,-0.000000000000000000433680868994202
XMR,2.25732734016309,0,0.0675123626705066,-0.0818415751865214,0.0000000000000000555111512312578,0,0.269034358374961,0,-0.088201908208031,-0.150961081655768,0,0,0.592497722115278,0,0.13554672028326
XEM,2.41984931501703,-0.337592351848199,-0.380280791170314,-0.0635457673861143,0.141258878282991,-0.0849329626778456,-0.189707973353681,-0.756372712656402,0,-0.132795569222875,1.9014155682517,0,6.39596309856913,1.04133389143619,0.372829714569326
DGB,0,0.168961297541363,0,0,0,0,0.0991889775077629,0,0.360751738515127,0,0,0,0,0,0
BV010082.INDEX,-0.731214506503122,0,0.540764327843141,-0.01569707674479,0,0.0449291588448754,0,0,0.162240885051049,0,0,0.218970367194259,0,0,0.0223933808320974
CVIX.INDEX,0,0,0.176901844681576,-0.0216963589940567,0.321934374576131,0,-0.0409633328198769,-0.114953757436382,0.0599162318501213,0.0016519484831334,0,0,0,0,0.111696007460468
DXY.INDEX,0,-0.0324991816330378,0.0231198094316078,-0.00361084548291482,-0.0599509417485169,0,0.0135446856698267,0,0.0356564193517712,0,0,0,0,0,-0.0174017614686976
SPX.INDEX,-0.209971863466993,0.00497276949561381,0.179075900284721,-0.0036906105520689,0,0,-0.081753559122296,-0.00445458381365559,0.0404305573444927,0.0065768669516195,-0.0389650429756711,-0.0800820566381534,-0.632594235174996,0,-0.113786497342278
VIX.INDEX,0,-0.452317218166031,0.681735923486208,-0.0926945493280404,0,0,-0.680913495043227,0,-0.0703681104613987,-0.104845916200089,0.127604841813299,0.997693063899395,0,-2.93415100817003,0
