,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,ETC,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0586797158689433,0,0,0.0329228962105603,0.445175479594402,0,-6.93889390390723e-18,0.24637928917469,0.036744897948251,0,-1.0842021724855e-19,0,-0.0776961858916195,0,0,0,0,0.0581905797328213
ETH,0.0077972179115763,0,0,0.0305781871444691,0.208026759608597,-0.0532583434714754,0.0898093347796864,0,0,0,0.0104022479745264,2.16840434497101e-19,0.277659309991216,0.14518159098042,0.129245805064489,0,0,0,0,0
XRP,0,0.171740629645524,0,0.0245616699039153,0,0.11998260888408,0.0130126190164561,0,0.234063422458909,0,0,-0.00307866209342027,0.230577909378664,0,0.108208241895262,0,0.0155189965355405,0,0,0.0868687066925121
BCH,0.153326383292442,0.313904741638027,0,0,0.126298053027653,0,0.242798760659625,0.092195116578569,0,0.0932786844296333,0.0391144579492173,0.0225409238499382,0,0,0,0,0,0,0,0
EOS,0.0933058556969949,0,0,0.387628223457713,0,-0.0195417115175321,0,0,0.237875514690854,0,0.286494091188909,0,-0.110587965169602,0.21178408158779,0,0,0,0,0,-0.123738879764543
XLM,0.117755159319535,0,0,0,0,0,0.0324900977654403,0.302168504038265,0,0.287582261867461,0.142015473186542,0,0,0.149488761239199,-0.0930948162741631,0,-0.175313951891092,0,0,0
LTC,0,0,0,0.433421808163406,0.0635084369265572,2.16840434497101e-19,0,0.0137291007259918,0.149163722347094,0,0,0,0.179237563339143,0,0,0,0,0,0,0.0677173303139809
ADA,0,0,0,0.450727071663627,0,0.225721536394067,0,0,0,0,0.0793191533205996,0.150462555750099,0,0,0.0988701291521815,0,0,0,0,-0.0900198489383754
MIOTA,0.249708436617336,0,0.238590120909872,0,0,0.248006464675184,0,-0.370208073665554,0,0,0,0.38989364791826,-0.228057475362567,0.691019719707337,0,0,-0.199954585889153,0,0,0
XMR,0.659919155790015,0,0,0.153591896821037,0.0334545426021587,0.010608315759315,0,0.11415496748536,0.114975976322547,0,-0.0843812821229033,0,0.101700946454753,0,0.0120543825480139,0,0,0,0,0.0609311572972932
TRX,0.114162712084455,0.441732544655878,0,0,0.102010899761708,0,0,0.130685273143684,0.0821484000361552,0,0,0.0621028786306942,-0.112336173514318,0.104982597869083,0.204010965426046,0,0,0,0,0
DASH,0,0.344751325351166,-0.0518873324289146,0,0,0,0,0.122578319539186,0,0,0.398636362125885,0,0,0,0.119389506040037,0,0,0,0,-0.0172373045562171
ETC,0.340406025048712,0.588331103017164,-0.112811480801559,0,0,0.215857960634875,0,-0.118699208401699,0.395236269372239,0,-0.16840835311119,-0.141897729597803,0,0,0,0,0,0,0,0
NEO,-0.104229164921525,0.242082723106676,0,0.0795297545752106,0,-0.0300876370321061,0,0.25950644462721,0.226052536730257,0.221336961402636,0,0.0593197519998133,-0.129876234747562,0,0.223678119523189,0,0,0,0,0
BNB,-0.208031739498218,0.549722502198087,0,0,0.141663937717054,-0.111665523732219,0,0.139949156592369,0.179945547818206,0.145539776413016,-0.0622367337379164,0.19553518097284,-0.0396843687870164,-0.191580341082949,0,0,0,0,0,-0.068595689905093
BV010082.Index,0,0,0,0,0,-0.0160703543805228,-0.260004710275974,0.102608491781135,0.00492223860360393,0.0610411825508456,0,0,0.0520006415545015,0.0377798227240573,0.00999912995382992,0,0,0,0,-0.0512549203496901
CVIX.Index,-0.012171827933519,0,0.0361125912594007,0,-0.106997369018244,0,0,-0.000311391284240015,0.0244339994549051,0,0,0,0.0775702169204383,0,0.254263717470944,0,0,0,0,0.118727683790574
DXY.Curncy,-0.0203396089561906,-0.0696360353462297,0.0251300860317663,-0.0124634938271993,0,0,0,-0.0177438356324132,-6.7762635780344e-21,0.060824993157263,-0.010090260693902,-0.00828650027941285,0.0194049693281899,0.0179009274577549,0,0,0.157756625234227,0,0,-0.00484805080964711
SPX.Index,-0.0316817094987317,0,0,0,0,-0.0142702810142922,0,0.0194881752513898,0,0,0,-0.000865074556118353,0,-0.00168908824577823,-0.00504972589277905,0.0585382185895864,0.0711314161568769,-0.0551684490702579,0,-0.0698529986286276
VIX.Index,0.019178089245978,0,0,0,0,-0.0160159405449955,0,0,-0.147053068018276,-0.159009792580614,0.293648093073151,-0.298744828718409,0.0867678994741246,-0.123359064339934,0,0,0.406899652652105,0,-7.26636070291202,0
