,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.31026941623641,0,0,-0.0176211353263095,0,-0.00000000000000000693889390390723,0,0.0584684852715054,0,0,0.173784311967717,0.0594399366197165,0.0513933256877501,0.0898556116595649,0,0,0,0,-0.00474486582011008
ETH,0,0,0.356884908875805,0.0832303552567118,0.0321608769599694,0,0.176895200492242,0,0.120008245145446,0.0353671780861275,0,0,0,0.0111866805346372,0.132201785786842,0,0,0,0,0.00344490988203101
XRP,0,0.113326155424006,0,0.0613909457274309,0.0530423316356155,0.0681225882065767,0.0170558888236892,0.118134429503969,0.0533869878017725,0.191531843418108,0,0,0,0.103238168715215,0,0,0,0,0,0.0389519827279422
BCH,0,0.255431867187155,0,0,0.11623666215748,0.134143754242267,0.115688505620575,0,0.17487533250176,0,0,0,0,0.0673513369789703,0.117547936460591,0,0,0,0,0
EOS,0,-0.147044126842117,0.385356245193156,0,0,0,0.602379110650972,-0.419154231358144,-0.0124150377991182,0.243448020179781,0,0.584650015467413,-0.443874381985847,0.258350890964649,0.136833446967758,0.113916898424959,0,0,0,0
LTC,0,0,0.17386388655927,0.246518887310171,0.0721600133312051,0,0.0592772848006514,0,0,0,0,0,0,0.274844383764719,0.0226615693181157,0,0,0,0,0
ADA,0,0,0,0.0308653871592151,0.171199746698374,0,0,0,0.124896139983395,0.31578977828296,0,0.0775771233625102,0,0.112283225870586,0.0184688617165682,0,0,0,0,0
XLM,0,0,0,0.0663189129719115,0.200443505494151,0,0.282501037589903,0,0.0359764115915868,0.0699447338685392,0,0.0503044170505052,0.107589305534597,0,0,0,0,0,0,0
MIOTA,0,0,0,-0.262601301995359,0.0389794736189743,0,0.668804066010416,0.401524452257427,0,0.0670473907161505,0.159758715187371,0,0,0,0.0273414230338922,0,0,0,0,0
TRX,0,0.0027935612815607,0.643601503884849,0,0.109856833762688,0,0,0.0980217447599606,-0.103576453303115,0,0.0481493669467487,0.384407789491876,0.00603579147432836,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0858972545395434,0,0,0.0919995080312731,0.0769447651149394,0.00911058696827333,0,-0.0793905566409162,0,0.592474663876667,0,0,0,0,0,0
XMR,0.363780214598446,0.194507032967397,0,0.0000000000000000277555756156289,0.139219636277207,0,0.0666841043482349,0,0,0.139041411626512,0.131727606376755,0,0,0.0621774681950444,0.103312003088893,0,-0.460328261124918,0,0,0
DASH,0,0.113490661903008,0,0.021562468531001,0,0,0,0,0.0889273495796065,-0.00000000000000000173472347597681,0,0.0705478600313994,0,0.29872327813143,0,0,0,0,0,-0.0440962396045858
XEM,0,0,0.204438572538154,0.00000000000000000346944695195361,0.0107375661760514,0,0,0.0794122188102806,-0.147505989317912,0.0462037632760264,0.65891368909603,0.114267434640701,0,0,0.0419461286875072,0,0,0,0,0
ETC,0.338398682104328,0,0.621507133801857,0.139808524543374,0,0,0,0,0.0508645172941949,0.0675531530986311,0,0,-0.106403230632,0.0713324107010371,0,-0.303752692700178,0,0,0,-0.183903446361675
BV010082.INDEX,0.020865133553239,0.129956823489257,-0.255847948460389,0,-0.152210714088957,0.0802272642920214,0,0,0.00000000000000000346944695195361,0.158255123927833,0,0.142228888941622,0.0312308375306916,-0.121636787414137,-0.0630075393306345,0,0.132060695110887,0,0,-0.217051265682997
CVIX.INDEX,0,0,0.248438508218284,0.191111293185218,-0.0088989611326188,0,-0.0986673850431262,-0.063874799751696,0,0,0,0,-0.157752843483289,0,0,0.227592223465812,0,0,0,0.139195007580953
DXY.INDEX,0,0,0,0.0180929686334573,0.0164674600689826,0.035913520761135,-0.0404422624304258,0,0,0.0181041776848841,0.0246707819853002,-0.00368507571153124,0,-0.0766336118022428,0.0121365270358873,-0.0234172788745661,0.0252570557798208,0,0,0.0105475733910612
SPX.INDEX,0.0217892142512992,0,0,0.0167613976352819,-0.00335572818102567,-0.0269388751063532,0,-0.00778426150432397,-0.0222294136140264,0.0131106964717572,0,0,0,0,0.00971328794968017,0,0,0,0,-0.0629951642786793
VIX.INDEX,0,0.176125548393374,0,0.0697156862827486,-0.252399577279666,0,0.247857443970157,-0.16707882022433,-0.0609581148546609,0.378164670362103,0.0563704313015851,-0.165642719432567,0.0810509518886502,0.281362729538085,-0.632586729229364,-0.356020183093256,0.527727947612101,0,-5.02383038636846,0
