,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0399168327702754,0,0.28402371888928,0.0173167705403077,0,0.0605747210513174,0,0,-0.0198076011459686,0.0204747863187833,0.0104964676892838,0,0,0,0,0,0
ETH,0,0,0,-0.0776307498383865,0.0795169001858584,0.144628912198118,0.138964434655746,-0.0474455375561245,0.123938470290228,0.069337583782135,0.00287688952740087,-0.0597615183414099,-0.168657132230174,0.875846622339024,0,0,0,0.150605854134878
XRP,0,-0.506171025696943,0,0,0,0.113600590698571,0.0571027014888478,0.165279408339343,0.327905163397315,0.351127550944825,-0.11969440457163,-0.0505828195906464,-0.0820588308674751,0,0,0,0,0.0707613917079383
LTC,0.573655524820842,-0.334438710936538,0,0,0.127137355953972,0.0688695711039825,0,0.00592800371322971,0.401829794219065,0,0.00500066506278386,-0.0135416950359501,0.0373679922822404,0,0,0,0,0.060470852224956
ETC,0,0,0.0903319246952873,0.130093686699375,0,0.282663482977001,0,-0.0591192100480935,0.415363584468214,0.0398768602617966,-0.0706225660558019,-0.0412659814194483,0.088299780589268,0,0,0,0,-0.00153185408361459
DASH,0,0,0.0226723432914482,0,0.0359138231222327,0,0.0234957613494442,0.0442243134698846,0,0.0156476969592638,-0.0799963030457841,-0.0932392083423685,0,0,0,0,0,-0.0899375456381475
XMR,0.111164360849494,0.628460427926166,-0.0281615113624635,0.937427488162846,0.0456312180132466,0.193384077406221,0,-0.133583032720382,-0.952359672854853,-0.000830764368648004,-0.200342170296185,-0.028154460891859,0,-1.41129082655053,0,0,0,-0.12624832828378
XEM,0,0.352581626812575,0.318477768782262,0,0.0476386471560265,-0.818274726401254,0.199254877281003,0,0,0,-0.0753943553685421,-0.142758409834006,-0.100222138035638,0,-1.25263956745497,0,0,0.0442905496949284
DOGE,0,0.211283801269555,0.0432364765931193,0,-0.0077046946102448,0,-0.226616615642326,0.0379459029471304,0,-0.00688132760625551,0,-0.00292755113030542,0.0500463191480642,-0.415313543732722,0,0,0,0.0172568007285628
XLM,0,0,0.565172065100423,0,0.170918051735911,-0.109957609643265,0,-0.219983282410783,-0.123854704363594,0,0.0406010524758886,-0.0858131707497327,0.260172443954551,0,0.170489537456927,0,0,0.0970937966153101
NEO,1.92010627611555,2.23255169623996,-1.28638622595714,0,0,-3.65582162096074,-0.620036347193426,0.308313549871983,0.989081453503981,0.838832906529464,0,0.305684823126762,-0.109740876557666,0,4.3730861754907,0,0,-0.744887674447348
ZEC,0,5.42101086242752e-20,0.274739819207401,2.50712711523794,0,-6.43578272372093,0.566955578965954,-1.29433347363557,0,0,-0.569184588981564,0,-1.57538557423332,1.27151629712453,0,0,0,-1.07223576621306
DGB,0,-0.342885562973231,0,0,-0.0953925166151152,0.603132242155141,0,0.204552456933639,0.315817050302668,0.255784800067978,0.0484060153403529,-0.00151409825994469,0,0,0.656169234465688,0,0,0.101448715055284
BV010082.Index,0,0.105579486836371,-0.130546742165411,0,-0.108827161707745,-0.000915554772428044,0,-0.00412553211056189,-0.181814864771439,0.107811586686611,0.0250833827918693,-0.00174151233322371,0.0339259863185647,0,0,1.15011100337955,0,0.0232725888072237
CVIX.Index,-0.170464539873414,0,-0.0944214077741313,0,0,0.0511526099688199,0.0486377410853734,-0.111710093480067,0.00644290741399258,0.170115139811321,0.00711979314857768,0,0.0192366726479098,0.34004543132304,0,0,0,0.113987787771416
DXY.Curncy,0,0,0.0304287474405599,0,-0.00458570137770603,-0.00438259333207209,0.00866428909869078,-0.021476896992392,-0.0355577216808601,0,0,0.00164450591792074,-0.0160168347874411,0.217482826439055,-0.00713940041135645,0,0,0.00420201559934304
SPX.Index,0,0.0232774539757313,0.00224030088431871,0,-0.017481627038858,-0.0269565576809955,-0.0200374819412315,0.0252157433513691,0,0,-0.00591314996754741,-0.00471074169859353,0.00773058525422255,-0.00728870299915334,0,0,0,-0.0698601182211511
VIX.Index,0,0.539685838916546,0.0545003676084152,0,-0.344846909763696,0,-0.295488880757964,0.0971952535473865,0,-0.102114887246828,-0.0401668382278493,-0.0422988653373624,0,0,0.852522947992042,0,-6.09577639152909,0
