,BTC,ETH,XRP,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0913399801550981,0,0,0.0886705799066077,0,0,0.0125138135947624,0,0.0778514879317417,0.27307605905274,0.134006009917884,0,0.100513275109673,0,0,0,0,-0.0192088189950399
ETH,0,0,0.205911176092136,0.0877403055855345,0.00531549740423486,0,0.118337548382617,0.00118604093557392,0.0276531669455593,0.00921024847400016,0,0.357513034193182,0.120347033014643,0.0527855277061009,0,0,0,0,0,0.0291300830493943
XRP,0,0.107787506794889,0,0.0390577634374984,0,0,0.223209351759848,-0.00953781210574745,0,0,0,0,0.0332676887746918,0.0607950839929697,0.266612383854064,0,0,0,0,0.0733757088199182
BCH,0,0.51162080556867,0,0,0,0,0,0.189465839888588,0,0.857925228023333,0.161270976112312,-0.668143344099957,0.378866841815313,-0.108768480022271,0,0,0,0,0,-0.251372674744825
EOS,0,0.122751412341891,0.265652469940512,0.0998773057314083,0,0,0.409945803455552,-0.0313070171445423,-0.355472075073942,0.375642370602256,0,0,0.190953772126214,0.134607742595252,-0.407526153257349,0,0,0,0,0.0517610206327265
XLM,0.334574370964696,0,0,0,0.12744219108425,0,0,-0.0148179231205115,0,0.249153904073554,0.0882127139994162,0.204729066477566,0.0799400758140953,-0.0298363587881274,0.0663145459723112,0,0,0,0,0
LTC,0,0,0,0,0.203743431990339,0,0,0.0256519239389332,0,0.0554111583727219,0,0.285109987383023,0.197789950740883,0,0,0,0,0,0,0
BSV,0,0,-0.440810199114273,1.04402722899442,0.308902767603655,-3.72295341279911,0,0,0.362080798525368,0.399484908319833,0.338979765359516,0,1.06251150803918,0.574105220306281,-0.128235587693915,0,0,0,0,0
TRX,0.425564696911348,0,0.0414757521460975,0,-0.0223521387878225,0,0,0.00370539986371998,0,0.332081597502485,0.0638004557663269,0.127059569647285,0,0,0,0,0,0,0,0
ADA,0,0,0,0.109746465253281,0.278592413031534,0,0,0,0.261715991529603,0,0.119002079432999,0.142136413350025,0,0,0,0,0,0,0,-0.0104179455980235
MIOTA,0,0,0,0.0136789805980886,0.181969585831402,0.211550808529029,0,0.0734725795779897,0,0,0,0,0.168422710948183,0,0.368354549440864,0,0,0,0,0
XMR,0,0.221397069884985,0,6.93889390390723e-18,0,0.147060858740376,0,0.0243224261418067,0.165807678832805,0.222518519949763,0,0,0,0.24389702263103,0,0,0,0,0,0
BNB,0,0.0500988278384854,0,-0.032300307196346,0.232461352529419,0,0,-0.0591423165324084,0,0.743302203334262,-0.163208137972897,0,0,0.0696560915222778,0.19252142821699,0,-0.232105706191111,0,0,0
DASH,0,0.0513586012727853,0,0,0,0.213556492127115,0.207905944480406,0,-0.20218321282068,0,0.214124142953801,0.472343032134321,0.123306771138251,0,0,0,0,0,0,-0.0301488099278968
XEM,0,0.166082943304659,0,0.209289805009273,-0.155735557510382,0.344124151038048,0,0,0.00957461617694661,0.152888121856635,-0.0269487654060219,0,0,-0.0539055096099609,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.Index,0,0,-0.0329459224101475,0.0640454927359589,-0.104542204822853,0.108919597941543,0,0.0226641700157209,0,0,0.0843484354339932,-0.1389454309775,-0.112713310840417,-0.00187967247777686,0.0813055368532786,0.239159761106128,0,0,0,0.0856962712439795
DXY.Curncy,0,0,0,0.00180545303010711,0,0,0,0.00595049801458171,-0.0317542303844171,0,0,0,0,0.00488295783659823,0.014546232920185,0.0506301627928004,0,0,0,0.00565213847212604
SPX.Index,-0.0364842047343734,0,0,0,0,0,0,0.0163865370621662,0,0,-0.027313627827756,0,-0.014176971942677,-0.0091318622713568,0.0285964517675583,0.0569839502841368,-0.0121005300114547,0,0,-0.120296141942328
VIX.Index,0,0,0.130522040142616,0,0.418153838252246,-0.519394461565324,0,0,0,0,0,-0.305906959895535,0.261948725596364,0,0.300826680650489,0,0,0,-4.95370902956247,0
