,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0980936982223611,0,-0.0000000000000000000542101086242752,-0.0200492779770787,0,0,0,0.123726561608054,0.123031788341694,0.119965298612604,0,0.0843805645564598,0.0525235827576282,0.0830092675562576,0,-0.0421315150607223,0,0,-0.0217345391602301
ETH,0,0,0.285919815096699,0.194700001839454,0.0221956795240711,0,0,0.113748671756805,0.0598201780349475,0.0526502402889859,0,0.0411333612416718,0,0.137839336964848,0,0,0,0,0,0
XRP,0,0.0466208357034117,0,0.120662891763398,0.00224131876444387,0.175990783497756,0.0414009772011941,0.197511147822599,0,0.158745754584516,0.0434946214303714,0,0,0,0,0,0,0,0,0.0801540783996979
BCH,0,0.297796435648564,0,0,0.0829318780613992,0.177129070350663,0,0.0961858340314364,0.134819036378925,0,0,0.0522271471191849,0,0.0255575307064803,0.102476683499576,0,0,0,0,0
EOS,0,-0.0967920804849704,0,0,0,-0.076975529772378,-0.206145830594541,0.543197378684867,-0.484547341681158,-0.268740022437387,0.576281827325776,1.32362152572697,0,0.170522968439284,0.206443076537422,0,0,0,0,0
LTC,0,0,0.39272883887216,0.0711905582439273,0.0723692122751953,0,0,0.0314252447677606,0.00000000000000000173472347597681,0,0,0.0943058996200305,0,0.129720737912698,0.102879236309144,0,0,0,0,0
XLM,0,0,0,0.15292689798619,0.1960527986459,0,0,0.111275412659137,0.0868995913988983,0.107189930828258,0,0.0181437262637821,0,0,0,0,0,0,0,0
ADA,0,0,0,0.155371102516842,0.112301396679133,0.0764146903307637,0.121336056789728,0,0.0701483390326339,0.211237461308719,0.16351177535665,0,0,0.0318071198257261,0,0,0,0,0,0.0321217096708759
MIOTA,0,0,0,-0.147894864939001,0.00364548730688372,0.350232839089128,0.202642408885847,0.318515373320026,0,0.163836354581798,0,0.119922108638988,0,0,0.0134686896099363,0,0,0,0,0
TRX,0,0,0.663412695487729,-0.00000000000000000693889390390723,0.0969188138359422,0,0.113596984423144,0,-0.0994767405030719,0,0.382963100316116,0.0218007953684035,0,0,0,0,0,0,0,0
XMR,0,0.0964932502417429,0,0.19505205169374,0,0,0,0.156378622126674,0,0.179580367544735,0,-0.0442408013172343,0.139743131137204,0.172900913258782,0,0,0,0,0,0.112948094466219
NEO,0,0.0425085143692265,0,0,0,0.274763594199661,0.112879687931176,0,0.1425017519806,0.0163288067661287,0,0,0,0.27466501885195,0,0,0,0,0,0
DASH,0,0,0,0.264452616893422,0,0,0,0,0.114080157210523,0.0250758767119743,0.0431575713582835,0.0364489684786668,0,0.132011300288202,0,0,0,0,0,-0.00295024957008249
BNB,-0.288231111760141,0.414458408490776,0,0,-0.0969455579608844,0,0,0.243288290312755,0.108846214301846,0,-0.00000000000000000173472347597681,0.131215794950727,0,0,0.0906190466268738,0,-0.427405302851501,0,0,0.110891355683938
ETC,0.209850036280719,0,0.488236666167943,0.181011785971972,0,0,0,0,0.0935280512652268,0.0802448733292299,0,0,0,0.0640451644465589,0,0,0,0,0,-0.1578754800282
BV010082.INDEX,0,0.124352878506339,-0.346459534775061,0,-0.108881004761842,0.0380729141021705,0,0,0,0.0246948502173369,0.184538499272627,0,0.0806703532716618,0,-0.0274341876668505,0,0.101198042587525,0,0,-0.230249519748674
CVIX.INDEX,0,0.141354064833315,0.0699479031052795,0.133775627760942,0,0,-0.0209450694040186,-0.0359503516254291,0.0801020712279449,0,0,0,-0.408051984687186,-0.115878404760618,0.0630204658705358,0.553343831719711,0,0,0,0.129641320459739
DXY.INDEX,0,0,0,0,0.0122093810444299,0,0,0,-0.015758883049843,0.0109251048388087,0.00908719159970124,0,-0.0212290009554783,-0.00238551033730496,0.0135868353253839,-0.0643553777591711,0.0106778366678742,0,0,0.00273416119639554
SPX.INDEX,0,0,0,0.0123920332643113,-0.0100758647526494,-0.0176696170798323,0,0,-0.0182434509139257,0.013979816117773,0.00549422867202598,0,0,0.00973766571168684,0.00676772837894792,0,0,0,0,-0.0648703763447581
VIX.INDEX,0,0,0.150048372145283,0,-0.0845266155996398,0.16872594873812,-0.0681710120075124,0.065046328705377,0,0.0636347750504995,-0.550577267469241,0.191888459959505,0,-0.244116782732346,0,-0.357835980145424,0.037567885888536,-2.20768913663075,-5.25958590442764,0
