,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255993,0,0,0.532178616491229,0,0,0.082632245605219,0,0,0.167679089582218,0,6.93889390390723e-18,0,0,0,0,0,0,0
INNBCL,3.02439958887842,0,24.0971715301189,0,0,0,25.5471565793283,-23.4154514121227,-24.7413848491614,2.5701631832769,-4.68473542253773,16.8404069326416,0,0,-15.6651489538808,-12.7799638630496,-2.81737665366958,0,10.4581722137712,1.11022302462516e-16
ETH,0,0.000457958760968125,0,0,0.123222849631994,0.0780856598543236,0,0.233581382332529,0.183494441954675,0,0.235309569813187,0,0.0318574093675412,0.00876872967075069,0.0731162124703704,0,0,0,0,0
XRP,0,-0.00533583456287359,0.156202224937005,0,0,0,0,0.0852884252111892,0.180392182520871,0,-3.46944695195361e-18,0.0141573822521464,0.0206122033539361,0.282035983883927,0.0458597020669737,0,-0.0183796988301388,0,0,0.0562589757361694
BCH,0,0,0.328570458348036,0,0,0.29549184507374,0,0.138567634228718,0.0814953267500322,0.0149277181377046,0.11622007930334,0,1.73472347597681e-18,0,0,0,0,0,0,0
BSV,0.0895525552990537,-0.0122904725262465,0.139590725147338,0,0.42490469894977,0,0,0,0,0,0,0.0530874198444819,0,0,0.352693001816034,0.0348030993075269,0.105946965680362,0,0,-0.0700201832878649
LTC,0,-0.00037577295388415,0,0.104891141831831,0.100025396673598,0,0,0.172268854419725,0.284665869116775,0,0.0850593331636504,0,0,0.149885108803014,0,0,0.022761650181494,0,0,-0.00816803825066527
BNB,0.0491907240980672,-0.00444048304663616,0.312442193914475,0,0.417968603840029,0,0,0,0,0,0.0536709570507033,0,0.0688992058060793,0,0.037588433191466,0,0,0,0,0
EOS,0,-0.00135395079416225,0.413730445717557,0,0.131474348744255,0.0831529914135619,0,0,0,0,0,0.214428221195978,0,0.0391407918025158,0.0561056270999963,0,0.00702319507728419,0,0,0
TAGZ5,0,-0.00776138440688083,0.291854296083485,0,2.29341020993248,-0.181789955843619,0,-2.42155150244095,0,0,0.899087434188785,0,0,0,0.118747584019208,-0.312351818865099,0,0,0,0
XTZ,0,0.000589435926467684,0.103395122579024,0,0,0.15069779986112,0,0.343484189125546,0,0,0,0,0.395755937133979,0,0,0,0,0,0,0
XLM,0,-0.000224201761102871,0,0.499211343794572,0.0967933702333585,0.0914479131700151,0,0,0,0,0.0956196972579395,0,0,0.0550357195024378,0,0,0,0,0,0
LINK,0,-0.00613805433543652,0.192720955848994,0,0.072469628149865,0.0438614788234301,0,0.159150079721057,0,-0.0141590450810498,0.445763633118538,0,0,0.132006855884259,0,0,0,0,0,0.034062326722823
ADA,0,-0.00258382228525571,0,0.12439920616378,0,0,0.176974079846176,0.0571619651969169,0.133221262704943,-0.0279410352929179,0.302289674364281,0,0,0,0.162776445654313,0,0,0,0,0
XMR,0,0.00440299507775841,0.0694212498231536,0,0,0.00110656944977366,0,0.309044535735379,0.195808337894708,0,0,0.0224329046047836,0,0.308316776623848,0,0,-0.02070795583446,0,0,0
BV010082.Index,0,-0.0112530802847597,0,0,0,0.445726141792316,0,-0.111677194555762,-0.62242012160302,0.222302840076911,-0.824945548057862,1.03853000723293,0.081003447345179,0,0,0,0.107835872650434,0,0.345665502076971,-8.67361737988404e-19
CVIX.Index,0,-0.00589438591767139,0,0,0,0,0,-0.570314705876673,0,-0.218682278555153,0.516903051474398,0,0,0,0,0.346757029667902,0,0,-0.619925226909998,0.275030969211835
DXY.Curncy,0.0450678817878683,-0.000146099552487686,0,-0.0948619974682347,0,-0.00326176412488309,0,0.0144465924795534,0,0.00226723912359927,0.0566645316395339,0.0241310568847179,-0.0337921974436704,0,0,0.00602452609491668,-0.011267017212378,0,-0.00471715240701318,-0.0126543946488216
SPX.Index,0,0.00207843309447668,0,0,-0.00187178030244191,-0.172594888007619,0,0,0,-0.0143085933552185,0,0.0741173788717767,0.190703133823671,0,-0.103687921248283,0.243096773455925,0,0,0,-0.214751635677636
VIX.Index,0,0.0315509541938299,0,0,0.242615294819451,0,0,-1.28657100406397,0,0.15986900653383,-0.222978341986107,0.587795240157777,0,0,0.587743366009992,0.293279661627809,0.27323487392527,0,-1.60026571545043,0
