,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.126344783384486,0,0.0294795071148573,0.124989393078598,0.0151982574901251,0,0.146685069467139,0.16727608747633,0,0,0.048360979757067,0.0481006427575906,0,0,0,0,0.021263095996968
ETH,0,0,0.201761622801002,0.143628146503506,0.0619756488333642,-0.0198507491423469,0.0570498930764376,0,0.0415685225633615,0.178862152941363,0.0597605688308223,0.0641756773442616,0,0.114167236750885,0.0192574879376294,0,0.108127191260579,0,0,0.0673689668164413
XRP,-0.170171511638087,0.0712479007986797,0,0,0.182162273292112,4.33680868994202e-19,0.195629020244111,0,0.0455985644950773,0.0748087124664553,0,0.167672145940611,0,0.0523349816362732,0.023695206545623,0,-0.00856766652602699,0,0,0
BCH,0.285477752182545,0,0,0,0.0998641860200757,0,0,0.0376032500045898,0.0337757124175815,0.273895500905457,0.247084089917876,0,0,0.0654018843769552,0,0,0,0,0,0
EOS,0.0764462547380379,0.0832400747739512,0,0,0,0,0.361754156096918,0.308091851973641,0.0773309724787818,0.204131908844077,0,0.0441911261236974,0.300427687188983,0,0.0946086533055711,0,0,0,0,0.137614508819769
XLM,0,0,0.382703598844636,0,0,0,0,0.244267681443342,-0.13622664648419,0.118575422998816,0.222189822300596,0.182790045110278,0.216471760789388,-0.0521240891612762,0,0,0,0,0,0
LTC,0,0,0.0868653361416321,0.38381010840871,0.0110694735049856,0,0,0,0,0,0,0.0182551716831426,0,0.121522964846278,0.252055288152487,0,0,0,0,0
ADA,-0.132780254196021,0,0,0.144848093012905,0,0.319928706549102,0,0,0,0.313542836467589,0,0,0,0.0572644685879729,0.0828944832886758,0,0,0,0,-0.0467132053253062
MIOTA,0,-0.163780822532238,0,-0.303841974503665,0.114111661283231,0.0813402600397872,0.530265909452624,0,0,0.337773983617214,0,0.498954507719743,0,0.0532491647086647,0,-0.310975838302647,0.343489880215383,0,0,0.0421882585938947
TRX,0,0.614810989029221,0,0,0.265759193067104,0.15118978772482,0,0.130440462734194,-0.0282092643853323,0,0,0,0.124094276286402,-0.127378614112017,-0.0454878786329325,0,0,0,0,-0.00709183379631618
XMR,0.00869718182992851,0,0,0.39922031692989,0,0.154557009497627,0.332633773674283,0,0,-0.063585052537047,0,0.163231249774248,0,0.0603080856576439,0.0627069251340096,0,0,0,0,0
NEO,0,0.273303716925942,0,0,0,-0.0779110877411616,0,0,0.384317785018161,0,0,0,0.291356270226769,-0.27479526397881,0.397066480378506,0,0,0,0,0.0617280936423363
DASH,0,0,-0.272145660444839,0.195753394719022,-0.0147539269238177,0.074539495160395,0,0.214879403244465,0.0209924056915767,0,0.0168261271474305,0.186738123742818,0,0.208792850518084,0,0,0,0,0,-0.0119037812282533
ETC,0.271050021892429,0.0648204149459113,0.207249314368664,0,0.136973723435168,0,0,0,0.369085564080984,0,-0.131892703074234,0,0,0,0.0854546273836137,0,0.635832239464331,0,0,-0.145926121342718
XEM,0,0.0627861779690343,0,0,-1.38777878078145e-17,0.276443013442214,0,0,0,0,0,0.217611324855634,0.333206699696884,0.00831624792396711,0,0,0,0,0,0
BV010082.Index,-0.036149990602516,0,-0.0277732736764565,0.0960789027615838,0.0390590068025519,0,-0.0701372616937983,0.0176553881899324,-0.0235760605864295,0,0.0375091418613655,0.0223320460096389,-0.0945308008466912,0,-0.000912853946181041,0,-0.268680052049536,0,0,-0.0116310157670367
CVIX.Index,0,0.141519736865186,0,0.0246722213708227,0,0.0742923467249884,0,-0.0360041124461167,-0.237052610123833,0,0.208874629170062,0.27135282423982,-0.315081190253631,0.0301520612403354,-0.0945705655620195,-0.287455160851175,0,0,0,0.0752487252059033
DXY.Curncy,0.0384314559926044,-0.0542006885775722,0,0,-0.0173494231111453,0,0,-0.0241692162799491,-0.0240097216268021,0.0219170789650545,0.0269361104255785,0.0231299800018031,0,0.0277710833232325,-0.00524680844716549,0,0.118098620854329,0,0,0
SPX.Index,0,0,0,0,-0.00392043031512041,0,0,0,-0.0167441050089573,0,0,0,0.00686174707148751,0,0.00894287482206913,0,0.0157814417251,-0.0443036457965698,0,-0.0635108064176982
VIX.Index,0,0.931163117526717,-0.683276454554734,0,-0.176139784108385,0,0,-8.67361737988404e-19,-0.320215166519017,0,0.0820484208304611,0,0,-0.146547874693633,0.197886878737256,0,0.0700338247160591,0,-6.08128584085297,0
