,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0182433884159385,-0.0359873257649117,-0.0309054819155312,0.47675923815949,0,0.0585501416646287,0.000936664928722084,0.194325371324434,0,0.0669009114893576,0,0,0,0,-0.0459126160477305
ETH,1.33468201045042,0,0,-0.257443422178922,0,0.291236858554971,-0.30835847324956,0,-1.39356233147266,-0.43323944693115,0.46603559331986,0.184757706299066,-0.144444455712722,0,0,0.168860141004785
XRP,0,-0.0177835938272966,0,0,0,0,0.0770385602532766,0,0.053381660774181,0,0,0,0.051648289692899,0,0,0
ETC,1.65614947631012,-1.73929723325577,-0.633973964235277,0,0,2.02813673754231,-0.0647512283090148,2.90695741584944,-2.77245624444793,0.0233367309387863,0.520842117241539,0,0,0,4.69303571468221,0
LTC,1.13636976972248,-0.155355128373656,0,0.0234272511679175,0,0.438875818500128,-0.119308129259427,0.0880320954948326,0,0.190347404222273,0,0,0,0,0,0
DASH,0,-0.0276387166637891,0,0.00988331716654609,0.261842529372305,0,-0.00837630373850819,-0.190116675491907,-0.0728802225754286,0.161173498075685,0.0842530126614714,0,0.27558399102909,0,0,-0.0192880491405809
XEM,1.93595554745047,-0.00000000000000000346944695195361,0,0.0661676153125131,-0.793020495564508,0.264986414242131,0,0,0,0.663687174555191,0.349354039237642,0.275704621303649,0.273471428314178,0,-2.47237930305053,0.0248119164985187
DOGE,0.211365953288694,0.0559480008248287,0,0.012623160523275,0.263702365972272,0,-0.0395023994339885,0,0.26038825918301,0.0264848496286996,0.0783856789928236,-0.0194880571023598,-0.256155073634036,-1.04677213243647,0,0.128091857468675
XMR,0.952529421937809,-0.301273138554873,0,-0.103152375089299,-0.202398519294174,0,-0.0884466026773858,0.276630762673485,0,-0.0711946276545608,0.145757110238644,0.728348637513977,-0.0157054170774724,0,0,0.130521046589408
XLM,0.772153823777019,-0.168867931746469,0,-0.0514479275338172,0.0000000000000000138777878078145,0.32236863152218,0.227450777031053,-0.156134346017031,0,0,0.00120064225040784,0.274402674355318,-0.419831187023669,0,0.849994487611611,0.302940013225038
DGB,-0.842738594697873,0.280998187730272,0.233960468153698,0.0792708704293338,0.780055573949977,-0.142157305855799,0.0609075397194729,-0.364130722072719,0,0.239725146815987,0,0,0.542442694241072,0,-0.749511196822673,-0.217476729588047
BV010082.INDEX,-0.278455451221554,0.0674676047226178,-0.167207679291393,0.0408554649376561,0,0,0.0426675704529272,-0.0799257295794945,-0.00000000000000000346944695195361,0.0521882574920214,-0.0133329776357907,0,0.00000000000000000346944695195361,0.497166823352484,0,-0.132324626410462
CVIX.INDEX,0,-0.127410444664862,0,0.0158853419467742,-0.101688560678607,0.401397013306332,-0.0239514321033852,0,0.0567673643668968,0.0847012557325895,0,0,0,0,0,0.145534964005051
DXY.INDEX,0,0,-0.0154417239739727,0.00033333260247275,0,0.0637746077544491,0.00559272219994781,0,-0.0117620696603294,0,0.00359672408043146,0.165984514002032,0.0117079339510541,0,0,0.0218488381631938
SPX.INDEX,0,0,0,0,0,0,-0.0130417519956078,0,0,0.0284434656273097,0,0,-0.0449280405957821,0,0,-0.0801800591861904
VIX.INDEX,0.11234564947406,0.125876881532312,-0.789166584073288,0.0999991257745291,-0.0332212606182533,0.184143493578425,-0.133428709200795,-0.849000748482731,0.0741128587078109,0.515332899805544,-0.306694733432778,0,0.963410225326774,0,-1.97041202863113,0
