,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,ADA,TRX,LEO,XMR,LINK,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.49758117541415,-0.10027252097521,-0.167850297709828,0,0.0800979118572179,0.223103540915062,0,-0.0680936753016519,-0.0826664720339813,0.0297319195869521,0,0.151114079679904,0.133402672271911,0,0,0,0,0,-0.0102585371638122
ETH,0.340500364784378,0,0,0,0,0.174059143748371,0.0927036088706724,0.198543193332728,0,0.212738118895231,0.0388151997360292,0,0,0,0,0,-0.0290707234050371,0,0,0.0282727244696108
XRP,0,0.0201522903998381,0,0,0.27388415396655,0.262056431926553,0,0,0.0143972271264165,0.122131196911936,0.0794039700036537,-0.0482359096262127,0.0596833203855046,0,0,0,0,0,0,0.0655247757975631
BCH,0,0,0,0,0.435022617770639,0.226473581977698,-0.0978542132490745,0.324369533647281,0,0,0.0262640672360523,0,0.0971030744173126,0,0.140602300899507,-0.0102284162077817,0,0,0,0.0186661168325609
LTC,0,0.257074717350767,-0.0540138850575261,0.297271974064936,0,0.260032743343483,-0.0275122590610169,0.0402700356060089,0.205281124566773,0.204140234484285,-0.0841156958878076,0,0.0807353813498613,-0.0968497392995814,0,0,-0.00222104379167895,0,0,0.0223758615123316
EOS,0,0,-0.206950278446413,0.110433834437398,0.131095047772675,0,-0.153477594347413,0.413953835540394,-0.054762342325252,0.426488045581847,0.170417825150743,0,0.0331892648463227,0.0249148152048055,0,0,-0.0110643722294022,0,0,0
BNB,0,0,0,0.360005385230603,0,0.00000000000000000173472347597681,0,0,0,0,0.150554117824544,0,0.273352101990622,0.122860614947999,0.0604181554178314,-0.206711889052421,-0.0604488396373293,0,0,0
BSV,0.0321875666814873,0.178976609472183,0,0.636445957184426,0,0.0216673243672481,0.326702317838604,0,0,0.00820046056813525,0,0,0.0451856476507127,-0.0854144386375458,0,-0.101427501294282,0,0,0,-0.0266208552715361
XLM,0,0,0.917276471484974,0,0.401302378521583,-0.388929398255965,0.02090110913408,0,0,0,0,-0.128618682277091,0.186560934567657,0.0414116632749023,0.112191616182003,-0.138504663606493,0,0,0,0
ADA,-0.0687396403978063,0,0.221470390718563,0.0768820920341143,0.305931669755775,0.0909691149417401,0,0,0.10606425665091,0,0.238216414604911,0,0,0,0,0,0,0,0,0
TRX,0,0,0.867699049983731,0.114526362725983,0,0.256957742689438,0,-0.0782961659120994,0,0.111500570430124,0,0.138708675426639,-0.122007800046298,0,0.0705242455110366,-0.104633670981223,0.020112497752279,0,0,-0.0103306097743538
LEO,0,0.844849320786621,-0.328694838215374,-0.446393050046937,0.0875251764413887,0.0367374593096038,0,0,0,0,0,0,0.539012000433164,-0.011960835335385,0,0.197292026514127,0.0628789989229579,0,0,-0.0243519799614623
XMR,0.298700684875991,-0.342613597095472,-0.00000000000000000346944695195361,0,0,0.332984774212542,0.428840678521057,0,0,0,0.0500861275158391,0.536900882378525,0,0.0278124222994951,0,-0.134586506502732,0,0,0,0
LINK,0,0.242605022199994,0,0.467386156950314,0,0.320109610519057,0,0,0.19807312391905,0,-0.0611462873316315,0.0408213599000301,-0.367334338806756,0,0.26045085214365,-0.35221867393745,0,0,0,0.077096922490423
HT,0,0.0778787735107764,0,0,0,0.118352788938186,0.300467450727513,0,-0.0381995316856062,0,0.270689937428112,0,0,0.1362547507837,0,0,0,0,0,0
BV010082.INDEX,0.473149440318118,0,-0.029857343704742,0.267573396965544,0,0,0,0.0198726577196259,0.0570057008615375,-0.360468820791412,0,0.677570597830275,-0.726442134891671,0,0.0363341558288284,0,-0.482178422112307,0,0,-0.0346107892175409
CVIX.INDEX,0.611038608401753,0.0928680916899581,0,0,0,0.156896254717337,-0.585809301698068,-0.113630044342042,0.146038904129338,-0.0639106112308165,0.0784340071029031,0.314403374221006,-0.340823947749087,0.151720518404459,0,-0.209599619754042,0,0,0,0.0640133630844012
DXY.INDEX,0.0111750887480402,0.081588078848351,0,0,0,-0.0132828803261057,-0.0151584728289928,-0.0207440250316945,0.00881115360238561,-0.0322492629476674,0,0.0267860988170079,-0.00850214706019447,0,0,0.000208545801586396,0.0188702274071356,0,0,-0.00348617308457764
SPX.INDEX,0.0146020064802767,0,0.0545443483795931,0.0255209919685656,0,-0.054047265069239,0,0.0111524580867754,0,0,0,0,-0.0111415406060346,0.00846860399041473,-0.0417070786368313,0.0615676943983056,-0.0100340914578985,0,0,-0.0987993193428403
VIX.INDEX,0.231509840165618,0,0,0,0,0,0,0,0.267280088239906,0,0.00000000000000000346944695195361,-0.330492600899307,0,0,0,-0.386641213101756,0.337926838515295,0,-2.49482699119087,0
