,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0432217880903782,0.105936501249333,0.320251372827976,0.0271839415062166,0.0511712366381229,0,0.00922040453741974,0.0361660320750585,0.0178401517018633,1.73472347597681e-18,-0.00959063067805515,0,-0.0732053133782054,0.12921019152576,0,0,0,0,0.117114300512758
ETH,0,0,0,0,0.258481354732907,0,0,0.0712105209529159,0.0523638173727972,0.0746716584340612,0.138452042801017,-0.0303131482692788,0.237513212960027,0,0,0,0,0,0,0.0831512981461495
XRP,0,-0.155797783874038,0,0,-0.111398220815515,0.396072684567713,-0.176908819774326,-0.0524865397895891,0.206757656110668,0.101264685865783,-0.0136990208965755,-0.0739340368235661,0.221921398861542,0.250694613823759,-0.0783998727356046,0,-0.712520327031616,0,0,0.265960070545154
LTC,0.144138899532322,-0.0286034924245985,-0.203172726648679,0,0,0,0.285497346857028,0,0.143698899652558,0,-0.0166175073527241,0.230564029609251,0,-0.0509172498454177,0.0726388850193457,0,0,0,0,0
ETC,0,0.230915411660244,-0.11843400942793,0.285868498972889,0,0.296233912133672,0,0,0,0.0370543068927781,0,0.00153911652913625,0.0882278648539816,-0.127881017338026,-0.0494195112384255,0,0,0,0,0
DASH,0,0.156527349695504,0.243292318638396,0,0.274777826205289,0,-0.185167834808155,-0.0567894412669988,0.301395861245238,0,0,0.0725900617272352,8.67361737988404e-19,-8.67361737988404e-19,-0.00885441654619817,0,0,0,0,0.145482837068618
XEM,0,0,0,0.265787584463251,-6.93889390390723e-18,0,0,-0.106280140164932,0,0.116915128474513,-0.0732916706448974,0.0409868426614454,0.214385012377915,0.280565420445525,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.0726025951706488,0.320584896977683,0.137237514055405,0,0.242638975786987,0.141853639094903,0,0,0,0,0
XMR,0,0,0,0.180247435649787,-0.0979561438915215,0.519695241357585,0,0,0,0,0.108726201761271,-0.176375993246251,0,0.243188634513777,0.0365702016572186,0,0,0,0,0
EOS,0,0.141047816695759,0.277972003616218,-0.415315447174533,0.182312036677741,0,0.21359017466738,0.0463807165418041,0,0,0.195471371575634,0.130624629409735,-0.179520457182452,0,0.187220843114219,0,0.275606413993925,0,0,0.0332660819789931
ZEC,0,0.238249709500663,0,0,0,0,0,0.0622308385969652,0.0146585951409063,0.0355242858514913,0,0.0724624633348454,0.169714503733179,0.172874590699882,-2.16840434497101e-19,0,0,0,0,0
NEO,-0.509354555071963,0.482325729327894,0,0.852832247287172,1.1030458318165,0.622651368323224,0.705391979373953,-0.660414057818424,-0.950929473499546,0.000712324629414379,0.460362613905056,0,-0.757971435035244,0,0.235751692990657,0,-3.47562061503898,0,0,0
DOGE,0,0.102517150931636,0.0476210027399595,0.223960830488702,0.162436131716156,0,0.31275692335899,-0.0563527426027307,-0.0777573137443526,-0.0671445679760281,0.0439688176394355,-0.00245251391159024,0,0.0658280304851904,0.190734651693429,0.433751012952665,0.231390025188253,0,0,0
XLM,0,0,0.731596714254811,0.273008313046896,0,0,0.00673845443005915,0.092773753186896,0.165301122621296,0.0817158264771124,-0.0712398173464576,0,0,0,0.142502643203799,0,0,0,0,0
DGB,0,-0.075268793981511,0,0,-0.151233344444816,-0.105614450318377,-0.232954421019955,0.155231281699655,0,0.230830563471723,-0.805589135892211,0.138320997960449,0.856303068521995,0.775400510396739,0,0,0.680857622327974,0,0,0
BV010082.Index,0,0.0306740164541191,0,0,-0.031962009944564,0,-0.0378992345112853,0.00396683589870435,-0.000528100613862649,0.00911734004846501,0.017996411615027,0.0110339028492953,0.0184185824138214,0,0.00886220021517982,0,0,0,0,0
CVIX.Index,-0.0874128985054452,0,0.0143211241569933,0.0121380801366819,0.0149649396726576,-0.0310144135102384,0.100069262965486,0,0.0753957021517582,0.018539633106942,-0.0425309788013117,-0.0258706377623588,0.0545215238213969,-0.10615157031389,-0.00969145164737354,-0.47282387392084,0,0,0,0
DXY.Curncy,0,0,0,0.000713145231237593,0.00917804563438436,0,0,0,0,0.00530083684348158,0.00462865296357845,-0.00648631540143894,0,-0.00798143394457961,-0.00570758858128978,0,0,0,0,-0.0122976894243099
SPX.Index,0,0.00792712788456564,0.00138398531952788,0,-0.000372501973994074,0.0100921715972202,0,-0.00284511956015224,0,0.00128747726270672,0,-0.00358477851183221,-0.00299860791798992,0,-0.00254231202632059,0,-0.00779400729526075,0,0,-0.0572068013641488
VIX.Index,0,0,0.0500851628707217,-0.132348040145114,0.323849210211327,0.258829107373712,0.172531808963846,-0.0429999557516249,0,0.0808217419398277,-0.090512868696364,-0.173319325155633,0,-0.252075342239607,-0.129016292156169,0,0,0,0,0
