,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,LEO,XMR,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0307796118069825,0,0.453808871254689,0,0,0.142115455547087,0,0.155425945849616,0,0,0,0,0,0,0,0,0,0
INNBCL,16.9351776591348,0,20.9876473411725,0,0,0,3.60428893647939,-23.3412837013351,-10.6854386603623,-6.81594020060308,0,0.776016284669289,-29.5082579134637,-15.9180540739262,15.9152450228635,-9.33564504220796,0,0,10.8311146334877,0
ETH,0.0107612420855889,0.00188192262136651,0,0.126042884626022,0.133295222521268,0,0.00833122197269869,0.00719180762546837,0.249423032986957,0.261922702493771,0.0126911701836264,0.0288189394665164,0,0.197753974690449,0,0.0521714556250005,0.0202552109649454,0,0,0.0136304724468179
XRP,0,-0.000996837512849772,0.176234537744058,0,0,0,0.122714898019998,0.211473184033946,0,0,0,0.0352029309442821,0,0,0.281363115586893,0,-0.0193461114742624,0,0,0.0278923421939794
BCH,0,-0.000878375764147904,0.371840695523133,0,0,0.255061889773621,0,0,0,0.0937968529119398,0.00368113424078766,0.0244944020369376,0,0.238703339047721,0,0,0,0,0,0
BSV,0,-0.00519044356840235,0,0,0.440451338468268,0,0,0.244853049434715,0.078007105480155,0,-0.0371872860004042,-0.0294036109395765,0,0.314898578915409,0,0.028732447241681,0.156312100672534,0,0,-0.0569671729763551
LTC,0,0.00408771017556253,-0.0214256340900916,0.11948929458414,0,0.133727737989212,0,0.107894345631445,0.506781296574075,0,-0.0151545793948282,-0.0780162332127024,0,0.196914721599312,0,0,0.0974184938186443,0,0,-0.0450459473681865
BNB,0.0485308871655349,-0.0045866397092512,0.354720408942106,0,0.430803407463781,0,0,0,0,0,0,0.103029257232889,0,0,0,0,0.00347954440919816,0,0,0.0111329879478763
EOS,0,0.00464487561514937,0.261797867258233,0,0.458390980186482,0,0.227659881859959,0,0,-0.0983594528430338,0.013543990125709,0,0,0.101010576069544,0,0,0.0111680523854788,0,0,-0.050402439234542
XTZ,0,-0.00337253934624434,0.115961114452565,0,0,0.204647131518056,0,0.158238291113641,0,0,0.0990698690672893,0.458786514429207,0.226054512711385,0,0,0,0,0,0,0
TAGZ5,0,-0.0133359537042196,0.662531241061449,0,0.614448271589832,0,0,-1.110661749632,0,0.369075692121276,0,0.467528286635232,0,0,0,-0.47099170626871,0.0961686900311272,0,0,0.00585082993447041
LINK,0,0,0,0,0.131840185513709,0.14562030657202,0,0.086589165717763,0,0.630474812921877,-0.0109010282000913,0,0,0,0,0,0,0,0,0
LEO,0,0,-2.16840434497101e-19,0,-0.124724521164344,0.00879927836575797,-0.179584710739424,0,0,0.0870391053563185,-0.00917906128281006,0.117797120631381,0,0,0,-0.00306875938490699,-0.013777698569355,0,-0.142064123676549,-0.0688186364752101
XMR,0.206961814636136,-0.00725613982519792,0,0.0215101056345209,0,0,0,0,0.464802647715669,0.180692249176885,0,0,0,0,0.0450877871361256,0,-0.0163249514248846,0,0,-4.33680868994202e-19
XLM,0,-0.00288352739983645,0,0.220782869566002,0.262281198216818,0.0698933367796923,1.38777878078145e-17,0,0,0.056649071631757,0,0,-0.0922337470734851,0.16596195079575,0,0,0.00792825597266154,0,0,0
BV010082.Index,0,0,0.162008063225045,0,0,0.355043446634873,0,-0.761009671234614,-0.46246342207811,-0.808112093853546,0.182762796683305,0.632633389928426,0,0,0.75933085571548,0,0.0734238416662137,0,0.164121192698505,0
CVIX.Index,0,-0.00234180061155652,0,-0.301592900256967,0,0.078847984432509,0,0,0,0.250430894085937,-0.157588401142688,0,0,0,0,0.498077875437919,0,0,-0.843295563890356,0.369713206664175
DXY.Curncy,0.0713716763612125,-0.000198972943782856,0,-0.143773158070382,0,0,0,0.0298595007739193,0,0.0311808023055687,0,-0.0223602809768554,0,0,0.0380137414577918,0.00922161826715457,-0.0154581521693386,0,-0.0167208665924579,-0.00956105387225194
SPX.Index,0,0.0014717073555864,0,0,0,-0.139535214973613,0,0,0,0,0,0.162694670638421,0,-0.0570999041575406,0,0.241861761774107,0,0,0,-0.206002057874541
VIX.Index,0,0.0298746245057131,0.67732134350265,0,0,0,0,-1.13692212441541,-0.637673258670077,0.722339801216939,0.108186454806028,-0.381344897866299,0,-0.67980044803235,1.29545731036348,0,0,-0.246797798098457,-1.34605887729855,0
