,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0690828327861279,0,0.199979475206293,0,0.0432358835379437,-0.0750935300026206,0,0.139034275582266,0,0,0,0.0622807061786024,0.00763357045293322,0.0474869767337548,0,0,0,0,0.163273285052401
ETH,0,0,0,0,0.243467763957494,0.106166077499352,0.0718803020209156,0.0486914382005996,0.0254083416914408,0,0.0966114552365726,-0.0211305388472377,0.0485518047288458,0.00443767794830401,0.0359772285401848,0,0,0,0,0
XRP,0,-0.312634875261388,0,0,-0.191747239064366,0.356750372347594,0.0213796138818505,0.119294050311827,0,0.0481400745926065,0.129192792631989,-0.0818438073173075,0.0417528261272021,0.521954155477417,-0.0256948851046976,0,0,0,0,0
LTC,0.400324120972209,0,-0.153871331479683,0,0,-0.0979679927444988,0.148395802802444,0,0.267686880587454,0,-0.100690839642167,0.22865062649436,0.0772492612193376,-0.187942067169371,0.0498452670491817,0,0,0,0,0.0959831096773539
ETC,0,0.199248659737315,-0.170040315721916,0.176709012436067,0,0.0992024953778644,0.0367416566917966,0,0.0438710535116215,0,0,0.037824044775307,0,0.115053780105015,-0.0433624549015398,0,0,0,0,0
DASH,0,0.165655688539335,0.272391422937073,0.0316852019004079,0.258342494449902,0,-0.178986001548426,0,0.33130846934972,0,0,0.0354848118457779,0.0429904891596658,-0.0366416326377033,-0.0534077029014933,0,0,0,0,0.208582825644373
XEM,0.0269416744210505,0.112462804515237,0.0774859458737396,0.237267359398735,0,-0.0687634744222936,0,-0.140344350613751,0,0.14112481740331,0,0.0411935923305105,0.259320025760761,0.200870323338864,-0.0312321072687716,0,0,0,0,0
MIOTA,0,0.0403686242917826,0,0,0,0.146630894254863,0,0,0,0.0544358803274718,0.314863803222684,0,0,0.375529659102234,0.076752850171759,0,0,0,0,0
XMR,0,0,0,0.398470554287317,-0.125727091914205,0.501869658760768,0.0308085400052807,0,0,0,0.124172572418168,-0.191186595874597,0.0693102034310362,0.123177471201596,0.0436364351835042,0,0,0,0,0
EOS,0,0.289931406231054,0.251175467589138,-0.430602450932086,0.0144335537468661,-0.146130580997346,0.130122347266548,0,0.314748301574932,0,0.134284272958593,0.174625626246674,0,0,0.0362949936916453,0,0,0,0,0.125423828614725
ZEC,0,0.3679931631314,0,-0.0151614146097763,0,0,0,0.0432368847156694,0.288708000204423,0.0277136119286668,0,0.045023419164998,0.125300791914557,0.0721953965422249,0.00996654211987979,0,0,0,0,0
NEO,-0.38286297438173,0.457402872929614,0,0.774215438127483,1.18156594856236,0.400802706765503,0.670279942170253,-0.688475840893345,-0.394314257282758,0,0.312192614783959,0,-0.774822184170819,-0.0325318502322353,0.327082379185276,0,-3.56095352754897,0,0,0
DOGE,0,0.137554819745584,0,0.267959386834627,0.0469632286394381,0,0.281062481140353,0,0,-0.0524151544944086,0.11449382795446,0.0164597947438527,0,0,0.054113569713967,0,0,0,0,0
XLM,0,-0.128579778393758,0.417633722769492,0,0.0779815969689129,0,0.113419060123984,0.152152806951523,0.328681922266192,0.109374041588249,-0.105541340713074,0.107165126015656,-0.0902585434484498,0,0.109237262583537,0,0,0,0,0
DGB,0,0,0,0,-0.17114210923383,-0.134583491793509,-0.237444494172605,0.0783744585913615,0.0200971038625143,0.217658426226566,-0.82227130873479,0.166174389276531,0.818317379302699,0.891824029881767,0,0,0.800388517593062,0,0,0
BV010082.INDEX,0,0,-0.0336209371964733,-0.173733141535387,0,0.0550610364514295,0,0,0,0,0.00345677553349281,0.0254697629254904,0.00130606922969476,0,0.0198750267039274,0,0,0,0,0
CVIX.INDEX,0,0,-0.0285595415462757,-0.0258541021171196,0.0288550577547226,-0.0775677983705839,0.135513146177632,-0.0360168436998908,0.0737870780781685,0.0153762087223348,-0.0974573107173011,0.0117416151551594,0.0345650180400077,0,-0.0164100194270132,0,0,0,0,0
DXY.INDEX,0.000440691897268658,-0.00329218400703072,0,0,0.0114877052870525,0.0345820578050608,0.0109590179661459,-0.00892256330583778,-0.0169635048407328,0.000742737356968503,0.00517906634498891,-0.00858133936352526,-0.031753336168648,0,0,0,0,0,0,-0.029491977333694
SPX.INDEX,0,0.00750348604910316,0,-0.000411766111226427,0,0.00466737525712248,0.00838983564558343,-0.00289671059889723,0,0,0,-0.00353042884652889,-0.00243642298022982,0,-0.0039243626442651,0.0139016219607569,0,0,0,-0.0591897470675205
VIX.INDEX,0,0.131222776824108,0.372230968570573,-0.125060875101333,0.337383496046882,0.323145160733095,0.419228140565188,-0.0293128462789205,-0.0284286191404069,0.0229329091693021,-0.110025211934779,-0.159970312020897,-0.365914104851377,-0.482061231872044,-0.0260376735521647,0,0,0,0,0
