,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,XLM,DOGE,DGB,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.186291931111524,0,0,0.096421336568782,0,0.10014706164365,0,0,0,0,0.0580545520796586,0,0,0,0,0,0
ETH,0,0,-0.0546845456091065,0.0177857303983002,0.00771044297324727,0,0,0,0.187245636065383,0,0.01870121976346,-0.0264842548646255,0.109829790819339,0,0.159318883401886,0,0,0,0,0.119521622750599
XRP,0,-0.24344965985208,0,-0.0797903762839434,-0.427414881297737,-0.011161457519966,0.507731984236203,0.129299160267009,0.202626492126569,0,0.102703664900648,0.282722833512912,-0.123752613779003,-0.0386065785481434,0.158956170569289,0,0.381709558366183,0,0,0
LTC,0.495686573787983,0,0,0,0.0326587551423386,0.123898487919366,0,0,0.13925872488493,-0.013285769335162,0.226184508385662,0,0.0776255511529331,0.0302560587699385,0,0,0,0,0,0
ETC,0,0.256879146990504,-0.128947189752901,0.15156208765195,0,4.33680868994202e-19,0.130596758998813,0,0.133038626829225,0.0829273207921235,0.0325144598353189,0.023912480417563,0,-0.0428971772664848,0,0,0,0,0,0
XEM,0.428507017743076,0,0.277645013816791,0.0954125577346671,0,0,0,-0.198172270647268,-0.102381971005816,0.24245105086447,0.0855461784951312,0.131595782424662,0,-0.0539563088963229,0.170175379279603,0,0,0,0,-0.561434021105521
DASH,0.046465706170102,0.0981182924170917,0.0051162962597106,0.0692366585161965,0,0.134612494088909,0,0,0.327603497735867,0.161526550201912,0,0.0684519846596791,0.0132426952405542,0,0,0,0,0,0,0
MIOTA,0.353365480281674,0.0508110468001494,0,0,0.123992517753603,0.102073688637932,0.0817500488276227,0,2.16840434497101e-19,0,0,0.0700356019369468,3.65243035310176e-05,0.076862714801779,-0.355207091541159,0,0,0,0,0
XMR,0,0,-0.138174566449028,0.335688482049328,-0.286198087820233,0.250768258525268,0.618446547297123,0,0,0.0774968928834087,-0.0833853930932773,0.0585659456784024,-0.0654191546445801,0.0855179539290277,0,0,0,0,0,0
ZEC,0,0.0384980554480483,0.0714351127155926,0,0,0.0356796184854015,0.170406894774768,0,0.0265259179290976,0,0.0530360553368069,-0.0799159505831219,0.224888821908634,-0.0136444196584406,0,0,0,0,0,0
NEO,-0.936290832244623,1.07212991904427,0.329671593101413,0.924875345772078,0.428664377067755,0.157910063818677,0.180873914431125,-0.883656918962233,0,0.391473883376537,0,0.0178264308476107,-0.501559512332075,0.184750016455159,-0.467915499289788,0,0,0,0,3.46944695195361e-18
XLM,-0.571131125945654,-0.017203707557268,0.236179744969067,0,0.0604263958332846,-0.0726562759615723,0.627271008219383,0,0.35555064275554,-0.33917284784735,0.156374111931636,0,0.5630934348015,0.0323608156417114,0.310634284532523,0,0,0,0,0
DOGE,0,0.0538225541029343,0,0.150116488982935,0.070921038871065,0.289418181688243,0,0,0,0.342350859536251,0.0309176440510083,0.173345462664948,0,0.0489902177234838,0,0,0,0,0,0.0821963088913463
DGB,0.311726743433899,-0.461878797103494,0.608357531887513,0,0,-0.143273727325304,0,0,0.638240111460063,-0.273948867374313,0.137465046116489,-0.409639365346276,0.541317190223538,0,0.39313202560558,0,0,0,0,-0.114982455943344
BAT,-0.429055758268638,0.0803237222631772,0.143545876434723,-0.0574131173916352,-0.0933513598236085,0.131111094389609,-0.0137485715037672,0.804603758020307,-0.0507504332039466,0,-0.00888072751100272,0,0.105800754046773,0.0431438501561569,0,0,0,0,0,0
BV010082.Index,-0.0939472951165998,0,0,0.0141050776245329,0.0148436400624053,-0.0390341121891327,-0.0467580242260582,0,0.0288170720755191,0.0611826201231566,0,0.0286490205820368,0,0,0.0124711565151026,0,0.0302953481466892,0,0,0
CVIX.Index,0,0,0.068681652466332,0.066343062224903,-0.262031080522188,-0.469229151652619,0.168284961311266,0,0.0693447440086855,0.0878889253234114,0.0606732895329168,0,0.056155902168842,0.021989994062964,0,0,0,0,0,-0.0785621433991228
DXY.Curncy,0,0.0209971813963403,0.00657099651379788,0,0.00860352425971289,-0.0172733808239345,0.00380253045615438,0,0,0,0,0.007443228780346,-0.00784994076223798,-0.0021852495090881,0.00224662748287135,0,-0.0119547479982595,0,0,0.0062624703924638
SPX.Index,0,0.000311930172237785,0.00441940952558287,-6.75935296046983e-05,0,-0.00633637610310431,0,0,0,0,-0.000754941623127101,-1.35525271560688e-20,0.000481724424014356,0.00395709221979696,0,0.0321992478081911,0,0,0,-0.028862028366524
VIX.Index,0,-0.146068187340828,0,-0.19258450291236,0.25505783129851,-0.383836408457299,0.209339994230357,-0.0311222089520902,-0.126087582747584,0.182306361371181,0,0.256562443059883,0,-0.119720242877378,0.13994067888577,-2.83295089631534,-0.865567308803934,0,0,0
