,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0705079576478915,0.0175305403984454,0.301216404441134,0.0328597387994733,0.0322245147289323,0.116727997961739,-0.0597461973126809,0,0,0.0196941311349313,0,-0.178962542889356,-0.0312282593365298,0,0,-0.0188332789908661
ETH,0.804306492276006,0,0,-0.241518616378603,0.114519311930545,0.0072988794232015,0.181631184124923,-0.0219029517551485,0.183064774088471,0.0524295770250798,-0.0187652994671962,-0.101473507660829,0.954308455792576,0,-1.00002555122291,0,0.162848383384802
XRP,0.304034396533224,-0.31669911261735,0,0.149147685895875,0,0.0564714110405737,0.328449554714696,0.0116480406304067,0.410186363457663,0.545067915114741,-0.0558197874914094,0,0,0,-1.11378081317754,0.656348979462029,0.13285152748102
LTC,0.350004044330215,-0.153454863929541,0.0113090604503324,0,0.130247070196661,0.0213497686357651,0.0133484662549839,0.0157032961689047,0,0,0.0283136569770891,0.0894458570039392,0,0,0,0,0.0455152843722847
ETC,-0.121441300409524,0,0.0301050363312619,0,0,0.0166403961574893,0.20270673797388,-0.197437470014353,1.32106927560145,0.0380490622486167,-0.0880354846098328,0.29418000254418,0,-0.663135160282541,0,0,0.197028031400758
XMR,1.50375120680414,0.398962876007698,-0.202310792864572,0,0.162838979346772,0,0.184075833574245,0.0942307665096364,0,0.0984319398810694,-0.280224453983767,0,-0.890429736685346,1.13076208457208,0,0,-0.204616565263741
DASH,0,0,0,0,0.0426654801647446,0.0539243036833693,0,0,0,0.0501254493815153,-0.0907096354063462,0,0,0,0,0,-0.0367270669177688
XEM,0,0.40387283622805,0.144852063461258,0,0,0.193906893940813,-0.6012864899109,0,0,0.1778568601015,-0.0738039980904899,-0.0519736943361684,-0.752460897847923,-0.895625192673769,0,0,0
DOGE,-0.163119629152935,0.073670349051286,-0.00000000000000000346944695195361,0,0.0794159801609054,-0.0584459442768302,-0.0647378471205383,0.162293247766433,0,0,0.00116824592492466,0.0548450865698211,-0.951350906552549,0.327806462999679,0,0,0.047722016785537
XLM,0,0,0.555532553095701,0,0,0,-0.182209364094842,-0.210665262557962,0,0,0.0279252007460188,0.201701953179492,0,0.184296594924034,0,0,0.0583476616939847
NEO,2.13960405684685,1.13134745925572,-2.47154746847464,0.973413833786569,-0.0997332593166378,0,-2.90249451992266,0.951629914564661,1.50031797853215,1.35704084200085,0,-1.59951777826977,0,4.88942530781583,0,0,-0.761491699268932
DGB,0,-0.511166797920232,0.110495763991041,0,-0.132134667823698,0,0.276324090114529,0.310576715653684,0,0.206628994447386,-0.0312890302836073,0,0.352857357894736,0.630991825239601,0,0,0.0665767514131681
BV010082.INDEX,0,0.0581113618862126,-0.0953519163760387,0,-0.108623623587329,0.0325407698141632,-0.178503048607014,0.0268759435717198,-0.287186379979275,0.0838129868679185,-0.00624345722733474,0.0883606189046863,0,0.0802027354773236,0.194880412970371,0,0.0686477197855359
CVIX.INDEX,0,0,-0.147747263278075,0,0.131464162971911,0.0042333864613188,0.198934897819064,-0.102447188642197,0,0.169624254107343,0.0162430158164735,0.0479211871348492,0,0,0,0,0.123132414007651
DXY.INDEX,0,0,0.0150850884205497,0,0,0.00396558174435652,0.00000000000000000173472347597681,-0.0148531111947456,0,0,-0.00267284874866307,0,0.158257141080301,0,0,0,0.00296328883256987
SPX.INDEX,-0.0394182995432601,0.0243611479208654,0.00155234042125884,0,0,0,0,0.0274845946073068,0.00365601123869628,0,-0.00152756162328151,0.0251951598703644,-0.00552848052092288,0,-0.197830014181192,0,-0.0659890344118424
VIX.INDEX,0,0.315657890652426,0.050778328494346,0,-0.267446181547131,0,-0.755703132777218,0.417495453029643,-0.1303913470696,-0.0959340961962841,0.0484065091026005,-0.00000000000000000173472347597681,0,1.29488003724175,0,-3.23194048243384,0
