,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.146838318484984,-0.0779146601700119,0,0,0.0021341609919562,0,0.104833709959501,0.28296933529576,0.255280616964676,0,0.0532722869958345,0,0,0,0,0,0
XRP,0,0,0.0445466477700764,0.927441945416257,0,0,0,-0.0103405344695147,0,0,0,0.0724602920583632,0,0.455923214594357,-0.419735660403612,0,0.14510415336619,0,0,0.106544015691463
ETH,0,0.153810196755253,0,0.0751708234965097,0,0.229447173223055,0.30304077653908,-0.00000000000000000346944695195361,0.00813329081935951,0.0618173587693091,0.0684028617002875,0,0.0325437676918168,0.0776823123456673,0.162398066430317,0,0,0,0,0
XLM,0.369270294603673,0.0833914070666472,0,0,0.0073659453907093,0.232384233713621,0,-0.0389835305383375,0.414536682206677,0,0.0945601986018263,0.0265030298382012,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.152170950344923,0,-0.0329586421135177,0,0.457330621275134,-0.313065236608364,0,1.35924144287173,0,0,0,0,-0.120217888595053
EOS,0,0.23575621044493,0.731558163762575,0,0.1719705155004,0,0,-0.0169900938322274,0,-0.194271963669162,-0.0370208137459005,0,0,-0.0343500794419217,0,0,0,0,0,0.0901988362711199
LTC,0,0,0.156923617765177,0.157237401095297,0.111973796604917,0,0,-0.0261446531615495,0,0.105239810280136,0.156687267509008,0.022036974573798,0.222257134225447,0.0316160016384756,0,0,0,0,0,0.0275613340760497
BSV,3.0592290667773,-0.0000000000000000277555756156289,-0.96739057723106,-3.78544641640935,1.62505178136247,-1.80054921415893,-3.33577785770854,0,0,1.17146145461365,0,0.716761087306668,3.18427810400289,0,0.230069042636657,0,0,0,0,-0.223235988252902
ADA,0,0.0448174992636429,0,0.0535670822573104,0.117724006400245,0,0,-0.0188192150906286,0,0.29282391742277,0.0715879301570159,0.239824601458061,0.140234743011857,0.0108220501682507,0,0,0,0,0,-0.000000000000000000216840434497101
TRX,0,0,0,0,0,0,0,0,0.414464949522509,0,0.0974272856616848,0,0,0.0950687749170807,0.388072590677559,0,0,0,0,-0.0825935609718578
XMR,0.440996206779856,0,0.33722378187309,0,0,0,0,-0.00534677114431586,0.0781803207755892,0.0345085144956618,0,0.00000000000000000693889390390723,0.19312357715085,0,0.065133575807471,0,0,0,0,-0.0104545803983087
MIOTA,0,0.0577151645600117,0.106113289417592,0.130400890406294,0.00487375316977181,0.143128976084537,0,0.050009823466095,0.146593831812672,0.198812447780894,0,0,0,0.157957895501635,0,0,0,0,0,-0.0374415314243572
DASH,0.263031306255105,0,0.0653573698640993,0.000000000000000000216840434497101,0.116849016094036,0,0,0,0.469972103595039,-0.0435886608634357,0.0275396636535354,0,0,0,0.169853479097013,0,0.180565638106548,0,0,0.00167357677178573
XEM,0,0.0158615566899771,0,0.276986810686045,0,0.0762368430268935,0,0,0.142787455189407,0,0,0.137118725116121,0.253763092396645,0,0,0,0,0,0,0.00964466779655234
BNB,0,-0.0593549493688845,0.66175322167466,0,0,0,0.0315844193283124,0.0284838563884811,0,0.0860190202155339,0.0514612571588874,0,0.0235748106579332,0.0944164407660169,0,0,0,0,0,0.017585318655515
BV010082.INDEX,-0.0299955402084008,-0.23313215628519,0.19380762817253,0,-0.0180480654664029,0,0,0.00782330056851687,0,0,-0.0251417532389809,-0.10052694123103,0,0.121317170791179,0,0,-0.0202399210330596,0,0.302280761973535,-0.0217986290049153
CVIX.INDEX,0,0,0.47406192701213,-0.233866909476556,-0.0898205781354961,0,0.170934093921711,-0.0165889614298281,0.0217797946961804,0,-0.471615771324732,0.173559712211053,0,-0.0144527327831606,0,-0.207901275963959,0,0,0,0.0310772856838458
DXY.INDEX,0.0270445658647339,0,0.0553343389845772,-0.0582268491564008,-0.0155066070879094,0,-0.0320914865408986,0.01230548070343,0,-0.00010288169882285,0.00599600973726061,0.00708809859403212,0,0.00263596761270434,0.0112820630781086,0.0661968196503361,0,0,0,0.00422322937724464
SPX.INDEX,0,-0.0188373576889547,-0.181878121380083,0.105086236660116,-0.00283964474202716,0,0,0.011218757434199,0,0,0,0,0.0106284077747999,0.0589807727547477,0,0.0652646707040395,0,0,0,-0.104839466128291
VIX.INDEX,0,0,-0.361342574926793,0.113388246286732,0.147591586538822,-0.532972529108676,0,0,0,0,0,0.290139006056336,0.169496825444031,0.241807267541766,0,0.887985794697337,1.31221023307525,0,-5.81398949838544,0
