,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.127284212272055,0,0.110239962406129,0.080997435519763,0,0,0.0846931070924379,0.111251843338303,0.0362028203528962,0,0.0280842355780678,0,0.0663087281071531,0,0,0,0,0,0.104570402358321
ETH,0,0,0.129706412370358,0.186736591450212,0,0.041055019460176,0.371741694048002,0,0.0534436356301512,0,0,0,0,0.046610094012076,0,0,0,0,0,0
XRP,0,0.0924374934377914,0,0.0615853544497501,0.180909735841666,0,0,0.0227650581220559,0,-0.15606335754828,0.0950071700359466,0.20795541408934,0,0.201471196724536,0.128903048999258,0,0,0,0,-0.0623737970257752
BCH,0,0.246911400794507,0,0,-0.283803640978575,-0.0663057965998484,0.477643992497257,0,0.0835281416164435,0.0738193339281617,0,0.194504427047614,0,0.0568990702238907,0.218964163289159,0,0,0,0,0
EOS,0.00000000000000000346944695195361,0,0,0.034092867596938,0,-0.0657482242108201,0.119688294464937,-0.132933631629252,0.0000000000000000138777878078145,0.159172454024073,0,0.290832680303923,0,0,0.369477983900201,0,0,0,0,-0.273901062412633
ADA,-0.137619585176628,0.530980652821027,0.0620690759629947,0,0.0930156174370655,0,0,0.227767504931696,0.320039687457136,-0.0405961901081888,0.0591432280451495,0.0549187564638097,-0.0972744885262082,0.122996236494461,0.106436657256948,-0.454748022169414,-0.236566950280238,0,0,-0.0242366422046456
LTC,0,0.431146543479067,0,0.111037325543257,0.0232705327808173,0,0,0.180799844549878,0.0525452233206898,0,0.0506628552262314,0,0.0381876156783382,0.012853693180021,0,0,0,0,0,0
XLM,0,0,0,0.0654698915321803,0,0.23795165488136,0.124243785169989,0,0.248175713620331,0.0549220825771056,0,0,0,0.137895047128711,0.0559597230588431,0,0,0,0,0
MIOTA,0.18587289574575,0,0.28163484414486,0.413027055140425,0,0,0.0146110647050859,0,0,-0.0276593267096539,-0.00000000000000000693889390390723,0.105639215136686,0,0,0.137513992434834,0,0,0,0,0
TRX,0.800724224700071,0,-0.86089240888962,0.822693726831952,0.330202270643682,-0.61271561238071,0.71604356333114,-0.341986137559045,0,0,0,-0.00945470269167971,0.14367405551605,0.170352448593009,-0.0762316202141401,0,0,0,0,-0.102279575816562
NEO,0,0.145220357188183,-0.127745292079634,0,0.0878654131095484,0.085923396422955,0,0.234917496773396,0.234986837350337,0,0,0,0,-0.0848302160299861,0.374047183255713,0,-0.446390624000768,0,0,0.109765953971491
XMR,0,0.701758697395352,0,0,0,0.143104401794097,0,0.101737431991643,0.12178462209903,0.0662418990359154,0.0951560059164181,0,0.03495006747395,-0.276172896460434,-0.0621362236299284,0,0,0,0,0.0181380687100081
DASH,0.359211551261295,0.174924570981017,0,0.162443204077889,0,0.0205365313139012,0,0,0.0689811483636779,0.0361358212126653,0.0437658283740853,0.0754888873347622,0,0.0274025120150724,0.0623143232860675,0,0,0,0,0.0666599318514473
XEM,0,0.517260500883557,-0.16836248131468,-0.469658542653467,-0.136915374053165,0.28609067423819,0,0.336250994904053,-0.0718089897411798,0.227355023750626,0.103030178841798,0,0,0,0.298495981570795,0,0,0,0,0.015463611101631
ETC,0,0,0.658407200722778,0,0.0558675437319712,0.0161600883072709,0,0,0,0.143340750262277,0.21495760175123,-0.25758736123119,0,0.120737294939738,0,0,0,0,0,-0.0963965794830026
BV010082.INDEX,0,0,0,0,0.00427109511743908,0.0253851637819573,-0.0142646157545614,0.00791891951859645,0,-0.0128847513679757,0,-0.0903896880002876,0.140690062693059,-0.0735089752098321,0,0,0.139788477856102,0,0,-0.0562128854236079
CVIX.INDEX,-0.111935238631248,0,-0.0485874361761148,-0.0340606818557497,-0.0651907339649251,0,0,0.0441660423460108,0,0.000487550026619575,-0.129463718992958,-0.00755371311375428,0.185906724841085,-0.238032521458777,0.270654928149185,0,0,0,0,0
DXY.INDEX,0,0,0.017168141298623,0,-0.00205030294919547,0.00598641316071421,0,-0.0403363030796942,0.00000000000000000010842021724855,-0.00477395677150288,0,0,0.0421910942560076,0,-0.0104005114775549,0.0655706377486119,0,0,0,0
SPX.INDEX,-0.104672141345602,0,0,0.0358973953069903,0.0307705604152249,0,0.00389677747887812,0,-0.0103954726089189,-0.0291077918439658,0.0275679295748016,0,0,0,0.00699039483971922,0,0,0,0,-0.105420951892225
VIX.INDEX,0,-0.283285492168207,0.288712788939488,0.212018570342723,0.111775899833786,0,-0.12913704393579,-0.395817056072665,0,0.111196090920635,0.119215617143058,-0.139634414792758,0.222592884255284,0,0,-0.831383173647939,0,0,-4.22677512636652,0
