,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.113667992906865,-0.0501589407206971,0.159194133178021,0.0167516331912969,0.0539280259345001,0,0,0,0,0.0102656087126363,0.280932251206419,0.113823244525838,0,-0.0748144095250768,0,0,0,0,0.080437888439937
ETH,0.305481309643917,0,0.246076954559076,0,0.00000000000000000693889390390723,0.0650376985829648,-0.0208368376909236,0.109199226661846,0.0397883492753031,0,0.060436669451407,0.0584824282729088,0,0,0.106447986836982,0,0,0,0,-0.0479181721446614
XRP,0.206410599860505,0,0,0,0,0.145838554031736,0.0044078376758598,0.055582245319632,0,0.260681388019285,0,0.183403729841922,0,0.0382538062274078,0.0545964595713239,0,0,0,0,0.0343656546670528
BCH,0.72808587612345,0,-0.142800599992358,0,0.230221386744941,0.145287113512037,0.0289348498879485,-0.00850023161395994,0.271974880216192,0,0,0,0,-0.0934071577212669,0.0640441572295351,0.0486242704435044,-0.0257233552931408,0,0,0
EOS,0,0.338377850247982,0,0.242093235012095,0,0.159556617343698,-0.0386166267975015,0.00264856199875543,0,0.0542160109854087,0,0,0,0.0313431470873777,0.137952090861769,0,0,0,0,0.110841668591043
LTC,0,0,0,0.102152471833995,0.254525271598254,0,0.0889585197964939,0,0.0983724976896836,0.0491578231933954,0.0222660939000172,0.231306866125531,0.00841484916810469,0,0.118946520835907,0,0,0,0,0
BNB,-0.423331747201634,-0.240652330696641,0,-0.000000000000000000433680868994202,0,-0.0438387587967989,0,0.0291743317342827,0.0683242830542519,0,0.110738760871967,0.151989414518829,0.520615152253082,0,0.125403602856926,0,0,0,0,-0.0240891260117494
XLM,0,0,0.240010155460376,0.120713234223383,0,0,-0.107620816385835,0,0.0800425200954745,0.185186008153737,0.0282284985089547,0,0.181609813735116,0,0.112409613041977,0,0,0,0,-0.010915763624457
ADA,0,0.000605580849201898,0.449688664709192,0.185621982288885,0.192904084137626,0.109203375470822,0.0569950468543399,0.0337080828283052,0,0.0200547750341591,0.0348615019446307,0,0,0.0332758891085315,-0.0149392762524794,0,0,0,0,-0.00996939267437221
TRX,0,0,0.277973001874522,0,0.104976024576298,0.0598945352750007,0.0432914108667326,0.108755367161788,0,0,0.0548105707639571,0.117359655543663,0.0618015434303402,0.0887388607326269,0.0823512811050558,0,0,0,0,0.0796981220316254
BSV,0.632481226424616,0,-0.398379107852894,-0.685353718282599,0.284751746233757,0.142175240253554,0,0,0.334691410813066,0,0,-0.0328648490114991,0.919415375204109,0,0,0,-0.356591672735202,0,0,0.0618820456753869
XMR,0.115969483279563,0.0173661346329721,-0.00000000000000000346944695195361,0,0,0,0.0803778835838733,0,0,0.0486379223696469,0.0592595091776667,0,0.34661285414549,0.302324847520571,0.137940778914024,0,-0.113177845894238,0,0,0
DASH,0.0797012463299902,0.312251581346648,0,0.0712316176677041,-0.000000000000000000867361737988404,0,0.0399787661322426,0,0,0.27978485241318,-0.0431134389950249,0,0,0.17931604140572,-0.0347098455517816,0,0.0462820659344834,0,0,0.0123317945492648
MIOTA,0.141183530616058,-0.0352241403876863,0,0,0,-0.0709477724043313,0.227197186594878,0,0.0973293184443122,0,0.0614477445892019,0.49128740280458,-0.0000000000000000277555756156289,0,0,0,0,0,0,-0.0550930762889581
XTZ,0,0,0.52905493955824,0,0.258169565545959,-0.0354822576338691,-0.00430599454411598,0.934612043148922,-0.300988958284013,0,0,-0.355229804328917,0,0,0,0,0,0,0,-0.104628149491461
BV010082.INDEX,0,0,0.0554917137048921,0.193251922644504,0,-0.175301103777396,0.0915570962444479,-0.146375872208031,-0.17538509970267,0.256513620179874,0.0399187862322382,0,0,0,-0.0412852804589056,0,-0.0209899380527868,0,0,-0.149391567197322
CVIX.INDEX,0,0,0,-0.114241994093853,0,0,-0.0552188638222125,0.349005989878806,0,0,0,-0.304114925707896,0.436112566337152,0,-0.311731911225377,0,0,0,0,0.124586054644745
DXY.INDEX,0,0.0279437646266116,-0.000000000000000000433680868994202,0,0,0,-0.00809232617361797,0,0,0.00457939382047959,0.0055684208105576,-0.0226742254561427,-0.000766861725990714,0.00451839588442467,0.00716462292865431,0,0.0114400421349786,0,0,-0.00493509989594216
SPX.INDEX,-0.0094620033983987,0,-0.0328355337402123,0,0,0,-0.0173212568592989,0,-0.00430190254321535,0.0216504464007264,-0.00293527589813713,0,0,0,-0.00432089764397276,0,0.00371454912885949,0,0,-0.0629478872960212
VIX.INDEX,0,-0.0831420806677823,0,-0.0734387178020235,0,-0.366157298256402,0,-0.277346841807664,0,0.768732097269067,-0.052921670578617,-0.269907634018805,0,0,0.0924406573076452,0,0.3469684268215,0,-5.67888256690656,0
