,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00914690994340385,-0.00645083179682568,0.267368201578284,0.294295894698863,0.182103240580312,-0.0460142467539873,0.13664639299403,0,0.161578469813963,-0.0748201167694681,0.0343047695393023,0.104756024456822,-0.0426931191341182,0.189467395785465,0,0,0
ETH,0,0,0,0.117923486609622,0.0980366246554043,0.0500682056865203,0.048335847960226,0,0,0,0.152879462793755,0,0.238196691199766,0,0.0256868663208309,0,0,0.221463554223835
XRP,0,0.201536091605708,0,0,-0.0601198895883344,0.0170802617999466,-0.148194975544013,0.08457384932205,0.0582724234712775,0.46927419617612,0,-0.000000000000000000867361737988404,0.0292420539488303,0.144141416093183,-0.107753173226149,0,0,0.10295592834333
DASH,0.419916160816384,0.319585637458165,0,0,0,0.251215777122471,0.410147265984854,0.14119335023688,-0.540644772043331,0,0.365408681406663,-0.283631962550485,0.0661312303134576,1.0882787095044,0,0,0,0.00197663939135747
LTC,0.577189366751804,0,-0.212659699031054,-0.0981060177038951,0,-0.0184942748703722,0.0964236994482618,0.0846886592257446,0.268585700108353,0,0,0.115668389438351,0,0,-0.272749612945427,0,0,0.0289098769051692
XMR,0.412966763494313,0.0988369280380605,0,0.325801083959644,0,0,-0.112571759965104,0.131940686929388,-0.55605855728562,0,0.320443263407246,0.0673071063210194,0.0543294887107957,0,0.610630090847218,0,0,0
ETC,0.227989671171616,0.411336140448436,0,0,0.42073807872143,0,0,0.0194382792436924,0.307268508979124,0,0.166385665034772,0,0.0753286628305116,0,0,0,0,-0.234895335096013
XEM,0,0,0.0980753520656516,0,-0.0383809897991007,0,0.139797230372687,0,0.25329223648434,-0.416254256892074,0.211619691392289,0.20516446753148,-0.215129539536905,0.225851857136883,0,0,0,0
ZEC,0.462038949831747,0.0732961421346042,0,0,0,0,0.077472652772418,-0.00859087604854341,0,0.517667511187327,0,-0.145458282732775,0.147477295660842,-0.59984569723607,0,0,0,0.0826147919302046
DOGE,0.35918017388453,0,0.241638409089386,-0.146647678170489,0,0,0,-0.0272436098029737,0.00247130824625343,0,0.197295434692628,0.00360129643969519,0,0.0693490069826281,-0.206457826235926,0,0,0
XLM,-0.353969375834058,0.0840984188629159,-0.0280018204837833,0.0876827442040163,0.372889851140612,0.0314611843866981,0.175060227516642,0,-0.208320276119333,0.350611757606517,0,0.106063625991533,0,-0.339714684525873,-0.0606042802855897,0,0,-0.0321683316602208
NEO,0.335816484086296,-0.12909762219303,0,-0.280387843827741,0.111788804214232,0,-0.0560011475400821,0,0,0,0.436230967918086,0,0.222669775523289,0,0,0,0,-0.216535012705372
DGB,0.62601787761542,0,0,0,-1.0160168712022,0,0.0783011604514228,0.142464529893669,0.485697968301319,0,0,0.456377251513157,0,0,-0.31973988238828,0,0,0.219235627958519
BV010082.INDEX,-0.151695458943802,0.0396174646026762,0,0.053851836645028,-0.110167513313073,0.0914083832679008,-0.0301249085171444,-0.0395278148930558,0.148711690655991,0,0.0334472365042729,-0.00819019964973013,-0.0701180516900514,0,0,0,0,-0.0163133614947532
CVIX.INDEX,0.0977500836506846,0.171153310648424,0.154747272741066,-0.0155055493890971,0,0,0,-0.165596073678742,-0.0248189037627595,0,-0.0527186459632117,-0.0952991979804896,0,0,0,0,0,0.0162643118651216
DXY.INDEX,-0.0447509666015705,0.0132709934418028,-0.0527890105874661,0.0304385746908969,0.0520336641464719,0,0,-0.0153213975109563,-0.0117037177012912,-0.0141742268659018,0,0.00295344768915267,0,0.19655265499714,0.0442681304148626,0,0,-0.00724778033759838
SPX.INDEX,0,0,-0.0121389074432045,0.0159122603470309,0,-0.00752768433431027,-0.00535776930301387,0.0011080620411329,0.000506377836203074,0,0.00782461991760853,0,-0.00538404795440376,0.0592183515935522,0,0,0,-0.0645907411383261
VIX.INDEX,0,0,0.245586254671301,0.205037743674832,0.250885017811832,0.094759678564514,-0.676418625239829,-0.289556952691742,0,0.203959356634587,0,0,0,0,0.161171876633996,0,0,0
