,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.100277494098896,0.172886762270866,0.0192491573635957,0.0232771607692109,0,0,0,0,-0.00589492661586762,0.436904259727247,0.119641060352116,-0.000411617218486321,-0.0246216068908977,0,0,0,0,0.11951647973492
ETH,0.210010962192198,0,0.257076329004471,0.0415300911795175,0.0842055803017421,-0.085673114214879,0,0.00361737965986356,0,0,0.179530037590435,0.100856795963436,0.150670382919961,0.0213429615146654,0,0,-0.126318035921987,0,0,0
XRP,0,0,0,0,0.148110356642678,0.104827210313647,0,0.0156383275826391,0,0.21631854938811,0,0.225303042495426,0.0345197246092457,0.220000703130283,0.0168252536733766,0,0,0,0,0.017256548961083
BCH,0.611513583999827,0,0,0,0.214465270889728,0.164389347710952,0,0.0896394382959446,0,0,0.151402325845169,0,0,-0.12159935542856,0.0144764511385608,0,-0.0630146118447745,0,0,0
LTC,0.0637623447838673,0,0,0.0904127621377061,0,0.355037911394074,0.064428744014071,0.0247830996000328,0,0.0000000000000000277555756156289,0.134461766013472,0.304574712869837,0,0.00443892792852896,-0.0354903001419387,0,0,0,0,0
EOS,0.25673372049491,0.712712678823677,0,0.194457743582974,0.261736400193195,0,-0.0704142512358751,-0.119610187616544,0,0,-0.00000000000000000173472347597681,-0.0402290802006483,-0.170715428674695,0.0973567956230398,0.022261382566504,0.58033119905386,-0.166791836057045,0,0,0.0993125692018864
BNB,-0.590022413147543,0,-0.190360219918879,0.315851207920463,0,-0.0393268449239574,0,0.000000000000000000867361737988404,0,-0.0421336952045213,0.268338956629763,0,0.340946077357214,0.194521243257361,0.0577861517924374,0.00535652795766653,0,0,0,-0.00097467742306917
BSV,0.44951110708863,0,-0.181307463482368,-0.607862313900209,0.285177254893709,0,0,0,0,0,0,0,0.928084036581767,0.235680350575325,0.0503875572570347,0,0,0,0,0
XLM,-0.0429771664392177,0.205093801623592,0.465290362641103,0.137372191717605,0,0.0340076728968705,-0.0926025178062936,0.0137313146434566,0,0.0223444756639475,0,0,0.0948781755593796,0,0.0678655692869436,0,0,0,0,-0.00000000000000000346944695195361
TRX,0.0471660912273796,0,0.240078237294945,0,0.0880954129260304,0.357132820444777,0,-0.0268489536246569,0.0789265709484433,0,-0.0907524566872197,0.196280924464371,0,0.155372776709014,0.0322735798926124,0.0329169303955915,0,0,0,0.122030785558132
ADA,0,0,0.257281359391555,0.157508474494021,0.232293765305814,0,0,0,0.097795251042078,0.0190460838037294,0,0.0651746286280536,0,0.01860977551126,0.0237670244894561,0,0,0,0,0
XMR,0.435952989981089,0,0.0467020329023612,0,0.154440882330112,0,0.0161854564973043,0.0211313263113234,0,0.075780841896544,0.0877608374404694,0,0.327506804994876,0,0.022080415514471,0,0,0,0,0
DASH,0.211663398453513,0,0.269184716300963,0,0,0.0158744791067464,0.153085393720828,0,0.151151094551579,0,0,0.00000000000000000693889390390723,0,0.0667169071464212,0.0497767152514624,0,0.126046794033464,0,0,0
MIOTA,0.0831425551839077,-0.0732567836605856,0.0642089152554083,0,-0.132663523810361,0.180810440441345,0.223114322081326,0.0634131271709663,0.00000000000000000346944695195361,0.0220098769753268,0,0.527144810473195,0,0,-0.0119462290121705,0,0,0,0,-0.0635643065924644
ATOM,-1.43395852182131,0,0,0.749914654978918,0.321164837450508,0,0,0.257073679632564,1.05658020001056,0.100590465163946,-1.23177791157934,1.68188713041057,0,-0.745413169889836,0,0,2.09742374903032,0,0,0
BV010082.INDEX,0,0,0.103196978714538,0,-0.0474014089951664,0,0.0642906387770381,-0.0219204848950458,0,-0.374930970943304,0,0.0784408246905656,0.0101266348475059,0.230254899412403,0.077745479143384,0,-0.0291111407273678,0,0,-0.0871436590012549
CVIX.INDEX,0.393799380299221,0,-0.0435002782097993,-0.308544616938399,0.795338385569028,-0.472547585845942,-0.378163811495014,0,0,0.120298673012095,0,-1.0419007040399,0.79693327402042,0,0,-0.0939443321574163,0,0,0,0.195792120133735
DXY.INDEX,0.0104340011821366,0.0295381376419933,0.004822093087328,0,0,0.0113516853452335,0,0.00144852488306508,0,-0.029352983518438,0,-0.0178663773581867,-0.0166562431331757,0.0143526496776687,0.00789513157738874,0.0155522427217749,-0.0136796024326776,0,0,0.00702257923461169
SPX.INDEX,-0.00343157857276814,0,-0.0225251733324578,0,-0.0000372609630400898,0.0299998053410192,0,-0.00595202042105182,-0.0164656404979303,0,-0.00772520493380456,-0.0150395164768724,0,0.0126463857815893,-0.00901635230631704,0.0336870946450398,0,0,0,-0.0579365178846181
VIX.INDEX,0,0,0.00672623847690459,-0.185757830469365,0,0,0,0,-0.269729491590878,0.407658763880412,0,-0.378993234655816,0,0.0423660536490597,0.153942225949465,0,0.266915024655693,0,-5.39365675984684,0
