,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.154169150064514,0.085090001149169,0.257069718131393,0.130356841892308,0.241519135230389,0.0575861356212135,0,0,0.0605394186377874,-0.0975510835640497,0,-0.0180886715420705,0,0,0,0,0,0
ETH,0,0,0.0538398814579482,0.141782128780346,0,0.0601752655479682,0,0.246600996846559,0.0983102287582907,0.2017979905984,0,0,0.0493669383804909,0,0.191664627025149,0,0,0,0,0
BCH,0,0.0521524525311943,0,0.298363836233412,-0.670155921125003,0.943902040660171,-0.203818560202838,-0.633025209828491,0.181880398435168,0.546913985199108,-0.02174464688709,0.788475305615809,0.348354559908257,-1.19684471329703,0,0,0,0,0,-0.266658144188989
XRP,0,0.433620181400092,0,0,0,0.167865151719471,0,0,0.0569257671043752,0,0,0,0,0.243312079073077,0,0,0,0,0,0
LTC,0,0,0,0.0534997673736103,0,0,-0.101925334662605,0.106756096542095,0.092395415366545,0.250654225643198,0.0159180625624978,0,0,0.020695366827228,0.0131160469290469,0,0,0,0,0
XEM,0.363097248294645,0,0,0,0,0,0.202980951340865,0,-0.0156822449548637,0,-0.0152580410547863,-0.12707373400405,0.322386648833954,0.204886040683145,0.128459707497672,0,0,0,0,0
DASH,0.324634781625363,0,0.0355180438464876,0,-0.168032445172225,0.098493515868115,0,0.125570927849384,0.0697175898665165,0,0,0.320162701214055,0.12884328852173,0,0,0,0,0,0,0
MIOTA,0,0,-0.0245260809840109,0.0876823528746345,0,0.0862098136254074,0.216680805490205,0,0,0,0.175295461113928,0.451752654849269,0.172741328475616,0.149392030677499,0,0,0,0,0,0
XMR,0,0,0.116556877503986,0.113301484044563,0,0,0.354694234683932,0.0724191723548329,0,0,0.104441032666617,0,0.0566037850267117,0.244058023533378,-0.1161357511711,0,0,0,0,0
ETC,0.0587437139909773,0.389218427101258,-0.000617592953617589,0,0.335860942287181,0,0.145123079838094,0,0,0,0.0359542714254637,0,8.67361737988404e-19,-0.142732341724463,0,0,0,0,0,0
NEO,0,-0.118709434760076,-0.00835190320095223,0,0,0.317555763952536,0,0.230330993989685,0.0852761317136839,0,0,0,0.124072769731356,0.0766756104929507,-0.0167034951892308,0,0,0,0,-0.0618002813243329
ZEC,0,0.0550314045843935,0,0,0.0739567499893337,-3.46944695195361e-18,0.180350602903796,0.19070929736007,0.0413234015934727,0.0665344342466925,0,0,0,0.126381745637252,0.0177956734717732,0,0,0,0,0
EOS,0.409617989524836,0.265124147695507,0,0,-0.48561089644821,0,-0.294996672287416,0,0,0.37920999095634,0,0.506800207652878,0,0.359480922386423,0,0,0,0,0,0.0854863976062964
XLM,0,0.157672462277091,-0.0232332279575946,0,0,0.215679897265058,-0.270296711688167,0.0716592666951727,0.545113090783783,0,0,0.0832513915897544,0.121530985380963,0,0.167149851961669,0,0,0,0,0.0247036537017418
BAT,0,0.120461592474033,0,0,0,0.125646777253332,0,0.0310990993479884,0,0,0.144109570676718,0.216159019283511,0.097475051423528,0.286838683864048,0,0,0,0,0,-0.181070868469949
BV010082.Index,-0.0123947267938106,0.0378594231145012,-0.0218901830196342,0,0.0447864427358849,0,0,1.73472347597681e-18,0.0256261879276283,0,-0.0212502847985075,0.0393215418321671,-0.0334148633502968,-0.0637875028635528,0.0392369672745789,0,-0.0761259021089623,0,0,-0.00377024893012319
CVIX.Index,0.00178145228298607,0,-0.023760416585874,0.0788118661781282,0.0245745188901475,0,0,0.0150698428168965,0,0.123085103928904,0.00234750017001405,-0.0980697954884991,0.0276564887364979,-0.0666481503233838,0,0,0,0,0,0.102436323178574
DXY.Curncy,0.00375227703366614,-0.01215938613483,0.000270212184348467,0,0.0239286992613761,0.00217761612710653,0,0.0133021926477759,0.0116930387018866,0,-0.00501401130661124,-0.0235773934152303,0.00135709322090502,-0.00767140674976038,0.0035453561311235,0,-0.0158548484199517,0,0,0
SPX.Index,0,0,0.00181980823150518,0,0.00197620910047599,0,-0.0195549863767261,0.0049301255973122,-0.00248812679176508,-0.0057103801831056,0.00322687660362497,0,0.00521759289131661,0.00251562458944292,0,0,0,0,0,-0.0536695665692171
VIX.Index,0,0.143294314805284,0.0679677914269793,-0.11533248816413,0,0.300799855664498,-0.376111382972451,0.234480299736722,0.216963490308626,0,-0.389917844355226,0,-0.211568201798034,0,0,0,2.19905454742184,0,0,0
