,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0031569440122265,0,0.295051829625333,0.268673508641117,0.182728483249576,-0.0460364136603203,0.135060773673499,0.162907674305944,0,-0.0742941902336989,0.0331025119816498,0.104906550427687,-0.0505407212394904,0.187658068183651,0,0,0
ETH,0,0,0,0.0980361267890673,0.11792308990969,0.0500678066254666,0.0483360265095943,0,0,0,0.152878187876144,0,0.238194785757614,0,0.0256909302835782,0,0,0.221462943805702
XRP,0,0.201536091605709,0,-0.0601198895883324,0,0.0170802617999465,-0.148194975544013,0.08457384932205,0.469274196176119,0.0582724234712765,0,-0.000000000000000000867361737988404,0.0292420539488306,0.144141416093183,-0.107753173226151,0,0,0.10295592834333
LTC,0.556491079162977,0,-0.163824424584394,0,-0.0998028938646391,0,0.103381847435394,0.0900416077902641,0,0.250559461403231,0,0.107497587061598,0.00000000000000000693889390390723,0,-0.300548673164275,0,0,0.0325212084840278
DASH,0.43605036238419,0.365203433064544,0.0932729345567075,-0.0635366139662015,0,0.273235733689491,0.356778107617492,0.160701971645573,0,-0.580724132537635,0.401499572043771,-0.325474631164633,0.0714489779686319,1.01374147733069,0,0.673771302289623,0,0
XMR,0.376473124259892,0.132439881504133,0,0,0.296101496342122,0,-0.110924631908244,0.154662488809235,0,-0.502701642205476,0.316476495920076,0.0696463866974135,0.0284981774807774,0,0.560982205167007,0,0,0
ETC,0.228053805095844,0.411344703393366,0,0.420711056311237,0,0,0,0.019425428213977,0,0.307255390340318,0.166386510941835,0,0.0753072161265641,0,0,0,0,-0.234918037583853
XEM,0,0,0.178259526825633,-0.121952635426639,0,-0.0667453558833377,0.119174703851759,0,-0.629991221870003,0.573819316184006,0.262901905923696,0.26943253053457,-0.22274034977775,1.12297408858532,0,0,0,0
DOGE,0.355375905993761,0,0.240824185674744,0,-0.147024572968006,0,0,-0.023551943933776,0,0.00268929554375081,0.202659570520648,0,0,0.0680430018106329,-0.186540578152025,0,0,0
ZEC,0.462038949831748,0.0732961421346038,0,0,0,0,0.0774726527724183,-0.00859087604854368,0.517667511187326,0,0,-0.145458282732776,0.147477295660842,-0.599845697236069,0,0,0,0.0826147919302041
XLM,-0.354943903028302,0.000605522408354481,0,0.356401553400214,0,0,0.216349065284008,0,0.239336535486338,-0.0283279381493481,0,0.126894047849296,0,-0.169732260520809,0,0,0,-0.0545323915313163
NEO,0.335816484086296,-0.129097622193029,0,0.111788804214232,-0.280387843827741,0,-0.0560011475400824,0,0,0,0.436230967918086,0,0.222669775523289,0,0,0,0,-0.216535012705373
DGB,0.68333074490351,0,0.11784396762915,-1.05790982839618,0,0,0.126335527879094,0.144264519748843,0,0.363522887644154,0.0976704183080686,0.391619940131327,0,0,-0.657826529982377,0,0,0.32998798350692
BV010082.INDEX,-0.151695458943802,0.0396174646026763,0,-0.110167513313072,0.053851836645028,0.0914083832679007,-0.0301249085171444,-0.0395278148930557,0,0.148711690655991,0.0334472365042729,-0.00819019964973011,-0.0701180516900515,0,0,0,0,-0.0163133614947532
CVIX.INDEX,0.121250933943079,0.163968463188681,0.139903249387169,0,0,0,0,-0.152058986037394,0.029968426582706,-0.0767537457192157,-0.0401186261847176,-0.068773787446239,0,0,0,0,0,0.0117481208061865
DXY.INDEX,-0.0470359007845844,0.00831428059900623,-0.0542711374087339,0.03873142437912,0.0323910830631575,0,0,-0.0201338955787068,0,0,0,0.00110230153872065,-0.00303878286784571,0.188907672590415,0.0421468122910586,0,0,-0.000991997405916846
SPX.INDEX,0,0,-0.0121392407774693,0,0.015912051145531,-0.0075275741797345,-0.00535777918477611,0.00110826959142478,0,0.000506405007955764,0.00782471905532979,0,-0.00538412470102126,0.0592182637388205,0,0,0,-0.0645899902394672
VIX.INDEX,0,-0.334979138131551,0.281918399623982,0.268057496248993,0.280710483077475,0.175139327995028,-0.523563255527323,-0.341547041902359,0,0,0,0.218989809517348,-0.0637244239663227,0,0.156935166825466,0,0,0
