,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.154955668047037,0.0801060658304689,0.187592014799342,0.222482069107757,0.123133345094182,0,0.0467887919272829,0,0.0575919706243349,-0.0729472466920277,-0.00248367587207329,0,0,0,0,0,0,0
ETH,0,0,0,0.20510490265098,0,0.0950019430834037,0.0315707631465842,0,0.170827554708401,0.192286513280793,-0.00581731739551847,0,0,0.0890154983510386,0.161301445814499,0,-0.44530497922836,0,0,0.117071035818708
BCH,0,0,0,0.179409148351373,-0.755122677151678,-0.512830463701431,0.98669061615548,0.31601673084315,-0.462263729467626,0.580374993387437,-0.0792408543893199,0.982395154168518,-1.39283528212415,0.477889536031762,0.0303578555698183,0,0,0,0,-0.238010201733874
XRP,0,0.531669732466157,0.0609351547455663,0,-0.0505356393015429,0,0,0.0899402956014424,-0.118349869831623,0,0.0661447214586727,-0.000488081097297436,0.222091040937768,0,0,0,0,0,0,0
LTC,0.244913691520622,0,0.0924753575378551,0.0419608593349808,0,-0.220828018080508,-0.0163939985156059,0,0.0400473763557006,0.167142129777923,0.0503932372673872,0.121565218276052,0.073506321583021,0.0686416679702316,0,0,0,0,0,0
DASH,0.228580482880463,0,0,0.0112593456811929,-0.199714978468607,0,0.0660091103622726,0.0125406600105489,0,0,0,0.417166015591507,0,0.195101012897046,0,0,0,0,0,0
XEM,0,0.128266141254233,0,0.168731485999592,0,0.461697501369684,0,-0.174633500706227,0,0,0.0791989981724814,-0.0980399848224189,0.276130085323383,0,0.0471928529734633,0,0.0881438437315967,0,0,0.0350119806351833
XMR,0,0,0.115031385661187,0.129692395177592,0,0.375421185388822,0,0,0.0320280803484102,0,0.113211312366076,0.0750894872408586,0.215103455382922,0,-0.116738642271806,0,0,0,0,-0.0284440877655116
MIOTA,0.662479685513214,0,-0.167624934915593,0,0,0.241748411141091,0.227718144461998,0.040808761923268,0,0,-0.0306930763907895,0.311317170667182,0.369684727667734,0.11196694906963,-0.220408596523979,0,0,0,0,0.121389598791363
ETC,0,0.40141992129006,0,0,0.510186285926423,0.132861625279303,0,0,0,0,-0.0151273834136021,0,-0.0155814196801405,0,0,0,0,0,0,0
NEO,0,-0.127334685895788,0.0374603187647745,0,0.16208254599611,-0.0717920459715501,0.188415031851764,0.0801392052411599,0.214260139137754,0,0,0,0,0.590859372582467,-0.167090006450963,0,0,0,0,-0.368567867732225
ZEC,0,0.0765228746889842,0.00421192186253252,0,0,0,0,0.106369291411467,0.222919392994531,0.0850293983773251,0,0,0.128070038162957,0,0.0299549565379302,0,0,0,0,0
XLM,0,0,0,0.578017939661373,-0.13103606159179,-0.110612001399983,0.138934812975691,0.25827116578967,0.0236517867701492,0,0,0.208023599411361,0,1.73472347597681e-18,0.171219042756438,0,0,0,0,0.0332611165568629
EOS,0,0.0478097843952466,0,0,0.484408369056331,0,0,0.176324716043218,0.256278670943585,8.67361737988404e-19,0.199448460728921,0.101891900289283,0.118511907991984,0,0,0,0,0,0,0
BAT,0,0.120461592474034,0,0,0,0,0.125646777253333,0,0.0310990993479886,0,0.144109570676718,0.216159019283511,0.286838683864047,0.0974750514235278,0,0,0,0,0,-0.181070868469949
BV010082.Index,0,0.0693061073689226,-0.0139096814226892,0,0.0629787641284925,0,0,0.00673728588859462,-0.0283256015549042,-0.0392963636197698,-0.00649657881548585,0.0474675310154499,-0.00648940491889617,-0.0247170355265273,0.0260254209088356,0,0,0,0,-0.0763023294277582
CVIX.Index,0.0612831229210674,-0.0890544601434025,-0.0380200493945303,0.162299396647991,0.104464320085364,0,0.0579992474333064,0,0.0235872017580518,0,0,-0.040943668308695,-0.103522060731772,-0.0681550275625571,0.0119383433752419,0,0,0,0,0.0878053811667374
DXY.Curncy,0.00873363405634367,0,0.00371210828863821,0,0.0115519169856772,0,-0.00246533644898419,0.00826436330901794,0.00173434095042102,0,0.00439466605797044,-0.0109458258286457,-0.00782145242739229,0,0.0026511415867851,0,0,0,0,0
SPX.Index,0,0,0,0.00484935491046061,-0.00158868656779041,-0.0126132128334459,-0.00218107582332832,-0.00881931597297035,0.00269591364864218,0,0.000212411893923042,0,-0.00101936722303409,0,0.00601335764317763,0,0,0,0,-0.0479153375963827
VIX.Index,-0.0584771097640721,0.369396468261088,0,-0.0626549769434542,0,-0.112756531856612,0.400000741992065,0,0,0,-0.0240692088339223,0,0.127249473297859,-0.478351901166827,0,0,1.90522575834357,0,0,0
