,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.154449770087044,0,0.339584462459784,0.152831357184703,0.217855559973364,0,0.0581636831899722,0,0.0485826754722598,-0.0848314538375139,-0.0171445211934325,-0.0637096249516504,0.0403012356329596,0,0,0,0,0
ETH,0,0,0,0.16669534246283,0,0.132344532447305,0.0400463466759628,0.0749832207296757,0.258473120095282,0.221924959827438,-0.0181735413323975,0.00756396161976361,0,0,0.121926560758327,0,-0.217664800420319,0,0,0.0370172038570425
BCH,-0.107772363781418,0,0,0.252455895700572,-0.760845321734111,0.93545649473367,0,0.243166912133513,-0.740961875779645,0.380720794894945,-0.0500769867112261,0.532703778402235,-1.14430968391258,0.73406178299522,0,0,0,0,0,-0.216849830850268
XRP,0,0.498104863369284,0.0611904697083114,0,-0.0351786182637088,0,0,0.10527188623145,-0.125664861890196,0,0.0774251133079541,-0.00436224856807421,0.215772731772292,0,0,0,0,0,0,0
LTC,0,0,0.0462550413821,0.0532268888059295,0,0,-0.00487803027874234,0,0.0197482487511566,0.143616784917444,0.0307582080075719,0.0142541163260522,0.0787866165062622,0.150627556891907,0,0,0,0,0,0.0369742858768614
XEM,0,0.0914189640025704,0,0.207175014887007,0,0,0.502671532939279,-0.189448687137285,0,0,0.071982730997696,-0.0971690247915066,0.270486807943662,0,0.0398195225824337,0,0.136993215822058,0,0,0.113946917728157
DASH,0.323136753632293,0,0.0342865236353799,0,-0.16874603758679,0.100686331212814,0,0.0691633256034763,0.125694550506209,0,0,0.321165671429214,0,0.126958086067249,0,0,0,0,0,0
XMR,0,0,0.0795791215451516,0.147929628140045,0,0,0.238942000704236,0,0.120599165085625,0,0.0549298468291964,0,0.18044642358892,0,0,0,0,0,0,0
MIOTA,0.653003454980035,0,-0.178804521615605,0,0,0.243275297037997,0.260258384324632,0.0330519580233869,0,0.007520963489932,-0.0245274434239145,0.296506446974573,0.376637546381374,0.118020641761344,-0.240462950505217,0,0,0,0,0.125829389447415
ETC,0.125401732627889,0.350009480487076,-0.0254216894426039,0.0291631969454074,0.416552727470361,0,0,0.145415275289516,0.00751332206954096,0,-0.0366225796148412,0,-0.147950619737745,0,0,0,0,0,0,0
NEO,0,0,-0.0110235106687433,0,0,0.0967222914993069,0,0.0294774415418559,0.175079380918915,0,0,0,0,0.556872438359326,-0.104807726007002,0,0,0,0,-0.25342163409521
ZEC,0,0.0334120264449779,0,0,0.0901540720311746,0,0.181944719008241,0.067595505218241,0.206808258944792,0.0522012682608277,0,0,0.0984913227594585,0,0.0176429314164511,0,0,0,0,0
XLM,0,0.258389387485855,-0.0060951352382221,0,0.0414888474661785,0.184576427065503,-0.127114345719725,0.409691025882465,0.111101895084749,0,-0.000681240845218318,0,0,0.055539063263036,0.17513257051555,0,0,0,0,0
EOS,0,0,0.0502068733759633,0.207254835673966,0,0,0,0.156357845797451,0.108731516340918,0.319528363231195,0.230933308405541,0.324079866919004,0.0353252450773106,0,0.0468224317037974,0,0,0,0,0.156091154535291
BAT,0,0.120461592474034,0,0,0,0.125646777253333,0,0,0.0310990993479886,0,0.144109570676718,0.216159019283511,0.286838683864048,0.0974750514235278,0,0,0,0,0,-0.181070868469949
BV010082.Index,0,0,-0.00851231109836831,0,0,0,0,0,0,0,0,0,0,0,0.0354297399660923,0,0,0,0,-0.0468091307921337
CVIX.Index,0.0154323239832592,-0.0700908197721916,-0.0232330182681206,0.143654234552389,0.10058911045814,0.0263038184929274,0,0,0.0506562506036418,0.0139828370829262,0.0191090221648357,-0.0839765111912924,-0.0643988563574228,-0.0743919291648244,0.020556643501226,0,0,0,0,0.084930942940165
DXY.Curncy,0.000791995875751549,0,0.00151884832992274,-0.00128727276095507,0.0104799755303867,0,0,0.0133317018719439,0.00791248128767929,0,0,-0.0198820418732027,-0.00875335114504601,0,0.00476785696442143,0,0,0,0,-0.000571739370479982
SPX.Index,0,0.00390421935332303,0.00236131101264157,0,0.0023288102317607,-0.0027280985291325,-0.0178709504633519,-0.00343340837649861,0.00386538785625922,-0.00910366041147684,0.00340050978648506,0,0.00363606177806816,0.0073722048489141,0,0,0,0,0,-0.051548993416986
VIX.Index,0,0.31648210249308,0.0584699596942914,0,-0.122800090206623,0.379090069578717,-0.231115087057473,0,0.0163331709971926,0,-0.0730922989805823,0,0,-0.356910421789774,0.0635628094828062,0,2.22198626772312,0,0,0
