,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.000136799730900079,0.143822084004014,0,0.505994860955632,0,0,0.0940352534899989,0,0,0,0.0499128370921605,0,0,0,0,0,0,0,0
INNBCL,0,0,17.3071799296853,0,0,0,0,0,-7.83056523529385,0.2118191067711,0,1.67269514313597,0,0,-13.7412423278867,0,1.47877525815123,0,18.6547732504489,1.80685224773853
ETH,0.118995221169163,0.00520329437396533,0,0,0.108780211771357,-0.0317543749891397,0.186145083306376,0.12308296511023,0,0.00113976156441445,0.133293922531823,0.0498811249885542,0,0.30709268255486,0.100040039395441,0,0,0,0,-0.0128275548520569
XRP,0,-0.00234094300863806,0.207518515291232,0,0,0,0.000107336702511361,0.0276190319121487,0.170267016933972,0,0.00713695784924911,0.0114129337050131,0,0.390144116846648,0,0,0,0,0,0.0250296583735423
BCH,0.288117067738198,0.000456734010737361,0.165141217543558,0.14864461263942,0,0.203013490908935,0.157962674704061,0.014395245112899,0.103638168489714,0.0363510004920917,-0.0000000000000000000542101086242752,0,0,0,0.00000000000000000346944695195361,0,0,0,0,0
BSV,0,-0.00402486700865073,0,0,0.496033971945903,0,0,0.267686042202698,0.348166697942568,-0.0279325632681934,0,0,0,0,0,0.0232518115174235,0.106658261040468,0,0,-0.0667014086506756
LTC,0,0.00151212616066354,0,0.162875152814325,0.212966134089968,0.119669000950736,0,0.491234512254048,0,-0.0370029272847488,-0.0370896029441066,0,0,0,0.0286004621249876,-0.0236290307537592,0.101978945509992,0,0,-0.0277561831492578
EOS,0,0.00652571379352797,0,0,0.721664668866671,0.027249912596207,0.126199522389267,0,0,0,0,0,0,0.0144194588854148,0.109033241379067,0,0,0,0,-0.0239508142331673
BNB,0.132267179506005,-0.00421639048720494,0.188117615602156,0,0.434504594244156,0.033748648973535,0,0,0,-0.0146560211986264,0.147229465714368,0.0127641885389324,0,0,0.000000000000000000433680868994202,-0.0801931962872906,0,0,0,0.00950513436950952
TAGZ5,0,-0.00869645390770433,0,0,0.277206945913302,0,0,0,-0.0238948913829474,0,-0.000000000000000000867361737988404,0.287647129961201,0,0.395377431709489,0,-0.0735744111218682,0,0,0,0.0730977738754182
XTZ,0,-0.00345761542568289,0.0986158616838079,0,0,0.157065375169318,0,0,0.20950565610972,0.11252340724784,0,0.468107898830881,0.197904046710606,0,0,0,-0.000000000000000000867361737988404,0,0,0.0077066219023837
LINK,0.400571372623945,-0.00213394078213352,0,0,0,0.148954372010888,0.300115263422242,0,0,0,0.279865003255651,0,0.103708425683554,0,0,-0.226074906098196,0,0,0,0
LEO,0,0.00208635467482368,0,0,-0.0416858501300766,0.0808822528676074,-0.333060641272032,0.0793654222464604,0,-0.0184629816434629,0.205288394096663,-0.0226748830253937,0,0,0,-0.00859463735663999,-0.000182281350644994,0,0,-0.0545693133777559
XLM,0,-0.00512863489843436,0,0.396623162279011,0.305256955446014,0.0535119265260149,0,0.0346433233831177,0,0,0.00831242786639965,0,0,0,0.0567138840070803,0,0.0252429284178751,0,0,-0.0017910005558676
XMR,0.301835003675831,-0.00558982463514571,0,0.0415751066889682,0,-0.0354169910567066,0,0.266278398820862,0,0,0,0.0980784598629678,0,0.338525685822078,0,-0.00184243904310573,-0.0155900213003315,0,0,0.0335074360756486
BV010082.INDEX,0,0.00322041621086092,0.210692696848355,0,0,0.208988976182174,0,-0.0826594220157546,-0.964141752466435,0.0880172338491779,-0.81278524889168,0.623671871618643,0,0.795239736805973,0,0,0.129052239800573,0,0,-0.0132811163285206
CVIX.INDEX,0,0.0123049073251212,0,-0.178541323363553,0,0,0,0,0,-0.400804681478891,0.00586267150271345,0.0898676325482361,0,0,0,0.264039101233758,0,0,-0.354673415996657,0.318428124712457
DXY.INDEX,0.0502542633246598,0.000677504017913654,0.0225103649995637,-0.127775880111165,0,0,0,0,0.0235779904202737,0.0221113324866276,0.041058625192377,-0.0295408768049003,0,0,0,0.00000000000000000010842021724855,-0.0115447180763414,0,-0.0514238315051047,-0.0259006056136022
SPX.INDEX,0,0.00147171644604858,0,0,0,-0.139535059273039,0,0,0,0,0,0.162694410144063,0,0,-0.0570996951384771,0.241861483497525,0,0,0,-0.206002071703782
VIX.INDEX,0,0.0180735319291401,0,0,0,0,0,-1.12154675828451,-0.323187475889072,0.310087358614979,0.746051311639167,0,0,0.343952182135378,-0.130046588848801,0.233063422514096,0.00100160066177955,0,-1.71976805546027,0
