,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XMR,XEM,ETC,MIOTA,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-4.33680868994202e-19,0,0.290216418017981,0,0.117302432121718,0,0.0233264055545493,0.125648274031419,-0.302948108312405,0.094696889808753,0.130377801316906,0,0,0,0,0,0,-0.163032717052712
ETH,0.0358136952789459,0,0.0108477217161471,0,0.167313752969891,0,0.0348782256190002,0.187884841359783,0.246238487915018,0.00024602943871285,0,0.0699066117472553,0,0.0337897874955067,-0.00849404765169684,0,0,0,0,0
BCH,0.562645693407263,0,0,-0.122653151191621,0,0.0191423180524899,0.159172163155186,0.353310228723872,0,0,0,0,0.0138887413909816,-0.208430963865643,0.0325378148304267,0,0,0,0,-0.289035656815003
XRP,-0.118019322382398,0.459423589732528,-0.059035230612163,0,0.0783560039560683,-0.0459481214611976,0.0612114737622745,0.38219673479573,0,0,0.00093755737957487,0.140401383349655,0,-0.0730121144341639,0,0,0,0,0,-0.161063229769821
LTC,0.0951984167989775,0,0.0317527878729409,0.44996789134108,0,0,0,0.101226620627539,0.292471677894794,0.196630901666294,0,0.0618128354261123,0,-0.0736602281024875,0.0191143186717842,0,0,0,0,0
DASH,0,0.0438257999698333,0.285414571720421,0,0.0129881990593116,0,-0.323483661178735,0.280099512416977,0,-0.122510016520871,0,-0.0603681010054177,0.623930630494606,-0.0503259637607329,0,0,0,0,0,0
NEO,-0.226196216358722,0.708511137737206,0.0195280219318088,-0.1075870499061,0,0.00593640242750843,0,0.090391209578834,0,0,0,0,0.153416950946356,0.0673186887446189,0.140110556017467,0,0,0,0,0
XMR,0,0,-0.00356985018615592,0,0.0907901517815952,0.0131597020042472,0.097524951209756,0,0.340131685344471,0.133025834037177,-0.118485683791205,0,0.206231067334663,0.137063860583745,0,0,0,0,0,0
XEM,0,0.787650810819158,-0.0419813497169299,-0.0802068087194255,0.181713911040371,0.0520788958878449,0.00492915582913588,0,0,0,0.0767156067226866,-0.0225429309949993,0,-0.0346250474851636,0.0820676421267375,0,0,0,0,0
ETC,0,0.546925236358066,0.362991187394071,0.162325483281185,0.300556295688335,-0.34813753604053,0.0885833150533468,0,0,0,0.0961936035697004,-0.0109274038008819,0,0,0.068058608610269,0,0,0,0,0
MIOTA,-0.142923716458063,0,-3.46944695195361e-18,0,-0.261064084353255,0.0615024868511596,0.0873738742687942,0,0.477663113605875,0,0,0.248944674213392,0.1963927993881,0.0649568374831977,0,0,0,0,0,0
EOS,0.278836474558147,0.441545479220956,0.00153057729325153,0,0.190354131824512,-0.15866654257712,0,-0.572474806888899,0,-0.0977151394563858,-0.0539302934787068,0,0.85958993781877,0,0.0409721919078228,0,0,0,0,0.166082028984993
ZEC,0,0,0,-0.159110335465444,0,0.231199948693768,-0.0210900147749258,0.347890816299787,0.0840111184969006,0,0,0.0718766831292757,0,0.00236759672811234,0.0515205176329501,0,0.153111773746734,0,0,0.0576667630596946
ADA,0,0,-0.334258479608772,-0.1432846569864,0,0.0219076785266844,0.266734867706146,-0.237370487257677,0.39529314945385,0,0.393714238521176,-0.0372625191748907,-0.164172657119868,0,-0.0860846024041365,1.1077994002639,2.50276529695239,0,0,0.267202094472593
XLM,0,0,0.302386136459066,0.717218450728499,0,0,0.456876136448841,0,0,0,0.251580622273249,0,0,0.292243429009709,0,0,0,0,0,-0.328425858028489
BV010082.Index,0.00195076236471781,0.0437808423694924,-0.000375834882753405,0,-0.0909267386933547,0,0,-0.0097158960015103,0.0379070539978378,5.42101086242752e-20,0,0.0403394012242716,-0.01678066542492,-0.0280831648282276,0,0,0,0,0,-0.00315073069992866
CVIX.Index,0,0,0.0379204251183706,-0.0880286209937135,0,-0.0674687323359866,0,0,0.0632201448320011,0,0,-4.33680868994202e-19,-0.0197842060952363,0.0414266255895529,0.0100092791971766,0,0,0,0,0.109675522172685
DXY.Curncy,0,0,-0.0071873956213325,-0.00695357755650956,0,-0.0249128255384353,-0.00318254028473357,0.0109108929600071,0,0,0.00849030711734513,-0.00467010224809774,0.015163310741086,-0.0180326486383108,0.000927498444316983,0.0644245989412746,0,0,0,0.0113182276675537
SPX.Index,-0.00190839356533298,0,-0.00337056124269719,0,0.00331462586630758,0.0113507234283432,0,-1.0842021724855e-19,0.00119599622612978,0.0038145305170626,0.0104157256179788,0.00462063049399296,-0.0335355784822824,0,0.00172112069324378,0,-0.00479449542250056,0,0,-0.0387136091347537
VIX.Index,0,0,-0.409277165222611,0,0.186858820757348,0,0.0937643736839569,0,-0.0752336076017967,0,0.333512227788563,-0.00204697768536712,0.0316216047579319,0,0.0582405379402796,0,0.490769629353586,0,0,0
