,BTC,XRP,ETH,EOS,XLM,LTC,BCH,BSV,TRX,ADA,XMR,MIOTA,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.102016951001686,0.138616971188037,0,-0.0616340840110486,0,0.127616818038791,0,0.28760301788131,0.0493782220737507,0.0973243118615084,0,0.0905932909800538,0,0,0,0,0
XRP,0,0,0,0.178031191338426,-1.73472347597681e-18,0,0.157058482556512,-0.0650995753717858,0,0,0,0.0190041640749205,0.0482054422972444,0,0.21779313267789,0,0,0,0,0.0857886492148644
ETH,0,0.15072017421881,0,0.0145293340601423,0.0427225883879142,0.0201259629291911,0.0934260582101759,0,0,0.0483789339786412,0.386512087768605,0,0.0907606648674807,0.105074444460261,0,0,0,0,0,0
EOS,0,0.262519694084161,0.235129146979437,0,0.231979462768277,0.296541975629937,0.0691224548043448,-0.00544414723608377,-0.39560313745155,0,0,0,0.041283294116498,0.450440388905297,-0.32596674051848,0,0,0,0,0.063178361009397
XLM,0.462715560961106,0.443608490195833,0,0.00306533168750822,0,0,0.128498086795643,-0.0194080281655886,0.0562112688183405,0.102066352654798,0.121742031317539,0.0536876301600203,0,0,-0.0352687514582212,0,0,0,0,0.0329561012708226
LTC,0,0.137366083353892,0,0.1945732150434,0,0,0.134298465835922,0.0324248671878051,0,0,0,0.240334224577088,0.204489076586362,0,0,0.130395127580218,-0.0483248240043229,0,0,-0.0723396984440651
BCH,0,0.814018683544836,0.978355899701005,0.0793924642699853,0,0,0,0.185518396441223,0,0.515249691676163,-1.05047102058319,0,0.335061952645566,-0.318571268404752,0,0,0,0,0,-0.199571185509634
BSV,2.72640669859925,0,0,0,-4.31279217718061,-1.4130961636865,1.40792825628056,0,0,0.388109697993253,-1.47497853913482,0.416822764215233,0.471803601438716,2.13737151938186,0.0979291812123648,0,0,0,0,-0.76001995124399
TRX,0.154812625240461,0,0,-0.0255854746814015,0,0,-0.118639109945134,0.00413277655965138,0,0.337253274648525,0,0.23473492390142,0.376236307933227,0,0.0252079313300963,0,0,0,0,0
ADA,0,0,0,0.294303400842584,0,0,0.157021398238925,-0.0167101909531185,0.306097563752136,0,0.184448334141868,1.73472347597681e-18,0,0.0143549785854334,0,0,0,0,0,0.0135966455404721
XMR,0.251324561073477,0,0.416555120809573,0,-1.38777878078145e-17,0,0,0,0.0776045850463846,0.0763731893379193,0,0.0399187624551467,0.0869146078061683,0.117146078902393,0.0709305852857426,0,0,0,0,-0.0362967712966506
MIOTA,0,-0.152854402358265,0,0,0.367387294272245,0,0.143373320205058,0.0569924208838421,0,0,0.0708595965525038,0,0,0,0.411436668049692,0,0.195951284752789,0,0,0.045912546697158
BNB,0,0,0,0,0.402737284478212,0.184591928647159,0.0424794753198393,-0.0154240845802457,0,0,0,0,0,0.422273936584926,0,0,-0.696163501181264,0,0,0
DASH,0,0.180421629842071,0,0,0.241478572569583,0,-0.0763703400554952,0.00782216536897628,-0.264496226007341,0,0.645140669386447,0.225751519301118,0.14546846041033,0,0.136812169620203,0,0.272570570622049,0,0,0.0852260040733279
XEM,0.0933735595463246,0.0540032161362399,0,0,0.380222529698057,0,0.16944114201167,0.00650785168279403,0.0301989983197873,0.0729616192423186,-1.73472347597681e-18,-6.93889390390723e-18,0,-0.0398619993190199,0,0.527425731965811,0,0,0,0.0201660615763391
BV010082.Index,-0.227590430512165,-0.211508886647759,0.0659584343601115,0.0387531689763428,-0.0683681879588188,0.117355516533366,-0.0600800115228076,0.00868759568088997,-0.0264666140480921,0,0,0.0416818527218729,0.175497814345378,0,0.0838783015894423,0,0,0.137190732106898,0.222791340733102,-0.0554478912716196
CVIX.Index,0,0,0,0,0,-0.0820237904463715,-0.0363018757635163,0.0499883185165454,-0.0854951795720872,0.217077522643596,-0.180613670716249,0.117298407258168,0.0616299696956991,0,0.0661901271051522,-0.337065718481738,0,0,0.775904039399065,0.174990331139196
DXY.Curncy,0,0.0250009054959839,0.0245742881860407,0,-0.069606924738204,0,-0.0268363165721462,0.0122597635782749,0.00244262181959223,0.0762817519888928,0,-0.00883742668865066,0.00501141906051675,-0.003775009243805,0,0.0656439059939755,0.0197783281684364,0,0,0.0120427627702088
SPX.Index,0,0,0,-0.0542993000824341,0.0144765745467195,0,0,0.01143671894697,0,0,0,0,0,0,0.0435338953932832,0.0796534798674811,0.0196450780494946,0,0,-0.126461055237968
VIX.Index,-0.481661612198443,0.533243425514899,0,0,-0.322484984022239,0,0,0,0,-0.283477506791481,-0.0468041351479911,0,0,0.345355241850979,0.195981666612199,0,0.952346094792293,0,-3.47549350837252,0
