,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0890743122723145,0,0.255753798671689,0.110944718102165,-0.0615733511237889,0.140047754218022,0.00838107376265236,0.0809109675996338,0.0827406786573385,0,-3.46944695195361e-18,0,0,0.0681744372009105,0,0,0,0,-0.0551435238810275
ETH,0,0,0,0,0.287308034765696,0.108473594119948,0.155315735244643,0.0218621650367078,0.111140622704969,0,0,0,0,0.218454378322936,0.0361776551021758,0,0.39723420709935,0,0,-0.0125322732366552
XRP,0,-0.671131039200528,0,-0.021663624122176,0,0.274731581386397,-0.0465396792109445,0.0517789295492788,0,0.733846303506247,0.0722460123776905,0.0501604391723242,0.143682674148181,0.329890314658167,0.0792702692325436,0,0,0,0,-0.00542947954820208
BCH,0,0,0,0,0.349811883802563,0,0.250973588725986,0,0,0.0779800734474634,0,0.154234834314429,0,0.107808216124559,0.000898713476790932,0,0,0,0,0
LTC,0.157379496183623,0.0466591104916523,0,0.13654832436435,0,0,-0.00876218758045233,0,0.0821204281632256,0.142978165000151,0.115142248768327,-0.00905576202480746,-0.0242641323114329,0.0960005925904184,0.00479775986801596,0,0,0,0,0
ADA,0,0,0.0678631053280353,0.0156430042406385,0,0,0.0237544072625441,0.0969040729331128,0,0,0.261261432880209,0.21995336110292,0.174054857491249,0,0.00258995831107976,0,0,0,0,0
NEO,0,0.239345334522476,0,0.172013600380681,0,0.0131852921993115,0,0.0770160387247978,0,0.0568983491310787,0,0,0.15235134565319,0.196526638340946,0,0,0,0,0,0
XLM,0,0.0139218274538272,3.46944695195361e-18,0.163692275357117,0,0.603264005454529,0.218814050503183,0,-0.0186892775533826,0,0.342192122798655,0,0.0627138241858799,-0.0791941257027555,-0.173045055595819,0,0,0,0,0.0186234567513208
EOS,0.106449637064574,0,0.0685084195460195,0.140629716337928,0,0,-0.339090677478457,0,0,0,-0.0450777826633298,0.427994770296479,0.170364442220714,0.285924374727717,0.113943362337344,0,0,0,0,-0.0356694176987482
DASH,0,0.0157519581386972,0.0341490429162765,0.146718748876292,0.196116311201033,0.0761424579284057,-0.0672624293568706,0,0,0,0.192698873185137,0.32750971285982,-0.103809447989655,0.08057379526738,0.0313547401765559,0,0.408184828410206,0,0,1.38777878078145e-17
MIOTA,-0.0425543677074778,-0.196385543439237,0,0.22618858632331,3.46944695195361e-18,0.241441076411515,0,-0.14024451346747,0.211550142069462,0.206120276526231,0,0.0297597375957737,0.185905961311058,0.162594777258386,0,0,0,0,0,0.00837922448240494
XMR,0,0,0,0.145624828349435,0.303123675327774,0.00646983474755878,0,0.0834251300162157,0.0618034082875202,0,0.0298670148588853,0,0,0.110494257143041,0.0712996726431336,0,0,0,0,0
XEM,0.30780622876877,-0.064602609096707,0,0,0.198188709349434,0,0.233608383837319,0.273011313220238,0.048493417570607,0,0,0,0,0,0.0671906271321021,0,0,0,0,0.0556371528725852
ETC,0,0.661581939178644,0.29593286637498,0.111954839798452,-0.109562303817649,0,0,-0.239887502024633,0.0924171788929024,0,0.277046584135963,0,0.0523362556855215,0,0.00779626053290944,0,0,0,0,0
TRX,0.908411582776972,0,0.167414549521937,0.0881954992688305,-1.14705763756793,0.203594065241583,-0.515503690051344,0,0.123416118985255,0,0.681480737761483,0.219963746340741,-0.779727732966663,0.658525392359168,0,0,0,0,0,0.232818744343573
BV010082.Index,-0.028592696913152,-0.0830836582529977,0,0,0.0297090557737968,0,-0.00647798490459294,-1.73472347597681e-18,0,0,0.0412930244683969,0.0585454935543461,-0.0363695456050487,-0.011230727725471,0.0119010500566152,0,0,0,0,-0.0287847164179957
CVIX.Index,0.0752303386720254,0,0,0,-0.0463975418745133,0.063890215239383,0,0,0,0,0,-0.0321024037207108,0.0256791988309633,-0.0496460362645087,-0.0333448014338734,0,0,0,0,0.0594987957053829
DXY.Curncy,-0.00779035433389354,0.0197552867021264,0.0152242921672063,0,0,-0.00442756729882359,0,-0.0170757395343892,-0.0224255662019986,0,0,0.00353609269542197,0.0107583316374476,-0.00330477079055555,-0.00639245777256957,-0.0751816761562573,-0.0675068331965742,0,0,0
SPX.Index,0,0,-0.025265916657942,0,0,0,0.0357379707113676,0.0410152670843565,0.0238470563196545,0.0294607379110569,-0.0323032082703174,0.0179447968443987,-0.0142396875555477,-0.0418804262946404,-0.0316071722951897,0,0,0,0,-0.0808951817800842
VIX.Index,-0.486988259020083,0,0,0.214395162415055,0,0,0.173586529775572,0.0048732637047433,0.233830962638007,0,-0.734325021693809,0.0183846256546124,0,0.348130608055844,0.0691976651315038,-1.85726553484275,0.558126141832951,0,-4.34119279654385,0
