,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.103216373568861,-0.0693901755092547,0.199924403291469,-0.102827981871743,0.0751679731883646,-0.0743754408353935,0.0962275653441616,0.137261532212864,0.0540131896165089,0.0936490217420433,-0.0112314180191643,0.0830483371930313,0,0.0616283548376414,0,0,0,0,0.183416467986306
ETH,0,0,0,0,0.228153135821292,0.0767580458618381,0,0.116975290347934,0,0,0.109194812222307,-0.0575464902692955,0.141663054811033,0.0249747231975223,0.0246092780057152,0,0,0,0,0.0705515357702419
XRP,-0.165447997800437,-0.146648775445846,0,0.20653923261455,-0.327409516190521,0.366501000743808,0,0,0.0479297115935117,0.0435773691142616,0.122135866781171,-0.0625781398299285,0.0279786529657785,0.3983589105035,-0.010171883932707,0,0,0,0,0
LTC,0.400324120972209,0,-0.153871331479683,0,0,-0.0979679927444995,0.148395802802444,0,0.267686880587454,0,-0.100690839642166,0.22865062649436,0.0772492612193374,-0.187942067169371,0.0498452670491819,0,0,0,0,0.0959831096773543
ETC,0,0.199248659737315,-0.170040315721916,0.176709012436067,0,0.0992024953778643,0.0367416566917966,0,0.0438710535116216,0,0,0.0378240447753069,0,0.115053780105015,-0.0433624549015398,0,0,0,0,0
DASH,0,0.236761301174068,0.157276464042385,0.0280936218353018,0.0919172260304471,0,0,0,0.345572771907975,0,0,0.0451341122501984,0.0021350670545113,0,-0.0138013122279556,0,0,0,0,0
XEM,0,0.213267267060824,0.110700458795618,0.314448010922555,0,-0.0483263939926862,0,-0.138662381014748,-6.93889390390723e-18,0.130257460920986,-0.117193841220067,0,0.239059557473682,0.221301304198396,-0.039138806370863,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0.263609379576401,0.11468872765794,0,0.218623915354908,0.0691384369974605,0,0,0,0,0
XMR,0,0,0,0.252705169461654,-0.120842557898566,0.48826604515906,-1.73472347597681e-18,0,0,0,0,-0.174203716986062,0.0731686275140123,0.247203858167367,0.012159402550545,0,0,0,0,0
EOS,0.652629828682235,0.0330794240941049,0.0141098003222331,-0.545691735774902,0,-0.20146208635783,0.198360968970991,0,0.0396633539279164,0,0.169512645618118,0.156699857232302,2.16840434497101e-19,0.247447874185124,0.0286627111598551,0,0,0,0,0
ZEC,0,0.33158198823527,0.024679987479261,-0.0314636661443106,0,0,0,0,0.306062513319364,0.0280834346200797,0,0.0577282301302366,0.155988030034915,0,0,0,0,0,0,-0.0177964519010414
NEO,-1.23379040629818,0.759041343073299,0,0.54831400299754,0,0.705730250563267,0.705114915348563,-0.624246691683661,0,0.0268057604413729,0.491209773640636,0,-0.423627544376822,0,0.356028020589325,0,-2.84758870066689,0,0,0
DOGE,0.332209931463469,-0.0263300781961225,-0.0221384134095737,0,0.146241950108275,0,0.328369295534064,0,-0.0172730550367486,-0.0442381823253666,0.329092765373262,0.0306293709089186,0,0.164562658751118,0.0387095258837491,0,0.0786228008357806,0,0,0
XLM,0,0,0.0859510503883232,-0.712863425299918,0,0.28981206554852,-0.0852635601343738,0.0666910349022837,0.828632813769173,0.21941602393102,-0.471178861244064,0.151908270149199,0.547198560732786,0,-0.0710033257890203,0,0,0,0,0
DGB,0,0.161580918438795,0.334580443375336,0,-0.111933963410067,-0.193559223608839,-0.360262071759106,0,0.125699926644274,0.243749815759839,-0.998452649698678,0.146884640324353,0.95361082648397,0.580288593154857,0,0,1.34412670679927,0,0,0
BV010082.Index,0,0,-0.0233966663665799,-0.00492289708499388,-0.0202018192796877,-0.00091690412032277,-0.019857320295748,-0.00914723374716296,0,-0.0205584624400539,0.0536399761931741,0.00624792535842907,-0.00877398145528408,0.0904806762307495,0.00748419122407895,0,0.231361486909828,0.80773696737797,0,-0.0453052681691286
CVIX.Index,0,0,-4.33680868994202e-19,-0.0750508576983288,0,0.0164220986432264,0.118764664025195,-0.0991869437551964,0.0844228969263743,0.0199200642205653,-0.133419023177348,0.0488078215411492,0.0645146640633329,0.0567942566784673,-0.0318688551901432,0,0,0,0,0
DXY.Curncy,0,0,0.00671879287664505,-0.0106900064676689,0.0242209795703701,0,0.0105008864484026,0.00241345016326872,-0.0111305195394243,0.00272979952999641,0.00756706698766892,-0.00622754094315208,-0.0158369129883282,-0.00133645228592482,-0.00155755898681183,0,-0.0139399308376469,0,0,-0.0137047718772857
SPX.Index,0,0,0.0052136621271624,0,0.00621455199935905,0,0,0,0,0,0.00518728924102052,-0.00361059123601064,0,-0.000127808689641736,0,0,0,0,0,-0.0479472869073445
VIX.Index,0,0.0615754180968977,0.182110121566221,-0.225284021273459,0.38933013610885,0.0169984021694222,0.383709079923022,0,0.100785600889703,0.052576144365759,-0.257921500097779,-0.147254029916506,-0.0540356146963462,-0.077475705876483,-0.16847649824535,0,0.191007757139657,0,-1.10266968192236,0
