,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0511407520081844,-0.0136542842035701,0,0.21950783145764,-0.0151102200363816,0,0,0.0297712744481668,0.0360779917285661,-0.0625035689886463,0,0.0586302109112737,0.0572650072391233,0,-0.0508695084722297,0,0,0,0
ETH,0,0,0,0.0789870497773054,0.144925550047328,0,0.226299793720281,0.236727888062026,0,0.0728674165645258,0,0,0,0.290192672145212,0,0,0,0,0,0
XRP,0,0,0,0,0.848899174870511,0,0,0.454089231546363,-0.0859478142900383,8.67361737988404e-19,0.252146147562844,0.194183291522833,-0.523089082643497,0,0,0,0,0,0,0
BCH,0,0.083275856372797,0,0,0.242062304116052,-0.0502502992199651,0,0.361822041435068,0.17747614946332,0,0,0.230178149609166,0,0,0,0,0,0,0,0.07631237096681
EOS,0.126574918415927,0.443316764584827,-0.0448394951388415,0.0665009200933619,0,0.0636783264189668,0,0,0,0.0970841798237975,0,0,0,0.276997883027311,0,0,0,0,0,0
XLM,0,0.11186346369957,0.182469122058435,0,0.0694539024367057,0,-0.0456399022673387,0.096920325992024,0,0.0513051594711304,0.13082610656872,0.0614441403104429,0,0.148023987644085,0,0,0,0,0,0.00387104605064546
LTC,0,0.204039636933873,-0.0274081843355825,0.157303041695753,0,0.0996230203935048,0,0,0.0356556978567222,0.0793640412507317,0.113491077558532,0.0805419910849109,0,0.127912577428457,0.0203867582267919,0,0,0,0,0
ADA,0,0.204026703673684,0.132721034818614,0.138273726771049,0,0.241158637705375,0,0,0,0.0310395077085778,0,0,0,0,0.325114139194469,0,0,0,0,0.0814125844090159
XMR,0,0.165974250625454,-0.0409235701037937,0.0976853664769627,0.146308462475152,0.0854649795658378,0.186702244547238,-0.221883537132923,0,0,0,0.29842742698567,0.177964939883946,0,0,0,0,0,0,-3.46944695195361e-18
TRX,0,0.114231752771701,8.67361737988404e-19,0,0,0,0,0.424838457887886,0,0,0,0,0.457068379188334,0,0,0,0,0,0,-0.0746992535169755
DASH,0,0.347840043405883,0,0.0133079056458729,0,-0.0400221551575853,0,0.312188736961888,0,0,0,0,0,0,0,0,0,0,0,0.0026105593063224
MIOTA,0,0,0.0191055638484345,0.0216235239671596,0,0,0.450655222751267,0,0,0.050792476574416,0,0,0,0.488332701169489,0,0,0,0,0,-0.0623628809505412
BNB,0,0.243649311491209,0.034602925545037,0.0306754646594211,6.93889390390723e-18,0,0.217918729475197,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409227541210947
NEO,0,0,-0.118998439186792,0,0.0171574071135933,0,0.126968607029921,0.494314800833441,0.0926645779539895,0,0,0.288730005841735,0,0,0.0867808025957711,0,0,0,0,0
ETC,0,0.139038335974021,-0.102592081103255,0.0286365837261475,0,0,0,0.446213894917812,0.227474872602244,-0.0150246848080687,0,0,0.179972223917313,0,0,0,0,0,0,-0.0365207243824132
BV010082.Index,0,0,0.0698238033183294,-0.0504643944564746,0,0,0.00943397450733326,0,0.0465942077666613,0,0,-0.0773282724395284,0.112539096243166,-0.155237433138117,0,0,0,0,0.76122047580586,-0.000617057410392657
CVIX.Index,0,-0.00850180777775878,0.116975050729218,-0.0277986375253369,0.000637705919994385,-0.363135935712649,-0.40122636205579,0.105992228435988,-0.0277447879878655,-0.105374546878439,0.117405539360118,0.365562195407022,0.235596006816867,0,0.094769518496432,-0.508179651492245,0,0,0.819682934945476,0.0986402867360283
DXY.Curncy,0,0,0,-0.0246974528321825,0.0480725259588609,-0.0430230415532844,-0.00279379420743472,0,0,-0.0187963363780138,0.00538434021990963,0,0.0157213485901027,0,0.00495189882498858,0.109041077512297,0.0980924063086114,0,0,0.00241552634330436
SPX.Index,0,-0.0921780205238317,-0.0398621434599912,-0.0475260364668194,0,0,0,0.0508752631504928,0,-0.0043409704515862,-8.67361737988404e-19,0.152441003564007,0,0,0,0.151760291890866,0,0,0,-0.108675915804474
VIX.Index,0,0,-0.192938411935157,0.382144842989733,0,0,0,0.00962245269112204,0,0,0,1.37638759825818,0.329452886640625,-1.77525145911568,0.352131208429777,1.31848327473873,0.581184201421006,0,-5.35160043315776,0
