,BTC,ETH,XRP,BCH,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.207524368595004,0,0,0.169095725482474,0.119719733398666,0,0,0.0474875384210145,-0.112884963200179,0.0431258503355411,0,0.0135748201837114,0,0.126199401037092,0,0,0,0,-0.095687467378218
ETH,0.305421714363393,0,0.13746095254653,0,0.0828233906866507,0.056431584637567,0.0169230519685801,0,0.107907174929149,0.180570735157116,0.0531971595565032,0.0687169048632397,0,1.73472347597681e-18,0,0,0,0,0,0
XRP,-0.197887975403418,0.561141322012685,0,-0.0756826425349048,0.0443762584345081,0,0,-0.128899227559323,0.5428725289789,0,0,-0.0236000120575692,0,0.0348447614006142,0.138994993715367,0,0,0,0,-0.0269942921704
BCH,0,0,0,0,0,-0.469038305045359,0.06270793054757,0.0836759409387204,0.49002873458489,0,0.455188702418548,-0.0188961891492806,-0.191677113172866,0.0370360943354901,0.254974970086392,0,0.629256110771912,0,0,0
LTC,0,0,0.350368371417836,-0.118257617060655,0,0,0,0.187123792530139,0,0,0.615850689309178,-0.0503345467287155,0,0,-0.00387808724410753,0,0,0,0,0
DASH,0.0154821482273332,0.151435014139254,0.0899889741792967,0.153407114772389,0.201704324258154,0,-0.0263974427741872,0.0935860899269173,0.150502427670956,8.67361737988404e-19,-0.187002166093155,0,0,0.012458148210624,0.15179196384741,0,0,0,0,0.187276265218723
NEO,0,0.307143116380038,0.100516159858243,0.188952993981176,0,0,0,-0.100580073105887,0.511173871533371,-0.029100587254964,-0.12874224035701,0.0571399348444586,0.439547812105307,0.176848419148649,1.73472347597681e-18,0.59302027519287,0,0,0,-0.34757000508877
XEM,0,0.425767021961815,-0.118118763268771,0.216276234261637,0.120736243463842,0.0503431996592867,0.032950976956346,0,0.263927729821879,0.0696234286231662,-0.0723824928530725,-0.0405508297678632,0,0.0277626353399802,0.111804648078362,0,0,0,0,0
XMR,0,0,0.33461676048691,0.083158404821249,0,0,0.11706545719049,0.0237030067430076,0,3.46944695195361e-18,0.130450856452303,0.194184879796006,0.176797046753505,0.05926751892492,0.0401952374093288,0,0,0,0,0
MIOTA,0,0,0,0.0816672728491483,-0.340352758069199,0,-0.177007663072181,0.284620682379831,0,0,0.285900230702303,0,0.173071432944703,0.0607540230815843,0.44947819817032,0,0,0,0,0.105702019490835
ETC,0,0.572835741590465,0.0542123903694123,0,0.605295635624831,0,0.0231199303147834,-0.192858529497176,0,0.0869457239065802,0,0,0,0.0957544567927272,0,0,-0.163320960339606,0,0,0
ADA,1.04824994111654,-0.667075047260159,-0.00658854206129976,0.0553028075318124,0,0,0.0372950976170748,0.441950156164369,-0.377239824564621,0.114416891389143,-0.291196893660558,0,-0.136405958891725,-0.139990460569076,0.278463204469087,0,1.43308311299346,0,0,0
ZEC,0,0.344861671932472,0,0.119691672120462,0.13061161737785,0.355721515255217,-0.098267354821475,0.0566520783452744,0.00428598252319737,0.0464565983088462,0,0,0,0.0893439835774124,0.119171016554386,0,0.227885740284499,0,0,0.101794004610563
XLM,0,0,0.311789079544245,0.198009799238902,0,0,0.171160697919852,0,0,0.817236194713886,0,0,0,0,0,0,0,0,0,-0.122742141163041
EOS,0.153199927101839,0.369154835801576,0,0,0,0.146700410763056,0.209284855112664,-0.382796785541456,0.282964432356828,0.252006671282348,0.168133546061556,-0.191362256656548,0.186023735624903,0.103605300934918,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0275747665900724,0,-0.058037300815734,0.0382161341917648,0,-0.0686996410484544,0.0158758526944395,0.0301254995927365,-0.00365529621731057,-0.0148800001728917,0.00633736364715807,0.0355450593799284,0,0,0,0,-0.0679280164483339
CVIX.Index,0,0,0,0.0951379233954783,0,-0.154514221357256,-0.0204260442001579,0.151537457204531,0,-0.00819766545258864,-0.0694340479865609,0,0,-0.000228946365610993,-0.0309608456252803,0,0,0,0,0.047328528558489
DXY.Curncy,0,0,0,0.0122129890737434,0,-0.047222798366381,0.00647918096228277,-0.00256598592279513,0.000505653687358226,8.67361737988404e-19,0,-5.42101086242752e-20,0.0155011484954713,0.00276532949861767,0,0,-0.0110161082355789,0,0,-0.00730337791524612
SPX.Index,0,0,0,0,0,0,0.000139876787671034,0.00729666942624935,0,0.00800318884988167,0,0,-0.0210266227609615,0.000786021469045756,0,0,0,0,0,-0.0345861981185399
VIX.Index,0,0.160890662828185,0.0214450034084611,-0.182796609267456,0.33013269227394,-0.0872192665216781,0,-0.0890147815413912,0,0.141639659429564,-0.33159233447908,0.0699697019598484,0.483221468857537,0.0708321142470044,-0.42759479696539,0,0.552561368686419,0,0,0
