,BTC,ETH,BCH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0615764994278606,-0.164887847809112,-0.0852439376724144,0.129852971292474,0.358551805976294,0,-0.0238954297035224,0,0.0324553477812392,0.019562731057886,0.0782962701098244,0,-0.1318538250327,0.267186116980317,0,0,0,0,0.0853618902575829
ETH,0,0,0,0.0221694569495981,-0.0554005906559685,0,0.344496144428918,-8.67361737988404e-19,0.140284739247143,0,0.092267876045374,-0.0377825273626163,0.184642155737612,0,0.292642850944358,0,0,0,0,0.0039924762601397
BCH,-0.332640057550297,0,0,0,-1.10621539002344,0.406782059994326,0.364021321761633,0.21530436456743,-0.26065576933064,0,0.109129165274372,0.109591995585345,0.0124331148724823,0,0,0,0,0,0,0
XRP,0,0,-0.149777275935831,0,0.00542836426197288,0.360047866181064,0.00694751129643701,0.176630321365715,0.0901298199497988,0,0.0302577058568338,-0.0458507305333304,0,0.262083567546771,0,0,0,0,0,0.352692386238059
LTC,0.335443614745274,-0.0525139242607425,0,0,0,0,0.209608361120526,-0.141035366881553,-0.0399823710173031,0,0.00978476489915212,0.129717244573876,0.121208324062515,0,0.182704027859311,0,0,0,0,0
XEM,0.309593975750406,0,0,0.274756314034249,0.201728686957035,0,0,-0.00191546330795297,-0.0525646047060673,0.25238100310297,0.11517358961162,0,-0.0955949316453955,0,0,0,0,0,0,0
ETC,0,0.211978992935362,0,0.0564781289495973,0.323744421454077,0.0138457843855783,0,0.175869907757797,0,0.142233383393159,0.0176076551273225,-0.0352974853808919,0,-0.222359610114024,-0.0266551115342973,0,0,0,0,0
DASH,0.0899389638117818,0.0794971658458721,0,0,0,0.162143461113074,0.202824934000348,0,0,0.175014445431023,0,0.0519714504849874,0,0,0.0455702595124493,0,0,0,0,0.13956527743352
MIOTA,0.347186257794234,0,0,0,0,0,0.294667251444228,0.147083392064338,0,0,0.0472985263808238,0,0.369341210319226,0.251394532362661,0.210882177224361,0,0,0,0,-0.0560539872323751
XMR,0,0,0,0,0.0778422034726956,0.147097587650269,0,0.457520600250387,0,0,0,-0.00620769305006437,0,0.234856301886588,0,0,0,0,0,0
EOS,0,0.534028196191212,-0.0785145047297556,-1.73472347597681e-18,-0.612257385462752,0.482020459531079,0.205187330181771,-0.0592200222711989,0,0,0,0.173254595516009,0.0192502154736854,0.0894863513280323,0,0,0,0,0,-0.0562635890219863
NEO,-0.675002631532907,0.143772926460248,0,-1.80602335124905,0.0505261215589307,0.818316673938222,0,0.731236056625904,0,0,0.0813349038394856,0,0.628859064191,0,0,0,-2.90554823654174,0,0,0
ZEC,0,0.21969420867752,0,0,0,0,0,0,0.0786884286870753,0,0.0320028224855617,0.0714634441785563,0,0.217709339282601,0.112338806481186,0,0,0,0,0
XLM,-0.27484563032064,-0.00223587092134789,0.0675965499888249,0.206357459151047,0.0380888074057653,0.226813875639693,0,0,-2.16840434497101e-19,0.640207750192126,0.0535847063173282,0.0366110963611891,0.26841117043533,0,0.0202670541618563,0,0,0,0,0
DOGE,0,0.0477450686862564,0,0.199474069058559,0.0643361864343883,0.316630415423589,0,0,0.0879148520651094,0.176978308502781,-0.0559675867420419,0.0198505128193425,0,0,0,0,0,0,0,0
BV010082.Index,-0.0906769649216868,0,0,0,0.0409510085136996,-0.0610930109455984,-0.0296520094981773,0.0310829082702386,0.0131006968018353,0.0329500200106292,0,-0.0112264270939825,0.0294700096064472,0,0.0293533834961667,0,0,0,0,0.081611606791892
CVIX.Index,-0.115033230396886,0,0,0.108992575293399,0.00575639141037117,0,0.0511909238716626,-0.108266439225256,0.0415003929512032,0.064242069452763,0.0290157201038792,-0.0099401371443115,-0.104988288361915,-0.057471368614725,0.067636827316505,0,0,0,0,0
DXY.Curncy,0.0348318852312207,0,0.0139441005507588,0.0177802904444719,0.000815373259352016,-0.00826421542959248,0,0.024963093743287,0,0,0.000120914217729472,-0.00884820005967721,0.000511010786577589,-0.00758536840886344,-0.0368091031514992,0,-0.0685176758870391,0,0,-0.0312034432771233
SPX.Index,0,0.00499944059353,0,0.00715783640182446,0,0,-0.00341524328872961,0.00627047366585185,-0.0056517321625713,0,0.00190827504990177,-0.00237948429762655,0.00722741660220262,-0.00963903681228289,0.00890074528794431,0,0,0,0,-0.0628838309215676
VIX.Index,0.248202760570575,0.321152497436553,0,0.165078478444003,-0.386169910590235,0,0.137245130030905,0,-0.191861382514561,0.0885209085410106,0.0593719550158183,0,0,-0.147560992071968,0.0103670341824238,0,0,0,0,0
