,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0378202475789981,0.145486951808136,0.161375654812432,0.0168842472008598,0,0,0.0581097259555396,0.0811128824314844,0,0.0546631819613256,0.168129217750203,0,0,0,0,0,0,0.0663116946335667
ETH,0,0,0.141377235673845,0.22912746142152,0.216583914439177,-0.0291212034194483,0.0983332655216097,0,0,-0.043203536580228,0,0.0552039977865398,0.0486820188374601,0,0.0812776811899648,-0.249713623388,0,0,0,0.00000000000000000173472347597681
XRP,0,0.270528184809746,0,0,0.0268452084971719,0.14074609210922,0,0,0.128165118731148,0,-0.000000000000000000216840434497101,0,0,0.149753797347,0.024257389647071,0,0,0,0,-0.044451572384728
BCH,0.236642182186126,0.653347294194502,-0.119197494964881,0,0.153416967689921,-0.0190142971534338,-0.15153534749749,0,0.0246742530708909,0,0.0392231933157027,0,0,0,0.194178797181435,0,0,0,0,-0.0349765396000887
LTC,0,0.40136307201015,0.0322693835484458,0.181040233796077,0,0,0,0.0558878345557354,0.0213026277376567,0.15602518559153,0,0,0,0.0715627198547327,0,0,0,0,0,0
EOS,0,0.535179444684801,0.155632024531355,0,0,0,0,0,0.18239944628135,0,0.108095371060895,-0.0190538147095809,0,0,0.17513758254267,0,-0.198364693555982,0,0,-0.047584346835194
ADA,0,0.52542066713307,0,-0.0558845954628498,-0.0194507621402908,0.423076383047929,0,0,0.0232343026286917,0.152737612623978,0.12021945969966,-0.168146161334499,0,0.130815801789518,0,0,0,0,0,-0.0116906721983818
XLM,0,0,0,0.096053525108301,0,0,0.1847126154323,0,0.191680009277878,0.222638524720593,0.000646621595549697,0.0560458624317105,0.033336155060162,0.117744564288729,0.0936833787413546,0,0,0,0,0
NEO,0,0.241788268315113,0,0,0.120900383292869,0.0557794498219059,0,0.28438136050393,0,0.0833660700527027,0,0,0,0.000000000000000000433680868994202,0.0804668422030172,0,0,0,0,0
MIOTA,0.117532135872472,0,0.122129111395364,0,0,0.0838547824011891,0,0,0.33172861506859,0,0.0828433413589397,0.0703164207468374,0,0.128314070584635,0.0238851597041234,0,0,0,0,0
XMR,1.13717289158177,0,0,0,0.0390524944852977,-0.0876112891259508,0.186064744362551,0.137762855357137,0.00878806737869122,0.0415360375122194,0,0.0171392694804287,0,-0.303864964263237,0.157242744031251,0,0,0,0,0
TRX,0.447840575598578,0,0,0.073028462691547,0,0.642573012179043,-0.72771062206937,-0.416099389950692,0,0.538548699672807,0,0,0.336101625826806,0.187418697889843,-0.152463297504722,0,-0.592077467505241,0,0,0
DASH,0.321679684322193,0.1192104553698,0,0.0894128835984768,0.0326655021571946,0,0.109837712497324,0,0.0210344506778898,0.0729751914959428,0,0.0761469026939314,0,0.0274670570177682,0,0,0,0,0,0.0722192597303619
XEM,0,0.395080713323667,0,-0.188307791980126,0,-0.157813345335682,0.374548435432255,0.0577886699473132,0.429620374239617,-0.126627917230996,0,0.223553310280007,0,0,0,0,0,0,0,0
BNB,-0.0515311911169936,0.012198573630074,-0.0149621505429015,0.0863971936727773,0,0,-0.157354302260754,0.314918102545627,0,0.140786992816056,0.107716961317418,0.197024470037886,0,0,0,0,-0.203081087546047,0,0,-0.025806079369928
BV010082.INDEX,0,0,-0.0152444126192754,-0.034504481956392,0.0262346947243356,0,0,0.102940581531059,0.0391335075190549,-0.0154029029630077,-0.0292526578311908,-0.00457257509390592,0.119500941488814,-0.118416031356942,0.0163672621985112,0,0.132430115504904,0,0,-0.052981221038285
CVIX.INDEX,0,0,0.0453757107882939,-0.0863597612059475,0,-0.0960417170364695,0.0352504856076479,-0.000560390739850148,0,0.0378325988923194,-0.0359935993744749,0.0522165301080865,0.130745625020096,-0.101504820070379,-0.116084127380889,0,0,0,0,0.0110640684524325
DXY.INDEX,0,0,0.0439297021179702,-0.0201227398071166,-0.00765136813984837,0.00191821262281943,0,-0.0152923456688939,0.0221308141462826,0,-0.041748764304452,-0.0109180518450406,0.0380740977180513,-0.0109127831696606,-0.000582927093519801,0,0.01089024294844,0,0,0.00233308464602171
SPX.INDEX,0,-0.0512999210879608,0,0.00039487550218604,0,0.0099126003963427,-0.0508992566399117,0,0,0,0.0365264012849162,-0.0319343115313414,0,0.0233611875054962,0,0,0,0,0,-0.0869457500316478
VIX.INDEX,-1.01772476157441,-0.361963204729224,0,0.219587337018001,0,0.152511837125655,-0.247811400566355,0.465503813269483,0.531641602425195,-0.257675376096405,0,0.196225908101673,0,0.0777916580664788,0,-1.47060895129335,0.205097366091408,0,-4.18176723622599,0
