,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.050317131286314,0.159919072000847,0.0626338450010769,0.132036587732914,0.0311859218296907,0.0622953609133519,0,0,0.0329334148636421,0,0.0638841004522367,0,0,0,0,0
ETH,0,0,0,0,0,0.31337909416392,0.0404894224294411,0.17688268065166,0.0679876559270098,0,0,0,0,0.0181314206499391,0.241265126457257,0,0,0,0,0
XRP,-0.334668868646915,-0.259587087929246,0,-0.00000000000000000173472347597681,-0.0789501309111645,0,0.338837733070657,0,0.403882460436157,0.28420225327888,-0.12566404694575,0,0.292534559700842,0.0852119435609202,0.148495235347301,0,0,0,0,0.0592659178157579
BCH,0,0,-0.0829094564649099,0,0,0.156262751303786,0.0307010246013848,0.196834831655498,0.16081507330589,0,0,0.253242295419084,0.166867607719661,0,0.0886855626302713,0,0,0,0,-0.00499477846385607
ADA,0,0,0.1462544589137,-0.000000000000000000433680868994202,0,0,0,0.162559428543145,0.0260840288665913,0.257192357302355,0,0,0,0.0446227459723719,0,0,0,0,0,0
LTC,0.602020372530544,0.0378363018966964,0,-0.0238260265054665,-0.0688509571069649,0,0.00246312007172891,0,0.112225348020357,0,0.153614935852189,0,-0.057073610065049,0,0.0413654300632249,0,0,0,0,0
XLM,0.109789632452704,0.0353117778525209,0.183579160706808,0,0.329431176448631,0.128073632921077,0,0.175000917522079,-0.0517667626875124,0.0884846360014361,0.184671675509738,0,0,-0.177377980230074,0,0,0,0,0,0.0436736523330583
NEO,0.120079674366003,0.298361479458713,0.0668965478020068,0.0255544844173781,0,0,0.131688595975537,0,-0.108059198534932,0,-0.0612489942188117,0.250483978806774,0.152522170341858,0,0.230315739178966,0,0,0,0,0
EOS,0.0254306243591928,0,0,0.20644137955979,-0.0477604609156885,0.33066086768989,0.00486663959211517,-0.177701821681859,0,-0.000000000000000000216840434497101,0.1467833023589,0,0,0.209144764438928,0.282406414542747,0,0,0,0,-0.142765260700799
XEM,0.142665924583322,0,0.278257775457444,0.0852120206892889,-0.0000000000000000000542101086242752,0,0.208864937587275,0,0,0,0.120908774531547,0,0,0.0489836993689761,0,0,0,0,0,0
MIOTA,0.0638189923094257,0,-0.063162632667655,0,-0.124572179336639,0,0.0858971313024157,-0.339023330808242,0.181859647359599,0.401478026446776,0,0,0,-0.040857837227232,0.793067465071441,0,0,0,0,0
DASH,0,0,0,0.0262513839177374,0,0.202706016526976,-0.00698068251107772,0,0.104679311674873,0,0.126551709778735,0,0.153705326708741,0,0.199934993027855,0,0,0,0,0
XMR,0.0434911859637241,0,0,0.194920979641816,0.0325395391149467,0.0676303368707029,0.0321670500399218,0.143465553433865,0,-0.0631326491170935,0,0.156282000729763,0,0.0328627626974406,0.325589208565949,0,0,0,0,0
TRX,1.29592488042418,0,0.216175894028312,0.390560732804408,0,-0.854604471241819,-0.00000000000000000693889390390723,-0.580933055965156,0.149652772032264,-0.598306293199497,0,0,0,0,0.672532020541437,0,0,0,0,0.178867565063306
ETC,0.135966715994502,0,0.112293573658011,0.0218164647625316,0,0,0,0.0363407240714514,0,0,0.338905267054251,0.0929403328382018,0.285829569807216,0.0567956290622559,0,0,0,0,0,0.0919679866134242
BV010082.INDEX,0,0,0,0.0157337865541966,-0.0239162224381942,0.024378443365061,-0.0372829855049291,0,0,-0.00850116727049464,0.0193112645764802,0,0,0,0,0,0,0,0,-0.0350049833819953
CVIX.INDEX,0.029650235130108,0,0,0,0.0472184144449873,0,-0.0346406613664412,0.0346481998172008,0,0.0492405438216373,0.0165698899968567,0,-0.0450309697137599,-0.0113127338751727,-0.0807341970516868,0,0,0,0,0.0261275788116569
DXY.INDEX,0,0.00833136651145153,0.00316757750150252,0,0.00132592778981716,0,-0.00823175639192982,0,-0.0138729646363945,0,0,0,0,0.00750866383580488,-0.00795791124018195,0,-0.0158823601726053,0,0,-0.0245974950368874
SPX.INDEX,0,0,0.0173108231636883,0.0258170174550696,-0.0366760696210312,0,0,0.0562587302102756,0.0191389795351564,0.0102769692729485,0,0,0,-0.00252109872669199,-0.100807015244403,0,0,0,0,-0.0905631928606874
VIX.INDEX,-0.26312350047815,0,-0.0967976538562698,0,0.00000000000000000346944695195361,0.311231031448476,0,0.263410240044648,0.0265203709844044,-0.067606291198932,0,-0.366433267162247,0,0.0366003099439425,0.242509487410975,-1.63567220882865,-0.908796237409345,0,-1.50923309737877,0
