,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.369151780190379,-0.0389115360206851,-0.0779801552024048,0,0.349423099814445,0.0198334806242932,0.358536591300908,0.00964280905478574,-0.314192113110947,-0.0681468105801377,0.172191029390559,0,0,0,0,-0.133618862981938
XRP,-0.868830989325789,0,0.224549559102356,0.0447791865064784,-0.306921378171246,-0.0584556359971936,0.398979711501165,0.727565123769544,0,-0.159154338044513,0.649162361744068,0.191897872699314,-0.818080145145839,2.73758756788763,0,0,0,-0.0913589597073338
ETH,0,0.019993108495961,0,0,-0.262445329763211,-0.0801829918464208,0.212235785917653,0,0.686047657286877,0,-0.49295189556226,-0.0328654451095025,0.120033266530306,0,0,0,0,0
LTC,0.048162802481297,-0.0224929373286655,-0.165713684079852,0,-0.111850454957247,0,0.246511342172145,0.0294588321833722,0,0.398513768427339,0,0,0,0.391802028656564,-0.108504805486581,0,0,-0.251563083397155
XEM,0,0.145960866634449,0,0.104357727579518,0,0.262128439379813,0,0,0.431445424713926,-0.227163214099292,-0.289057015145078,0.472941226947361,0.462333056841942,0,0,0,0,-0.434167661744496
DASH,0,-0.0732414346603867,0.00104998326582218,0.0517537271509501,0.131035228831017,0,0.0741159129991895,0.0713112877484461,-0.00675207889419537,-0.148864442067436,0.298529056450507,0.0872729647391466,1.73472347597681e-18,0.455055587414046,0,0,0,-0.130625298367603
ETC,0,-0.0564348284707057,0.406001914795695,0.237359978594892,0.0905920305630323,-0.220498070838626,0,0,0,0.0359546032859408,0.302826315556324,-0.0933069280588881,-0.095518726301087,0,0.229446570682561,0,0,0.215322050314557
XLM,-0.401859000054814,0.192790566596056,-0.584530297771363,0.078330222422293,-0.0281954843563316,0,0.515803794667649,0,1.08502366842852,0.670140026533479,6.93889390390723e-18,0.13899638999755,3.46944695195361e-18,0.0102184010076573,0,0,0,-0.256606869914859
XMR,0.157657790447617,-0.0484613740297149,0.232781978080647,-0.122305155520585,0.053487809643158,0,-0.058682695798432,0.120938928739174,0,-0.006843136283216,0.0681887863816147,0,-0.103767451722367,0,0,0,0,0
DOGE,0.226983225560779,0.113066427657425,0.202677429120171,0.361308882490763,0.108615268638779,0,0,0.161449562213638,0.18783397204143,0,0.0163020490483328,0,0.213320303375004,0,0,0,0,0.211732603949615
ZEC,-0.181946842809141,0,0,-0.0316808903839862,-0.143473515173081,0.114024187873409,0.00518407139738982,-0.0124638201282235,0.392134677849435,0.23302024208242,0,0,0.0904428527664366,0,0.0565290710572756,0,0,-0.270378531447819
NEO,-0.436710978337001,-0.108101369424524,0.064951858692951,0.102656007912769,0.00732173859048361,-0.0665007717693005,-0.166820206563064,0,0,0.152039317481099,0.526541105679563,0,0,0,0,0,0,0.0185372071758733
DGB,0,0,0,-0.325234273303881,0,0,0.233356620816403,0.024915817657603,0,0.0942324470562938,0,0.197283409576707,0,0,0,0,0,0.216484399221104
BV010082.Index,0,-0.0123229398916902,0,-0.0133283564759691,0.0081750862307008,0,-0.0801482479364809,0.0395674414232959,-0.115758983139442,0,-0.0782208705179849,0,0.0093946496474104,0,0.16544917001418,0,0,0
CVIX.Index,0.169783023563473,0.0541595589923447,-0.215085128183108,0.010403317765899,-0.44053887107517,0,-0.183209436369887,0,0.580153735420166,-0.0730493977933351,0,0.0711507080712104,0.147286417166522,0,0,0,0,0
DXY.Curncy,0.0425546648562175,0.00169834231342075,0.00870829178638679,0,-0.00821229585157544,-0.00331508979743955,5.42101086242752e-20,0.00258164075679917,0,-0.00300482549525466,0.00367066038626747,0,-0.00417352145983151,0.0866895658567522,0,0,0,0.0285911459916407
SPX.Index,0.00580343387888127,0,0.0199256625428374,0,-0.00426553172814729,0,0,0.00660194205786025,0,0,-0.015959166141286,-0.00226694000354659,0.000949014706116532,0,0,0,0,-0.0506038526110002
VIX.Index,0,0.0708428924407812,-0.397648107750981,0,-0.336706290248393,0.0315507202458247,0.0946267567740334,0.120440751092311,0,-0.24993218591759,0,0.0467142687822047,0.278571812128803,-1.059395031577,-0.896816700198031,0,0,0
