,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.076725789062657,0,0.0368052597835864,0,0,0.0635542685724031,0.121196338478685,0.439001764366468,0.0356516087632425,0,0,0,0,0,0
XRP,0,0,0.194325277112013,0.0977926855379936,0,0,0,0,-0.0534115590488453,0,0,0.141111702621193,0,0.0483555613911577,0.229964904443584,0,0,0,0,0.0259730535334262
ETH,0,0.0719051149399886,0,0.0739570285257544,0.156069952721552,0,0,0.194543097871823,0,0,0.109783369257122,0,0,0.230496016585453,0.0560827678322541,0,0,0,0,0
BCH,0,0,0,0,0.185704492449403,0,0,-0.151971605922088,0.263258536522903,0.789837843830039,0.269529742149025,0.216851151862175,-0.0992609029137787,0,0,0,0,0,0,-0.399619389555355
EOS,0,0,0.202626925183704,-6.93889390390723e-18,0,0,0.14380984111975,-0.488815864129857,0.0217182674162272,0.755210004139667,0,0.191191417214647,-0.298989751306592,0.259156977401627,0.0507500943989796,0,0,0,0,0.0154149480149014
XLM,0.470231624996764,0,0,0.0887284661191383,0,0,0,0.00513573314667552,-0.0253996158097129,0.223224148713435,0.0748270767203095,0.0860041354740017,-3.46944695195361e-18,-0.0658210777732685,0.230220010430985,0,0.121201194761433,0,0,0
LTC,0,0,0.199397825092122,1.38777878078145e-17,0.26509738046544,0.230057881127442,0,0,0.120799833020827,0,0,0.133443015374388,0,-0.0851844236365942,8.67361737988404e-19,0,0,0,0,-0.0982297792041765
TRX,0,0,0,0,0,0,0,0,0,0.468889999798569,0,0.278379580811047,0,0,0.0495629011719018,0,0,0,0,0.194078380061129
BSV,0,-3.14908881441887,0.570993711432085,0.701236326468336,0,-0.298193979728361,0,0.266440616555423,0,0,0.439666988468533,0.434909313617582,-0.713961519301645,0.553784323737053,0.836772365711023,0,0,0,0,0.0817101705446704
ADA,0,0,0,0.11848369439132,0.26914958260461,0,0,0.240559473867105,-0.0116016728176864,0,0.1341275053145,0,0.166794069300189,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0750819141927213,0,0.613858430705923,0,-0.032040694886713,0.0837304132553468,0.0864309257886166,0,0.441715851821451,0,0,-0.037297426492659,0.509714072360397,1.14057464348601,0,0,0.0680300210599477
BNB,0,0,0,0.0151532949013277,0.149765824361153,0,0,0,-0.0676710393378067,0.373392410091216,0,0,0,0.068482129592985,0.367767758838852,0,-0.600150984128851,0,0,0.0768419205255487
XMR,0.110062570366125,0,0,0,0,0,0.139435204638013,0,0.0100805622811072,0.302083825078783,0,0,0,0.0834554371822907,0.340644023365626,0,0,0,0,0.0412496430413755
DASH,0,0,0.0196875260186011,0,0.126262975275821,0.0353114457963256,0.439223495764097,-0.254890004866299,-0.0290718923332393,0,0.156249960334257,0.160596942771514,0.333209332227778,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.441424826283514,0.175288553343446,0,0.103822015366576,0,0.159015092235782,0.183148832457827,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0287313683119211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19939313721111
CVIX.Index,0,0,0.346536844045152,-0.0123092717902582,0,0,0.167951815353461,-0.293256202642607,0.0359329020071767,0,0.110645948965307,-0.0237968442170763,0,0.0429059678108595,-0.42163739926442,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00556827248255913,0,0,-0.0163982533585107,-0.0629675657230699,0.00693349624479499,0.0517274517923353,0.00434407488163498,-0.00142703565122041,0.0106490844168215,0.00481120152331901,0,0.0648824497016985,-0.0323211566270966,0,0,0.00178453384649452
SPX.Index,0,0.0196220131526456,-0.091141806467693,0.00475737115337625,-0.0506153672035887,0,0,0,0.0168193431033065,0,-0.0142967398592051,0,0.0408095880685268,-0.0312516795374054,0.0891370271481333,0.0370731593851531,-0.038599949775586,0,0,-0.123178886580899
VIX.Index,0,0,-0.295846918279241,0,0.0129873950601242,0,0.0228628472724751,0.28759028755732,0,0.331383674850152,0.167278595101082,0.126038456674776,-0.632389468161389,0,0,0,-0.560329601574475,0,-4.77039752148413,0
