,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XLM,XMR,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00000000000000000173472347597681,0,0.189771087515566,0.171833972960218,0,0,0.0898080718712696,0.0030246674069865,0.110204460375511,0,0,0,0.133164035602299,0.0923235693385498,0,0,0,0,0
ETH,0.0508915632283949,0,0,0.0999145464649769,0.0682437262020229,0.115658509294357,0.114464549022204,0,0.00306640989554399,0.109063035946114,0.0241016780032308,0,0.333365835289268,0.0753576489178553,0.0960683610759311,0,-0.012408005399773,0,0,0
XRP,0.129723878555589,0.121860937296075,0,0,0,0.0169583583821674,0,0.169507659408003,-0.0053941603316462,0.0138026038726164,0,0,0.367637276905002,0,0,0,0,0,0,0.0285186710950613
BCH,0.29755361581879,0.128519540943332,0.247734579671581,0,0.210604243880752,0.0997004598492039,0.043657251917786,0.0753142609513824,0,0,0.0312860559963486,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.577690195024518,0,0,0.215619846287212,0.300761218672133,-0.00224034727284324,0,-0.027252966449534,0.155801272480459,0,0.0317186207171103,0,0.0176101169884748,0.105857445208917,0,0,-0.0718593555177973
LTC,0,0,0.150439975160682,0.232231004896046,0.112149007542173,0,0.475905287629987,0,0.00239951379520203,0,-0.0258313895450633,0,0,0,0,0,0.108625615221071,0,0,-0.047994678678975
EOS,0,0,0.0337335505806847,0.284584672103586,0.230371139704739,0.206575681865806,0,0,0.00268080444809494,0,0,0,0.169896454979407,0.0302198211446814,0,0,0,0,0,0
BNB,0.227247374469705,0.294386020560063,0,0.280452235301765,0.0427952270794722,0,-0.115773192728341,0,-0.00209115724125032,0.0653404290491244,0.032792721437432,0,0,0.148067016116682,0,-0.217688483489662,-0.0375114816330651,0,0,-0.0129166988117559
INNBCL,0,24.360332273085,0,-4.3396691151705,0,21.1253391744112,-12.2420154188517,0,0,-8.7592061375755,1.55721557268994,0,0,-18.9179044491028,-1.750919569846,0,1.81956340405956,24.2452507051139,17.4572341581787,1.90346566987053
XTZ,0,0.246360123928473,0,0,0.245225802463158,0,0,0,-0.0130421715914352,0,0,0,0,0,0.473879787014282,0,0,0,0,0
TAGZ5,0,0,0,0.0982703029716574,-0.121495525153114,0,0,0,-0.00938702740159531,0,0,0,0.756157829587336,0,0.359176748030216,0,0,0,0,0
LEO,0,0,0,0,0.126569896209458,-0.34795112119463,0,0,0.0033265067148128,0.188639724491096,-0.013899637255272,0,0,0,0,-0.0166297212669621,-0.0227692050659016,0,0,-0.0395118007658092
XLM,0,0,0.179940325096765,0.184560095722896,-0.0000000000000000138777878078145,0,0.239696940918881,0.0945469537722778,-0.00473187715257923,0.0146942485891322,0,0,0,0,0.0506669915748421,0,0,0,0,0
XMR,0.125153858438018,0,0,0,0,0,0.513332497255986,0,-0.00607281591735386,0.235424587356094,0.0208933698062045,0,0,0,0.00254923694546482,0,0,0,0,0
LINK,0.399511850533326,0.00076468635298061,0,0.0000000000000000138777878078145,0.14961650613624,0.299900808287247,0,0,-0.00216189133504864,0.279519568023751,0,0.103925860252158,0,0,0,-0.226506147303711,0,0,0,0
BV010082.INDEX,0,0.73078175229438,0,0,0.396501643480869,0.272571421889449,-1.76724784120553,0,-0.0186109893542127,-0.994487767745126,0.288841732303735,0,0.755332745529314,0,0.428908955516885,0,0.0317389095156281,0,0,-0.105154255738979
CVIX.INDEX,0,0,0,0,0,0,0,0,0.0108831995066604,0.174635997511664,-0.420367049723519,0,0,-0.290326045749855,0.036362652350328,0.190786041569391,0,0,-0.264791459721529,0.27909978167618
DXY.INDEX,0,0,-0.0668458714246357,0,0.0260394193340337,0,0,0,0.000447648954461404,0.0549151508307539,0.0224820673015034,0,0,0,0,0,-0.0147455773673838,0,-0.0392181580285312,-0.0176021578780735
SPX.INDEX,0,0,0,0,-0.139535186700787,0,0,0,0.00147172541487098,0,0,0,0,-0.0570998493314656,0.162694622454251,0.241861662825974,-0.00000000000000000173472347597681,0,0,-0.206002139663796
VIX.INDEX,0,0,0,0,-0.347113391732235,0,-0.862357264446338,0,0.0230083646924805,0.897041369866669,0.343374955418967,0,0,-0.0498569350490109,-0.1790995409994,0,0.0248235724475943,0,-1.39843020749342,0
