,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ATOM,ADA,LEO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.350173694868308,0,0.172524408473268,0,0,0.077342389060543,0,0,-0.039577631097791,0.0124179541026864,0,0.191194581035897,0.199544750440726,-0.143515814775752,0,0,0,0
ETH,0,0,0,0.11707401866083,0.33397014156957,0,0.280570441103264,0,0,0.0258688552065323,4.33680868994202e-19,0,0.159227526818553,0,0,0,0,0,0,0
XRP,0,0,0,0.256950252004038,0.335951960732273,0,0,0.188030827347138,0.0913105883620257,0,0,-0.13014457735788,0.165369371988139,0,0.0823828125017689,0,0,0,0,0.195244139439751
BCH,0,0.0193588436347605,0.0894909759460501,0,0,0,0.276616220235604,0.150360625954335,-0.0441482142414711,-0.0546855377091852,0.260227557273434,0.122030819149165,0,0,0.0908957011809408,0,0,0,0,0
LTC,0.148784445487024,0.192568104776017,0.0428617900999465,6.93889390390723e-18,0,0.509383272907868,0,0,0,0,0,0.0589081473533825,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.769155000670916,0,0.0380047455608892,0.0773572177552095,0.0549931815392201,0.135023157363636,0,0.00910688069587048,0,0,0,0,0,0,0,0
BNB,0,0.0132759314564746,0.179059749446512,0.291646628375031,8.67361737988404e-19,0.260740221295264,0,0,0.0256183211167859,0,0.0427340046717095,0.0204380977778878,0,0,0.0607661002754996,0,0,0,0,-0.041375544122808
BSV,0.0554221600661958,0,0,0.410441862055565,0,0,0,0,0.119599909776435,0.418153591044697,0,-0.0499497133760429,0.174936108021535,-0.101267629738601,0,0.34977036931429,0.194516599997471,0,0,-0.0691168177272787
XTZ,0,0,0.364581908727985,0,-0.905636622148604,0,0.959907775018871,0,0,0,-0.519460740831397,0,0.598024727556684,0,0.0644793509054751,0,0.226586497542725,0,0,-0.179510931890718
XLM,-0.291064179794279,0,0,0,-0.0309780222550002,0,0.290011948981522,0,-0.117902969159877,0,0.221799415800393,0.312840495083227,0,0,0,-0.318538069158334,0.346952126810202,0,0,0
TRX,-0.259334962082767,0.68961739927588,0,0,0,0,0,0,-0.179200828633189,0.159167621363351,0,-1.0842021724855e-19,0.46702849059413,0,0.413655123481224,0,-0.285994738253345,0,0,-0.12945963127683
ATOM,0,0,-2.77555756156289e-17,0,0,0.496356116770479,0,0.221147505397003,0.238169157247342,0.245644383897233,0,0,0.110142819669981,0,0,0,0,0,0,0.105417417508234
ADA,0,0.414932711618833,0.142609195249809,-0.206354867032306,0,-1.73472347597681e-18,0,0,0,0.114041996352836,0.189672844920565,0.176493613575387,0,0,0,0,0,0,0,0.0483719901702782
LEO,0.419064594606799,0,0.232343800513909,0,0.469731919200411,-0.581787524285006,-0.20685226793438,-0.106411293741627,3.46944695195361e-18,0.21652456277496,0.0239434478316276,-0.0778720024475295,0.185355519946023,0,-0.127872994145065,0,0,0,0,0
XMR,-0.0812437986219582,0,0,0.151089202465324,0.0225544540351428,0.179082925022566,0.348394526739854,-0.0339939156286058,0.135724537909451,0,0,0,0,-0.014892843511617,0,0,0.128442360394647,0,0,0.038446170909681
BV010082.Index,0,0,0.171559410081996,0.221821004019883,0.0845982842231731,0,0,0,0.130182443212324,-0.288199887799943,0.195761218298976,-0.257560973873294,0,0,-0.270379055460581,0,0,0,0,-0.113625585675822
CVIX.Index,0.268528573773819,-0.360354159841185,-0.10870931642685,0.237025833546898,0,-0.0358112048552668,0,0,0.138420366295713,0.14268862537963,-0.122596798104972,-0.0831699958271983,-0.309904567604286,0.236527902096296,0.370137273563901,0.376738457930002,0,0,0,0.139469244540169
DXY.Curncy,-0.0152800481017427,0.00931888504860854,0,-4.33680868994202e-19,0,-0.0205449898597949,0,0.014924253602169,-0.002432139240011,0.00707355733607994,0,-0.0201760702205353,0.00617174447881921,-0.0161652479285223,0.0160609339142016,0.0122615114111029,0,0,0,-0.0070434783649069
SPX.Index,0,0.0239996291164551,-0.00628587005038702,0,-0.0141794883614625,0.02366942467715,0,0,-0.00621581129850888,0.0117024384184265,0,-0.0198829550954817,0,0,0.00101675143831314,0.0869154039434785,0,0,0,-0.0464977702847627
VIX.Index,-0.0849128050269646,0,-0.0425906797141765,0,-0.377641942352421,0,0,0,0.0605734223491159,0,0,-0.0380310337091691,0,0,0,0,0.622427258789479,0,-1.43033152834354,0
