,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,XLM,ADA,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.170001760125554,0,0.0243413791443549,0.138328977959964,0.0413060106656332,0,0.0639709919470282,-1.0842021724855e-19,0.161346268327598,6.93889390390723e-18,0.018374544195454,0,0,0.0685529416557111,0,0,0,0,0
ETH,0.10995805463046,0,0.0351537978425645,0,0.2502069577644,0,0.0509017064028548,0.0327381236730273,0.118721236800325,0.194182839270739,-8.67361737988404e-19,0,0.0718730901060543,0,0,0,0,0,0,0.0768325271523768
XRP,-0.233376558982587,0.441043511328197,0,0,0.0184236404138335,-0.101175931649347,0,0,0.241308147583025,-0.232396604011128,0,0.0708509382472487,0,0,0.245359854719657,0,0,0,0,-0.179623670257247
BCH,0.395413628161051,-0.582642367276486,3.46944695195361e-18,0,0.435987719183118,-0.0917003214005313,0.322613904209574,0.0212315789149946,-0.150020844612485,0,0,0.0535565513654857,-0.135185190681886,0.155548533453441,0.196730020753425,0,0,0,0,0.212845912413222
LTC,0,0.235000061158265,0.237442242828246,-0.112476466562648,0,0,0,0,-0.138076118350202,-0.0743868366129448,0.787397775687028,0,-0.031128232002971,0.010156515417851,0,0,0,0,0,-0.0507143578024516
DASH,0,0,0,0.18146166538527,-0.0980482235176435,0,0.120703428408345,0,0.143262663340349,0.217938237271606,0,0.0120341334524032,0,0.177313333319991,0,0,0,0,0,-0.0456258743382538
XEM,0,0.577624922286478,-0.0286256825397485,0.0312159105949551,0.134008530811315,0.333210603524847,0,0.0977366015134569,-0.0923182140975412,0,0,0.0464487376090639,0,0,0,0,0,0,0,0.173025576296839
NEO,0,-0.0632443490534186,0.131306607423578,0.0193364889421295,0.420580974662091,0,0.260402335944464,0,0.0539607767749427,0.295817933293633,-0.339182052160702,0.164793033844448,0,0,0.142540115798244,0,0,0,0,-0.345207371699803
XMR,0,0,0.327644653653737,0.109235894289737,0,0,0,0.132884887125962,0,0.0129097086076837,0.137425373358157,-1.73472347597681e-18,0.0469557157809013,0.244968511289182,0,0,0,0,0,0
MIOTA,0,0.0629678829895391,0,0,-0.459727705715605,0.0604415965801218,0.196867134911658,-0.19645279705746,0.105368023143692,0,0.268490793765508,0.12645688491575,0.16011891768193,0.385576105496498,0.415113714753499,0,0,0,0,0.0217156160961021
ETC,0,0,0.0499341804867819,0,0.67378955876344,0,0.0545254976144051,0.0260561038428534,0.164434484528424,0.0567316138906218,0,0.0699348432636316,0,0,0,0,0,0,0,0
XLM,0,0,0.0766426946044098,-0.137670740349206,0,-0.298037992942262,0.267135816272259,0.21635549328337,0.488480291632506,0.221703547462466,0,0,0,0.09807779366224,0,0,0,0,0,0.152639747666214
ADA,0,0,0.0442814301203301,0.107723642131005,0,0,0,0.121431482866072,0,0.227959614164461,0,-0.388295373248256,0,0,0,0,0.224291134523694,0,0,0.0880763282620776
ZEC,0,0.132538058230814,0,8.67361737988404e-19,-3.46944695195361e-18,0.186717821685731,0.379631068453787,-0.034274656512485,0.0616677673192239,0.209493382729182,0,0.0419901730767568,0,0,-3.46944695195361e-18,0,0,0,0,0
EOS,0,0.257289172619895,0,0.103275304076079,0.213092145323248,0.053227180966483,-0.138192305140185,0.271436394706696,0.175732961358746,0.214156386275697,0.112057243339204,0.104722753069942,0,0.0039925493659113,0,0,0,0,0,0
BV010082.Index,0,0.0324640266192226,-1.0842021724855e-19,-0.00334607508760687,-0.0273674715415465,-0.0635263732345233,0,0.0330681261967648,-0.0151726796919835,0,0.0371274447170474,0.00715778822799216,-4.33680868994202e-19,-0.00595931402381716,0.0199345488991991,0,0,0,0,-0.0768746617603808
CVIX.Index,0,0,-0.0195503515510444,0.05741907362224,-0.0237105360091155,-0.0870335870621579,0.105297517684181,0,0.0274908873936972,0.0145274771494374,0,0.00577599296367423,0,0.00440322006945903,-0.095098254384828,0,0,0,0,-0.0166407718956576
DXY.Curncy,0,0,0,0,0.00338044321229768,-0.0285280025994045,-0.000772282624480739,0.0110222477733702,0.00362427987534382,0.00563214099315646,-1.0842021724855e-19,0.00194801401608751,-0.0158886506235484,0.00222245957289177,0,0.000931554535082595,-0.0130580097326773,0,0,-0.0029045255431923
SPX.Index,0.0101968692106216,0,0.000758149731025164,-0.00754149210481305,-0.00206917668369303,-0.00431398451813845,0,0,-0.00153948772369588,0.00196920046915762,0.00687979577043747,0.00178217887618474,0,-0.0136452918975171,0.00128928942532145,0,0.0201816356886249,0,0,-0.0385948657151466
VIX.Index,0,0.400066806055925,-0.0980855657449531,0.0793041057343977,-0.329305549473919,-0.586756480136102,0.150113685086176,-0.0667134080165504,0.0819073692485916,0,0,0.0264791042267289,0.0337044984041679,0.406757908840936,-0.198582897997874,-0.430544812270656,0,0,-2.09611392999367,0
