,BTC,ETH,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.188467858786521,0.697972004383055,0.177139855041072,0.0637236678637279,0.149745437398213,0.0248238606111414,-0.0564534925117893,-0.0911191606865227,0.442789193088406,0.0920919815410825,0,0,0.0827918227039731
ETH,1.92196567833404,0,0.456237977757277,-0.986064484287797,0.553606232353962,-0.276250494815039,0.199483102465296,-1.55554317165141,0.154985395448343,0.298011160074569,0,0,0,0,0.0000000000000000138777878078145
XRP,-0.0704672073452614,0.0373103355149882,0,0.221794611490429,0.163271479024357,0.0504545618179842,0,-0.176116373187246,0.00413307455786245,0,0,0.339350978146973,0,0,0
LTC,1.25489303403491,-0.320244617171207,-0.333547910546411,0,0.208673453360904,-0.132840844517682,0.239696829374293,-0.496351756039801,0.194774822946445,0.106943707866075,-0.487915489197886,0.196712071536661,0,0,-0.0875209954764473
DASH,0,0,0.208338116745049,0.0520336192787889,0,-0.0339108774523278,0,0.00628123205461004,0.16312038808758,0.21336473861549,-0.453131080320889,0.0138081570405127,0,0,-0.0764114877314524
XEM,1.19438494516846,0.1987538750803,-0.0968368630772826,0,0,0,0,-0.00702805095558642,0.556506047543247,0.395360381541237,0.398423379277534,0.579469424794609,-0.690222079441317,-3.21250902027049,0
DOGE,0.350277262439998,0.0476957204212606,-0.22439884346758,0.135934008585268,0,-0.0362996812531502,0,0.269993663696527,0.0514800510412932,0.0785869512254382,0,-0.224704605123103,0,0,0.0757583482814209
XMR,1.18252350541433,-0.159388626233247,0.265944255841744,-0.321161758529044,0.0379811617766712,-0.100780337257739,0,0,0.15793881722066,0.0708689730564597,0,-0.167676581728251,0,0,0.0294194255191706
XLM,0.0188114528906874,0.180545960579771,0,0.273141028200388,0.077033387905913,0.178666928475012,-0.110147627304667,0,0,-0.1784151358784,0.623302047249062,-0.305878465525424,0,0,0.233621856690218
DGB,-0.824006702658879,0.345595357861721,0.0781060097268789,0.710620600087708,0,0.0796331739599636,-0.288528270414046,0.184663659199501,-0.193073119717358,0,0,0,0,-1.199472349127,0
BV010082.INDEX,-0.285349731587308,0.0340207588518371,-0.370060053216984,0,-0.0150751307383241,0.0780754084576371,0,0,0,0,0,-0.0158400986017714,1.60045365763696,0.709563828985385,-0.116568292590729
CVIX.INDEX,0.511626674591749,-0.075126567139811,0.126419146563133,-0.422999978115267,0.369077707936486,0.0683314003169505,-0.242083360011991,0,-0.202741336228792,0.0703990197938948,0.320910737817667,0,-2.20366832956913,0.339434628441195,0.333377586231131
DXY.INDEX,0,-0.0216550872354881,-0.0213482507144708,0.0158920712261712,0.0662807927745479,0.00295918133661596,0.0686350695992756,-0.0497620466471679,-0.00215262076167771,-0.00620240221732253,0.177205602270345,0,0,-0.261758112274537,0.0144421055580065
SPX.INDEX,0,0,0,0,0,-0.0161051703907212,0,0.00622588868494899,0.0418015079344655,0,0,-0.0727451634901091,0,0,-0.0758443904389495
VIX.INDEX,0.0488650304134312,0.257952275966088,-0.694037186583779,0,0.152021044036549,-0.173080432704058,-0.76725208910614,0.371219535701556,0.568206838395286,-0.412639300671486,-0.519225560978384,0.573450829030539,0,-4.55328783826068,0
