,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XEM,XMR,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.079645578368026,0,0.131090732027737,0.0910394138128503,0,0,0.0962630708312743,0.0999206891105956,0.0694298674323352,0,0,0.0420047271846876,0,0,0,0,0,0,0.0596665842519108
ETH,0.0477764993839009,0,0,0.184883477561876,0.0176755945131859,0.459416240292286,0.0762302850981929,0,0,0.014557956055754,0,0,0.050099038619624,0,0,0,0,0,0,-0.0531078674434608
XRP,0,0.511380524908173,0,0,0.0598717142140284,0,0,0,0,0,0.107123856216649,0,0.129832200722781,0,0,0,0,0,0,-0.0932117386469587
BCH,0,0.0773058939160598,0.169924521908421,0,-0.135861573710633,0.493823368202443,0,0.17798165912246,0.167518144233677,0,0,0,0.025711533894557,0,0,0,0,0,0,0
EOS,0,-0.0179343991122808,0.000000000000000000867361737988404,0.910790797372465,0,0.0962811527541165,0.269968923217814,0,-0.356065423205351,-0.260874869811368,0.697626965910679,0,0,0,-0.48122797992339,0,0,0,0,0
LTC,0,0.437757887181643,0,0.122097084110813,0,0,0,0.164184977612557,0.04313019174561,0,0.0923025010346035,0.0297880300445797,0,0,0,0,0,0,0,0
ADA,0.206361259984623,0,0,0,0.148407660880471,0,0,0,0.187817339473,-0.0474778376817155,0.155961448403427,0,0.230628115300577,0.252508576045867,0.0669049383779636,0,0,0,0,-0.0312925888987348
XLM,0,0,0.000847942198370887,0.0797909447987075,0,0,0.258750263989812,0,0.0912932692445635,0.0708850423213298,0.13526189879725,0,0.197698370750561,0.0000000000000000138777878078145,0.0910449396870072,0,0,0,0,0
MIOTA,0,0,0,0.314479179617472,0,0,0.0379667436080363,0,0,-0.0193236273026747,0.196033454304193,0,0,0.164881368489878,0.286683859476055,0,0,0,0,0
TRX,0,-0.0962592457234554,0,0.925415502088637,0.142091213772228,0,-0.330538490374258,0,0,0,0,0.301031566874289,0,-0.19068643820222,0,0,0,0,0,0
NEO,0,0,0,0,0.0772087957931878,0.286432605501346,0.0775788334260132,0,0.186568959224248,0.0743255323675338,0,0,0.0433743138357339,0.0865637150881848,0.139995376355139,0,0,0,0,0.0650237442584155
DASH,0.130391472266621,0.198649898419723,0,0.299239688394618,0,0,0,0,0.0177120983834206,0.0523601957744775,0.113474899245592,0,0.0223918889150462,0,0.103390369807195,0,0,0,0,0.0743433495132078
XEM,0,0.464432993225239,-0.135131871596203,-0.280312220670881,-0.143290341940475,0,0.284532974195986,0.252563011159097,-0.140506639766568,0.219393002585264,0.224370491614797,0,0,0,0.233714148889051,0,0,0,0,0
XMR,0,0.271147675305831,0,0,0,0,0.160995209464085,0.325267501661321,0.0121514841296185,0.0705312803436632,0,0.368748068068654,-0.441979645726624,0,0,0,0,0,0,0
ETC,0,0.100899090726635,0.562548159867308,0,0,0.180503919217041,0,-0.00000000000000000693889390390723,0,0.112803803553749,0.0959403374242934,0.161730657252438,0.0487654102396203,-0.238616399920716,0,0,0,0,0,-0.0236234428254198
BV010082.INDEX,0,0,0.00159714585799952,0,0.0029517577430674,-0.0254633746138748,0.0389202494821796,0.054858582183724,0,-0.0112531018001091,0,0.184650535284625,-0.096925148285122,-0.106988734401366,-0.0452731367201974,0,0,0,0,-0.0723306121832477
CVIX.INDEX,-0.0816762023133785,0,0,-0.0759172058903838,-0.0239051847480958,0,-0.0850750551149776,0.0394802502330666,0.0630799457482235,-0.0278931865211667,0.0290579175328832,0.196289548657288,-0.227150133470514,-0.111681457314955,0.26401179574985,0,0,0,0,-0.03007388454374
DXY.INDEX,-0.022294527623829,0.0147195675596129,0.0238167225789449,0,-0.00811252283975556,0.0091080393549621,0.00278424083636916,-0.0241116781795088,-0.00000000000000000010842021724855,-0.00622828872259559,0,0.0257798287359083,0,-0.00995375720264224,0,0.0676195869166139,0,0,0,0.0002752949029235
SPX.INDEX,-0.0842917510715341,0,0,0.0438882275859376,0.0170551272923594,0.0213751688581966,0,-0.0129418498316725,-0.0289958477418537,-0.0211348665192836,0.0335758284146906,-0.0161002705560235,-0.0130540991498713,0,0.0353463140326351,0,0,0,0,-0.112353605373938
VIX.INDEX,0,0,0.35890331987839,0.207326389200097,0.0372541748601048,-0.216677651391962,0.0338170534105425,-0.453374044718556,-0.0433447979713464,0.14720897704161,-0.0000000000000000277555756156289,0.250415839906379,0,-0.17732490402977,0.0427261307860577,-0.343852120468555,0,0,-4.00146186515289,0
