,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.179690413415801,0,0.0715583870626716,0.0460426080134528,0.0776623989188456,0.0134343914462977,0.0796400816757914,0.0242746376629934,0,0,0,0.0330914629206441,0,0,0,0,0,0,0
ETH,0,0,0.126853595063428,0.107932783979566,0.199578892758338,0.211376835870862,0,0.12915299502679,0.00871242734861019,0,0.0941397795376267,0,0,0.155264156273595,0.00160624890340358,0,0,0,0,0.0160319309581251
XRP,0,0.100283531171093,0,0.0784232569637025,0.0763274234025521,0.0716154343231619,0,0.149086273929361,0.0499866823256905,0.0723860797891616,0,0,0,0,0.044632045089253,0,0.00781585320356428,0,0,0
EOS,0,0,-0.106392072247407,0,0.331320792165633,0.241998863754382,0.021657522351671,0,-0.030812496173733,0,0,0,0.20190129013329,0.2307626093093,0.249055684414967,0,0,0,0,-0.0593721032628296
LTC,0,0.317628361708957,0,0.258224601687722,0,0.0535189175420145,0.0636199975218386,0.035346922365792,0.20935537567401,0.0816449476118625,0,0.0175555160352477,-0.211215060563745,0.25773300551884,-0.21835274717897,0,0,0,0,0.0619998832095689
BCH,0,0.0991202110835714,0.451392783535801,0.249349465146735,0,0,-0.0548608231722185,0.0122278211194937,0.115539266924522,0.277912133263923,0,0,0.0104534432097998,0.0926233934472863,0,0,0,0,0,-0.00635814981015912
BNB,0,0,-0.249617670662912,0.116201956836615,0,0,0,0.260078423993806,0.00124756382650932,0.442999621982154,0,0.561374556082689,0,0,0.00329586324085037,0,-0.213794685734859,0,0,0
XLM,0,0,0.23596143013298,0,0.185135827022906,0.078056281829679,0.0779826611148227,0,0.0670362830887323,0,0.0678195956602561,0,0.0158762435887906,0.215978833394843,0,0,0,0,0,-0.0942957587005374
ADA,0,0,0,0,0.108514976760716,0.366903526192309,-0.0364979651364611,0,0,0.0356308053645791,0.088575125228649,0.205036355960202,0.0662972528900774,0.123661316034151,0.118507159062715,0,0,0,0,0
TRX,0,0,0,0.141471409106967,-0.00114190002419288,0.165496623329938,-0.0365378416851297,0.200167632371072,0,0,0.212805950829571,0,0,0,0.00805129337874366,0.401174955115872,0,0,0,0.104406113577787
BSV,0,0.126697828578206,0.583401322271298,-0.0525047214889948,0,0.195446965657215,0,0,0,0.061797232225374,0,0,0.169012722628802,0,0.153701867499924,0,0.202796176418836,0,0,-0.098846983791046
XMR,0,0,0,0.0570793767681896,0,0,0.0228858383696329,0.0435162835148993,0.0803458632636206,0.267318584244899,0.194463528967529,0,0.102498012360623,0,0.00000000000000000693889390390723,0,0,0,0,-0.0759219027485947
DASH,0,0.198719191508963,0,0,0,-0.0347389468844048,0.0768598885346361,0.199211425111611,0.20161782029279,-0.0228841284135942,0,0.017237379637161,0,0,0,0,0,0,0,0
MIOTA,0,0.295388606322544,0,-0.0387950750047192,0.0657277097332984,0.054055715982434,0,0.0337688323860899,0.148585437972203,0,0.0772304907540531,0.0834955893883861,0.0443555710339859,0,0,0,-0.0705954949337154,0,0,0
MKR,0,0,-0.506328553549356,0.35566284133423,0,0.1891727844083,0.0315493717708488,-0.273331736035429,-0.0838620034206135,0,0.635947372636947,0.0836230815945853,0,0,0,0,0,0,0,-0.0539951207893802
BV010082.INDEX,-0.416535019213293,0,0.270236956708316,0,-0.0336119351281528,-0.010146007880043,0.0151413024710313,0,-0.307434563381182,0.0532231576691118,0.0757969251310455,0.338990561636511,0,-0.0560591313789642,0.178304949184916,0,-0.317836831071479,0,0,0.0311526218447534
CVIX.INDEX,-0.258243847384638,0.320626558161145,0,0.118959440441114,0.043629897497494,-0.298962332580772,0,0,0,0,-0.133380755227047,0,-0.115956838663095,-0.163007709309268,0.135374407038643,-0.538169678708281,0,1.21926969964193,-0.124780055264549,-0.054014595748371
DXY.INDEX,0,0,0.00389568639182894,-0.00365199293352555,0.018198962149124,0,0,0,-0.0194896011673335,0.00800123602050632,0.0113254424213446,0,0.0263850616282714,-0.04165914519599,-0.0076264904442633,0.0713506254536963,0.0460536766950104,0,0,0.0115460571771591
SPX.INDEX,-0.0795201919598129,0,0,0.0315664957638266,-0.0253804234934068,0.00342387454058083,0.00840331596148658,0,-0.0304201210000154,-0.0195344037447481,0.0486820381945244,0.0383840834391304,0,0,0.00414144243234817,-0.0136838891731133,-0.0116145366522428,0,0,-0.0709700351595635
VIX.INDEX,0,0.169754292568231,0.401596358573643,-0.372455951632581,-0.0219512190804632,0,0.0761239093303749,0,0,0,0,0,0,0,0.0419666908195016,-0.605464820474434,0,0,-4.80899545552681,0
