,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0283136045262721,-0.0688264742813713,-0.0383260235734868,0.14070479552485,0.137237751311351,0.0674993607657323,0,0.0366172951814658,-0.0155836747932501,0.0406988973481136,0,0.000377764968691364,0,-0.119109062219698,0,0,-0.184400201516775
ETH,0.182563099885884,0,-0.0703342985458773,-0.0772674400925406,0.108562766912238,0.0706115852866245,-0.0469191094155102,0.154343957607205,-0.0229201341426489,0.020288885196438,-0.196591539246993,0.123254596912946,0,0.0337132982179048,0.656800839146665,0,0,0,0.197444467518009
XRP,0,-0.255883573395859,0,-0.0157775142823721,-0.504198594105282,0,0.553240912760215,0.143357890878008,0.295907952285231,-0.0189132125105352,0.0155708503871484,-0.202818975809324,0.220952094965336,0.141212612870058,0,0.748038692854705,0,0,-0.0319483748842963
XEM,0,-0.209731602007339,0,0,-0.492481910811005,0,0,0.131290478207844,0.0298320341799941,-0.0164997168334432,0.176281682300294,0.10454948970222,0.0362869299934257,0.449188658998473,0,0,0,0,-0.141955719677163
ETC,0,0.362098425797121,-0.111764222465489,0,0,0.0919019018495058,0.163989957481365,0,0.021161878900973,-0.0226742657862112,0,-0.0126264991050913,0,0.074356352472456,0,0,0,0,0
LTC,0.28550303751066,-0.0361129308100403,0,0.0997833387774558,0,0,0.204643393149191,0.246839047147386,0,0,-0.0863366062550318,0.130583124832165,0,0.268743804857068,0,0,0,0,0.0231872062709326
DASH,0.404459485952046,0,0.0405128858114472,0.03376328013983,0.109101867952694,0,0,0.190555548058486,0.0975258423705524,-0.0822524842861468,0.218432640677577,0.0418159928194655,0,-0.00778270434275699,0,0,0,0,0
XMR,0,0.281541609030917,-0.0619342770518977,0.178692268094585,-0.38210683652992,0.12563081921872,0.25428976002162,0,0.127685851002131,0,0.123799301186033,-0.160395952819109,0,0,0,0,0,0,0
XLM,-0.819672965265988,-0.249989533010375,0.371929310385343,0,0,-0.512239894878286,0.810815561451447,0.612509082502501,0,-0.0593519069950877,-0.497784587500049,0.208641633887551,0,0.292757922117026,0,0,0,0,0
DGB,0.995924154985311,0,0.498831900067395,-0.16327382103396,0,-0.0907024379528809,-1.09480802982272,0.45818867689079,-0.168144591787784,0,0,0.351861147855375,0,0.166317004144732,0,0.505312734849893,0,0,0
ZEC,0,0.125336944107301,0.129234279499541,0.0652695726452842,0,-0.0311695782269735,0.354681795765986,0,-0.137552098225259,-0.0387048945433918,0,0.255594284763587,0.0641871125279071,0.0216437781898793,0,0,0,0,-0.0897825687303728
DOGE,0,0,-0.0667882563271262,0.185899781720333,0,0.251055515326167,0.152901012517059,-0.0518128780842648,0.231019326407251,0.0547807663407992,0.224983836753544,0,0.0870575441775039,0.13926927236413,0,0,0,0,0.226119522610587
BAT,0,0.0654683811737981,0.0552211203741036,0.135651441323954,0,0.20114088091739,0,-0.274122820979845,-0.0134211019892624,-0.0871639527187798,0,0.150834664409967,0,-0.0376704425876785,0,0,0,0,-0.12151581967091
NEO,0,0,0.442933355809401,0.00667993356089907,0.749093247347551,0.165369489646666,0.649756241679593,0.152055136353186,-0.199805366079792,4.33680868994202e-19,0.131027254867972,-0.00275104286092666,0,0,0,0,0,0,0
BV010082.Index,0,0,0.016535743355579,-0.0439135110274096,0.063361757861592,0.0160079820786414,-0.110022349131331,0.0232369873908712,0.0366966843915503,0,0.0771409778588569,-0.0129541708433841,0,0,0,0.0862942666329364,0,0,0
CVIX.Index,0,0,0.000243711745593565,-0.467036087370114,-0.325974529025258,0,0.116985928847797,0.0941521430687876,0.00460737283681813,0.032269989350704,0.116812047268768,0.0232489050360355,0,0.158102335930449,0,0,0,0,0
DXY.Curncy,0,0.0270548786786525,0.00321025978132282,-0.0116039292404136,0,-0.0038331425415675,-0.00326304963574198,0.0093493306407403,0.00747538570856354,-0.0013748328746825,0.00289965371620002,-0.00958834875319709,0,-0.0053480204157774,0,-0.0133070729432082,0,0,0.00711801066084028
SPX.Index,0,0.012827844761959,0.00026955581853706,-0.00647002237703367,0,-0.000335457275616417,0,0.00437174633588022,0.00545597257741755,0.00485679898560294,-0.0189271814870197,-0.0010076301485028,0,0,0,0,0,0,-0.0318513695936822
VIX.Index,-0.465083897913397,0.0103334675201833,0,-0.259197103088857,0.352344249558235,0,0.125200790847802,-0.10036263379916,0.23110291482349,-0.0627579070152967,0,-0.00759652725688976,0,-0.0321860679886731,-3.22681118836871,-0.71456319651133,0,0,0
