,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.130662173486195,0,0.296176787751308,0.139591085816219,0.115963272761542,0.0519418503168422,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0
ETH,0,0,0.044659700264274,0.174836622650524,0,0,0,0.24889041464859,-0.0104346650373296,0.113436633326373,-0.0518268357726582,0.142393262976711,0,0.190255256768971,0.0420961431334756,0,-0.28991004360824,0,0,0
BCH,0,0,0,0.483752077111719,-0.906831051534816,-0.350913479301721,0.931133334723022,-0.508545598052339,0,1.11798694048124,-0.09369319900517,1.18199404136544,0.324173065803181,-0.109110595768813,-1.26224673374229,0,0,0,0,-0.0879209597301094
XRP,0,0.171015921917224,0.0934712816688292,0,0.160737521685208,-0.156306172915011,-0.17322775500454,0.0838265509851896,3.46944695195361e-18,-0.182610653395675,0.0854743729995763,0.181462153654369,0,0,0.370200490410034,0,0,0,0,-0.0173555684007899
LTC,0.0756867077061408,0,-0.00975304400881636,0.0679976118439618,0,-0.00600614041923363,0,0,0,0.750149336573453,0,0,0.0820465644574595,0,0,0,0,0,0,0
DASH,0.154180840794443,0,0.0759504196240738,0,0,0,0.0935593003295909,0,0.0477443664265708,0,0.0173496178130814,0.378941453008373,0,0.0791137712979934,0,0,0,0,0,0
XEM,0,0.184594308088969,0.0305357452639362,0,0.119646040281382,0.474615241920997,0,0.0436020734768127,-0.0929892480825129,0,0.0910169488446195,-0.200078429393191,0.0775857706545375,0,0.31236254986658,0,0,0,0,0.126280100079939
MIOTA,0.0297991512045213,0.174530661553175,-0.155217100705793,-0.215120567587278,0,0.0327421251530384,0.428058377091375,0,0.178493225997728,0.104698978838562,-0.0950976849241994,0.316549297157523,0.320836129230151,-0.217221866188471,0,0,0,0,0,0
XMR,0,0,0.123475407616364,0.0852936353559235,0.0178881910601974,0.175228531277412,0,0.0133426930261746,0,0.0294907908918609,0.125962293249734,0.218000780613022,0,-0.0907145302353259,0.227066519274914,0,0,0,0,-0.0441603341972732
ETC,0,0,0.0353182669707062,0.0353725844704318,0.677141614678578,0.0153765126668193,0,0.0909221209599105,0.136808972366355,0,0.0364372322590402,0,-0.139031016435126,0.0869674645643566,0.0998283484309895,0,0,0,0,0
NEO,0,0,0.0502656795693521,0,0,-0.0268992418288274,0.394243711452849,0.164190085779142,0.198608223524901,0,0,0,0.252992886731416,0.00323624977303941,0,0,0,0,0,-0.196352479063942
ZEC,0,0.2369813194319,0,0,0,0.139142892916212,0.247465786718343,0.200847413516832,0.0461205092725121,0,-0.0236583558199605,0,0,0,0.131122166445817,0,0,0,0,0
EOS,0.0656002716980482,0,0.0925479205354632,0,0.383412458039932,0.057867027810649,-0.130268526629705,0.247905815263629,0.20021990840277,0,0.19893804016831,0,0,0.0863805275891866,0.204778847025927,0,0,0,0,0
BAT,0,0.0845851324733969,-0.0468978440474117,0,0,0.0584156921619853,0,0.0287382350711452,0,0,0.18714413276526,0.236312967219951,0.17858380619823,0,0.260022727195133,0,0,0,0,-0.0667495311825405
XLM,0,0.295560370359214,0,0.0687923237435089,0,-0.0623922972113365,0.0139119655416119,0,0.411183356013834,0,-0.00675604516135579,0,0,0.227962847433853,0,0,0,0,0,0
BV010082.Index,0,0,-0.00314952852341511,0,0.0109319359515134,0,0,0,0,0,0,0.053379981319357,-0.026598328982359,0.0118359279313404,0.00733140164081164,0,0,0,0,-0.0861405533203888
CVIX.Index,0,0,-0.0244265287055769,0.140583757641715,0.0685104957732479,0,0.0661986556671656,0.0805594721687218,-0.00916975666027429,0,-4.33680868994202e-19,-0.141298266372759,-0.0858668899228188,0,-0.0574404817091907,0,0,0,0,0.0748113492741475
DXY.Curncy,0.00764207223561075,-0.00895557439518733,0.00299298197675854,0,0.000298106610793531,0,-0.00518377614563512,0.0133740955332157,0,0,0,-0.0142096203019112,0.00752314655786898,0,-0.00137389288834939,0.0633638014475689,-0.0290174774275383,0,0,0
SPX.Index,0,0,0,0.00517616481679409,-0.0062058321034744,-0.0124773682492753,0,0.00306265347095285,-0.0118757026684465,0.01151191972284,0,0,0,0.0032599985063008,0,0,0,0,0,-0.0485565605819829
VIX.Index,-0.135420651045273,0.201202773423101,1.73472347597681e-18,0,-0.213776298645233,-0.146517354974154,0.398266924093289,0.0400990534896933,0,0,-0.0398237770249328,0,-0.304026820052151,0.0967466425923812,0,0,2.44244396457554,0,0,0
