,BTC,ETH,XRP,BCH,MIOTA,NEO,LTC,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.15919630203239,0.101218127203312,0.0377425327737329,0.203611972531129,0.130900000245927,0.0729522584887788,0,0,0.0553357189041468,-0.0336384517625827,0.0526948187633899,-0.0668489236492543,0,0,0,0,0
ETH,0,0,0.165935786842512,0.0329866683262441,0.0778603751107891,0.00635536599982135,0.0389055236451103,0,0,0.311345518354659,0,0.0356678635562993,0.109420127781431,0.221745073873767,0,0,0,0,0,0.0596712791672929
XRP,0.11444624651085,0.302853896459193,0,-0.0459776773198126,0.0420577826472367,-0.0268519721601769,0,0.219497655940566,0.15996191247658,0,0.189445528941813,0.0138062411683842,-0.102608439447469,1.73472347597681e-18,0.0375981342128063,0,0,0,0,0
BCH,0,-0.246191105887662,1.05639571583003,0,-0.352298663910389,0.103154270209851,-0.421693955116997,0.193024288455053,0,0.00208018272551145,0.749537747978883,0.15084575685658,0.87830550330003,0,-1.58800579275724,0,0,0,0,2.77555756156289e-17
MIOTA,1.19550980060373,0,0.947123911736215,0,0,0.00852638128206461,-0.217124873572462,0.226895421689774,0,0,0,-0.0320847319429793,0,-0.594199399103801,0.470970855897521,0,0,0,0,0.0673543215658361
NEO,0,1.37181971886257,-2.13358722774343,0,0.0301728971264067,0,0,0.660310705044374,0.777167914080402,0,0,0.00219397665439481,0,0,0,0,0,0,0,-0.191366860267097
LTC,0,0,0,0,0.069340442947216,0.028266124507117,0,0,0,0.227175147252035,0.0412457286035366,0,0.0545400502827741,0,0.0570242282470679,0,0,0,0,0.0185917154582817
XEM,0.121866883238536,0.0879879182307733,0.224673451664904,0.0109235393053989,0,0.0318327667539613,0,0,-0.051653278388935,0,0.0539331203228813,0.122060179247377,-0.0870489186894707,0,0.255166557595952,0,0,0,0,0
DASH,0.0198836506302139,0.191221285650913,0,0,0,0.0340228588013435,0.103422669163885,0.168448846283822,0,0.121073005437659,0.295370013063543,0.0205254196193796,-0.0631205347340535,0,-0.0146671116928314,0,0,0,0,0.0851806789580565
ETC,0.109961048236459,0.262632075499539,0,0,0,0,0.107475409085449,0,0.0684694337445033,0,0.324192162853354,0.0172338404717028,0,0.0298561837899314,-0.165358131990584,0,0,0,0,0
XMR,0,0.139551265506901,0,0.142781502027735,0,-0.00660647015914529,0.138518442020092,0.01830434122219,0.375621602787861,-0.0210115764885768,0,0.02602835977703,0,0.110388801040473,0.165712389820263,0,0,0,0,0
EOS,0,0.360488387154509,0,-0.175597288891353,-1.73472347597681e-18,0.113017059350786,-0.460099412026667,0,-0.274040090754517,0.608210371566476,0,0,0.29285759645553,0,0.222635495346759,0,0,0,0,0
ZEC,0,0.0895535726468746,0,0.0162958226310443,0.210295482785674,0.00416942948230813,0,0,0,0.112694797327828,0,0.0481248446419787,0,8.67361737988404e-19,0.174274563811947,0,0,0,0,0
BAT,0.11646567350855,0.361090518037207,0,0.0332556448434925,0.0465961511078004,-0.0212372008849491,-0.247594224447064,0,0,0,0.0260913955603672,-0.00934259823759572,0.0605558512425805,0,0.479194868190674,0,0,0,0,-0.0691014969495498
XLM,-0.205676786524022,0,0.156545790885258,-0.0295170981156663,0.0195530844937895,0.0485187084245237,0.0698781763599484,0.134644670482734,0,0,0.525434237184083,0.0701552927089356,0.269631563950395,0.0921475873134314,0,0,0,0,0,0
BV010082.Index,-0.100560830160937,0.0394891730714678,0,0.00449770651136209,0.0260436011650064,-0.010140720162371,0.0380409669203241,-0.0464259167761051,0,-0.0209284901616747,0.0403349092463634,0.00978643000526509,0,0.0212403183490644,-0.0215414310360474,0,0,0,0,0.0100185343658815
CVIX.Index,0,0,0.156556826666788,0.00959509465061742,0.0313557097520045,0.0275692399512108,0.021399407938371,0.00163614759993511,-0.12355510808277,0,0,0.0270241112177689,-0.113238000996982,0.0145287539073476,-0.0415847399048396,0,0,0,0,0.0930421321001135
DXY.Curncy,0.030160785398865,-0.0115011390599048,0,0,-1.0842021724855e-19,-0.00971663990924857,0.00774517438330736,0,0,0,0,0,0.00820310060543052,0,-0.0120029147732518,0,-0.0437927278314077,0,0,-0.0259115823492649
SPX.Index,0.0104569893407086,0,0.00546210030204572,0,0,-0.000932508026260906,0,0,0,-0.00574619435534265,0,0.000815570099910212,0.0105379828591282,-0.00507659152066627,-0.000974927609219,0,0,0,0,-0.0526850177351655
VIX.Index,0,0.569691458984836,0.522117925477988,0,-0.154364474717541,-0.035939692510512,0.302393905614272,0,-0.800821313285693,0,0.218752953842869,0.0560751252541721,-0.829426783433599,0.257137594736174,0,0,1.30011490668699,0,-0.219763531659526,0
