,BTC,XRP,ETH,XLM,BCH,BSV,EOS,LTC,TRX,ADA,XMR,MIOTA,XEM,BNB,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.153826752895445,-0.0856824909188959,0.00961571931731304,0.0710304770067303,0,0.0480644608139821,0,0.293708544044422,0.185429008834828,0.056195114846785,0.0881850837558115,0,0,0,0,0,0
XRP,0,0,0,0,0.110276237944181,-0.0276385700576174,0,0.420315800271926,0,0,0,0.20282388854944,0.348710451330856,0.0652050728319876,-0.181035065079229,0,0.559631209634423,0,0,-0.00722372542054523
ETH,0,0.198884086278936,0,0,0.0271822325921741,0,0.0855606293185334,0,0,0.321325429762226,0.280099001474415,0.017543473392166,0.0236093427557553,0,0.0816310081188898,0,0,0,0,0
XLM,0.38368031328069,0.189414893736683,0,0,0.0224500643048512,-0.0691869961903299,0.0474607586005076,0,0,0.27329125834683,0.0907829365416793,0.305580351980638,-0.0751186631118617,0,0,0,0,0,0,0.0349834167998869
BCH,0,0.276901625615467,0,0.341155582616648,0,0.0918309812303799,0,0,-0.304783869841152,0,-0.0685226333681154,1.69006535884554,0,0.105840497874306,-0.442312509077042,0,0,0,0,-0.00339391776849788
BSV,3.0312031448821,0,0,-5.5905898538616,0.916270627823655,0,0,0,0.333336514272726,0,-1.05706472425176,2.52773158521344,-0.307757848289486,0.0145218570190479,1.10349965411024,0,0,0,0,-0.203941679117687
EOS,0,0.34146746298815,0.136958606099876,0.202091481239467,0.153235912931508,0.0117853501853043,0,0.187078031862111,-0.359039866222662,0,0,0,-0.246211441426253,0.0513943310089561,0.379863168381398,0,0,0,0,0.0111874465059291
LTC,0,0,0,0,0.194862746900363,-0.012191746926255,0.374406641248574,0,0,0.173582710657334,0,0.0338555876554427,0,0.222476174400028,0,0,0,0,0,0
TRX,0,0.0371990213028559,0,0,0,0,0,0,0,0.421027416592303,-0.000000000000000000867361737988404,0.0164443179896522,0.0883429439301377,0.412317144460067,0,0,0,0,0,-0.0772981611453284
ADA,0,0.0963000917467743,0,0,0.149074062095572,-0.0146288804998791,0.276255879936041,0,0.28907522238439,0,0.122784092981914,0,0,0,0.0789505845076395,0,0,0,0,0.0147793629256913
XMR,0.445139303718617,0,0.306620507042843,0,0.00000000000000000693889390390723,0,0,0,0.0340309228419075,0.106385525730231,0,0,0,0.0468110338041692,0.197355693745225,0,0,0,0,0
MIOTA,0,0.0914820755137677,0,0.145119044226624,0.0162896970255365,0.0511706550145013,0.135324996606409,0,0.208499667060492,0.150883015792096,0,0,0.158665060183734,0,0,0,0,0,0,-0.0524442808859496
XEM,0,0.0655943218681823,0,0.251749438558414,0,0,0,0,0,0.144911249222672,0.102355858854148,0.124257902190049,0,0,0.178674582504018,0,0,0,0,0.0416678361481708
BNB,0.60345006538931,-0.0288569160924638,0,0,0.12773776367084,-0.00357434156536769,0.555247876699642,0,-0.0247364854172673,-0.0742009946765943,0,-0.262535739881147,0.14620126419248,0,0.199711991774444,0,-0.408990042840777,0,0,0
DASH,0,0,0.0632166840396789,0,0.0489611505663681,0.0110485723458363,0.185848950049346,0.0402145358631401,0,0.387275309586036,0.00635271512967634,0,0.0633149090135081,0.244315295887104,0,0,0,0,0,0
BV010082.INDEX,-0.191124665460545,-0.22224047557724,0.177557594682547,-0.0487027154467896,-0.0485124112017513,0.0193636285179611,0.0557224419632764,0.0785786164199307,0,0,0.0200085273192189,-0.14399467514436,0.126161058698702,0.181438665971696,-0.075014155939838,0,-0.0148969410302875,0.00000000000000000346944695195361,0.506510176879686,0.000000000000000000216840434497101
CVIX.INDEX,0,0,0.451891240137579,-0.295142183651874,-0.0817156998636178,-0.0220095472233677,0,0,0,0.302336829771445,-0.441924467996149,0.0695731252376783,0,-0.0346502483112245,0,-0.306083617479498,0,0,0,0.0293489510816622
DXY.INDEX,0,0,0.0341733216700508,-0.0244415514930513,-0.0172902935994876,0.0137081419634183,0.00747780210365851,-0.0307221988699018,-0.00592959145314565,0.00954471509987661,0,0.0125454868720891,0,0,0,0.0834974459538326,0,0,0,0.00709015152134218
SPX.INDEX,0,-0.0154065864555551,-0.165341231708296,0.0917394375506244,-0.00293887806402259,0.0113089502869908,0,0,0,0,0,0.00000000000000000010842021724855,0.0450579506574182,-0.00712568480218512,0.0279516165430164,0.0879754387054725,0.0313559309847577,0,0,-0.116135160265316
VIX.INDEX,0,0.392961713505038,0.00000000000000000693889390390723,0,0,0,-0.618385377710202,0,0,0,0,0.0840266390341404,0.014702955618233,0.0974171384486597,0,0.823142190895629,1.38859847938865,0,-4.5760380266484,0
