,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0166717336202752,-0.0602384358775479,0.58929493215257,-0.0332096300166026,0,0.0298406061767254,0.116258306825436,0.166154743112609,-0.021143400515175,0.0278723505777625,0,0,0,0,-0.0367433180535426
ETH,2.523804359301,0,0,-0.520932604928819,-0.250316805378638,0.755804747409703,-0.198631358713652,0,-1.41772034679455,-0.424145281813287,0.318156660448897,0,-0.153781400329606,0,0,0
XRP,-0.0525372628234049,0,0,0.0462550047966927,0.00440394169070961,0.0904212920798131,0.0671177225292538,0,0,0,0.0357645332414973,0,0.145013956472116,0,0,0
LTC,1.51736962451677,-0.260806387156128,0,0,-0.041783956692671,0.416762409103974,-0.0811608342622984,0.00718335939027995,-0.249733673424803,0,0,-0.1126743863088,0,0,0,-0.00000000000000000693889390390723
ETC,0.467958578499871,-1.4405724811419,0,0,0,0.465474633390877,0,0,-2.18501040429427,0.459753668466272,0.517596813719806,0,0,0,0,-0.949463056865531
DASH,0,-0.0382785120491324,0.154028607985079,0.205342413160123,0,0,-0.0601523728497911,-0.0308647260821046,-0.0712036983094119,0.0667922244762225,0.285588108254531,-0.257050912571497,0.240845724723979,0.375678423382876,1.51330670158832,0.05049769908427
XEM,1.46950767572416,0.0925256006829299,0,0,0.0167133919790258,0.0343829236304753,0,0,0,0.178991858667696,0.236126647080531,1.34645925694636,0,0,0,0.446162848407699
DOGE,0,0.0179379554214354,0,0.339555118929453,0,0.1177240868247,0,0,0.20352043393939,0.10649257477563,0.0862305712622085,0,0,0,0,0.0218041716002125
XMR,1.32069087366473,-0.192679353994246,0,-0.216444969246968,-0.109695198788719,0.0809629390252246,-0.0791156705332252,0.0193581275967742,0,0.0245354580438113,0.0862963451858785,0.71872691797316,-0.103964561173195,0,0,0
XLM,0.610117100005836,-0.118281258561236,0,0.254017786484235,-0.0507505504166936,-0.0325083109896567,0.181326599690212,-0.0504549546057866,0,0,-0.109040009582446,0,-0.314466083079253,0,2.0404804073776,0.322940810050221
DGB,-0.390981648953439,0.595303123348342,-0.221251496882584,-0.0766598650089551,0.130067322869129,0.291519654401295,0.0203986433733366,0.116896403309523,0.0872426395240392,0.331021867962756,0,-0.651192148010295,0.836617309262634,0,-1.21384585409056,-0.328362629526432
BV010082.INDEX,-0.220672325675134,0.0418092756189494,0,0,0.0281743111594325,0.140869844450509,0.046059213904082,-0.143435220985329,0,0.0273915622114393,0,0,0,0,0,-0.0857424822147711
CVIX.INDEX,0,-0.114653270602823,0.051657800139737,-0.176450089875413,0.0167862699542974,0.382724064858969,0,0,0.0629078144037029,0.0531463537460113,0.000000000000000000867361737988404,0,0,0,0,0.144863320962017
DXY.INDEX,0,0.00000000000000000010842021724855,0.0214315364100194,0,0.00135487267933829,0.0215658622521699,0.00216515997653435,-0.0515442782861194,0,0.00945933027612507,-0.0174635390222058,0.137109115576708,0.0433901081168513,0,0,0.000515092206580218
SPX.INDEX,0,-0.00478938539025134,0,0,0,0,-0.0175337549833855,0,0.0105766464331014,0.04000531451814,0,0,-0.0789279789182826,0,0,-0.0760525930115554
VIX.INDEX,0,0.196874875503149,-0.230797186559462,-0.15514578947621,0.00302765275533662,0.587924303315053,-0.132541791963418,-0.544445443175965,0,0.484556407368863,-0.47708962040741,-0.547600579421354,0.287811252267871,0,-4.28772594454027,0
