,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,XMR,ADA,LEO,TRX,DASH,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.376307591434498,0.236381903735612,0,-0.243649613936211,0,0,0,0.108780622139271,0.106580188987131,-0.144058841817107,0,0,0.40389173613964,0.122887932928367,-0.11292972213372,0,0,0,0
ETH,0.188418380344043,0,0,0.11516138113193,0,0.073486005731823,0.16668082313793,0,0,0,0.0587027797311901,-0.0839447549403823,-0.0164774620139489,0.368509266443174,0.182539209392976,0,0,0,0,0.0408682000547026
XRP,0.112070317410793,0.186204726657877,0,0,0,0,0.180085016725319,-0.029210563911653,0,0,0.278166505675448,0,0,0,0.0872128892774425,-0.0652816730853554,0,0,0,0.0597875872481277
BCH,0.13896076538299,0.529043012553194,0,0,-0.0903124585519696,0,0.073662177509797,0.181996124248948,0.0954274245194126,-0.041618725419241,0,0,-0.0833212062027905,0.107178905180923,0.207102807572566,0,0,0,0,0.0213046402019754
LTC,0,0,0,0.122287090975965,0,0,0.291789557070131,-0.00826671878934726,0.162766338131678,0,0.208468720007187,0.0539148266234857,0,0,0.0632261852671088,0.0457468116232077,0,0,0,0.0287732670359386
BNB,-0.0880462715776135,0,0,-0.0564592473978404,0.18163997566591,0,0,0.0796672614203437,0.185436752169215,0.207403823001122,0.0147622703020428,0,0.102990190746877,0,0,0,0,0,0,0.0258982838691819
EOS,0,0.0258322225008494,0.459387612276956,0,0.137247669534648,0,0,0.245649180453418,-0.00303546088603731,0.111112315380813,-2.77555756156289e-17,0,0,0.117782849143619,0.0888218211128026,0,0,0,0,0
BSV,-0.00364954357429401,-0.330519171296303,0,0.402985553135238,0.151354334353181,0,0,0,0.190253854798849,0,0,0.151587612060373,0.422880867221824,0.141653010713006,0.2413279106617,-0.231905269507988,0,0,0,0.103830908750962
XLM,0.19302780907805,0,0.164915260189036,0.0635253486197119,0.115417727614267,0,0,0,0,0.196592841714971,0.116914045801573,0,0,0,-0.0431716813420589,0,0,0,0,0.0186974268410947
XMR,-0.104031110332531,0,0,0,-0.244258035072618,0.391901407491545,0.249640272974936,0,0,0,0,0.324089507046685,0.222683002959226,0.313570708660477,0,0,0,0,0,-0.0250480035061883
ADA,0,0,0,0,0.118806453192442,0,0.208450298922698,0,0.170111690752807,0,0,0,0.279201399339061,0,0,0,0,0,0,0.0284370770457356
LEO,-0.0953323000304833,0,0,0.381799645495285,0,0.412404754863088,0.121459080961783,0,-0.275510391775364,0.187426480814149,0,0,0,0,-0.172363591257908,0.160715791522652,0.0950947432783268,0,0,-0.0866256806291529
TRX,0.086564410975188,0,0,0.190794483446011,0.262002392828173,0,0,0.160009907758163,0.458065045410128,0.126265337191511,0.0237394784642266,-0.213551064144548,0,-3.46944695195361e-18,0,0,0.0888126480116307,0,0,0.0298331763730631
DASH,0.311303229829693,0.257540611703473,-0.405048106114311,-0.0438865750277377,0,0.0503890746600841,0,0.151705770777867,0,0.122370476791146,0,0.165455540334585,0.245177104757125,0,0,0,0,0,0,0
ETC,0.026200885460148,0.136698468943541,0.249130436812805,0.284130250903264,0.255263895368451,0,0,0,0,0.00997276380549598,0,0,0,0,0,-0.169201712184259,0,0,0,-0.0278921001732901
BV010082.Index,0,0,0,0,-0.174657917890591,0,0.338982064102873,-0.0834890166426418,0,-0.376276292409978,0,0.49249016093963,0.0299864520808868,0,0.366479644190315,0,-0.645345423038221,0,0,-0.0658900737694476
CVIX.Index,-0.39061959365055,0,0,0,0.0632016952246639,0.158952477451412,0,-0.166715290411072,0,0,0.393714669347,0.14685162163359,-0.191885032541031,0.0131347964630534,0,0,0,0,0,0.0310421485992389
DXY.Curncy,0.00318971234390776,0,0,0.0165282773756845,0.00576869074401497,0.0143663456424129,-0.0289602297840356,0.0102192425028708,-0.00857228704220621,0.00427007948633912,0,0.00862514146693164,-0.000370318009607546,-0.0239766187331099,0.00285761758192115,0.0424435787953634,-0.00687012575278236,0,0,-0.00350864727906701
SPX.Index,0,0,0,0.0178368990000727,0.00585584402441278,0,0,0,0.0128824382184752,-0.00402001612850444,-0.00286598680248491,-0.044753015424694,0,0,0,0.0932680367516755,0,0,0,-0.0917794591705527
VIX.Index,-0.20512356001726,0,0.574965259785116,0,0.206502960881848,-0.0502151860618461,0,0,0,-0.501250455514689,0,-0.185973210648085,0.063303847680164,0,0,-0.115153969870773,0.181436027859579,0,-6.43559508909595,0
